Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-132505,Calibration,CC9-04202018-132505,Oscann, 4.0.12,libTracker, 1.0.9,crtime, 12112018-165112
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-23.0081,13.2327,-22.3212,12.7959,0,0,-0.686873,0.436742,14302.8,-23.0105,13.2451,0
11.459,-23.0081,13.2327,-22.3212,12.7959,0,0,-0.686873,0.436742,14302.8,-23.0488,13.1002,0
19.437,-22.9107,13.1843,-22.3212,12.7959,12.212,-6.06449,-0.589446,0.38836,14302.8,-22.6656,12.7898,0
29.984,-22.7836,13.0486,-22.3212,12.7959,12.0521,-12.8663,-0.462333,0.25266,14302.8,-22.8013,13.2044,0
38.056,-22.7757,12.9895,-22.3212,12.7959,0.969954,-7.3183,-0.454503,0.193586,14323.7,-22.8671,13.0414,0
52.223,-22.7428,12.9398,-22.3212,12.7959,2.32609,-3.51339,-0.421549,0.143812,14324,-22.6643,12.8351,0
60.244,-22.7413,12.9377,-22.3212,12.7959,0.180358,-0.260505,-0.420103,0.141723,14322.5,-22.8076,13.042,0
69.994,-22.7401,12.9366,-22.3212,12.7959,0.126093,-0.110365,-0.418873,0.140646,14319.6,-22.8225,13.0474,0
77.957,-22.7129,12.9122,-22.3212,12.7959,3.4197,-3.0676,-0.391642,0.116219,14316.4,-22.6363,12.8059,0
89.949,-22.728,12.9125,-22.3212,12.7959,-1.2578,0.0310914,-0.406726,0.116592,14314,-22.7629,12.9631,0
97.926,-22.7073,12.9111,-22.3212,12.7959,2.58533,-0.173809,-0.386103,0.115206,14312.8,-22.7263,13.0135,0
111.728,-22.6876,12.9195,-22.3212,12.7959,1.43192,0.607867,-0.366339,0.123595,14312,-22.5574,12.7959,0
122.178,-22.6865,12.9212,-22.3212,12.7959,0.100663,0.16077,-0.365287,0.125275,14311.3,-22.6523,13.1725,0
129.935,-22.6796,12.953,-22.3212,12.7959,0.893886,4.09424,-0.358354,0.157034,14310.5,-22.6289,13.1745,0
137.913,-22.6345,12.9996,-22.3212,12.7959,5.65516,5.84343,-0.313237,0.203653,14309.2,-22.4992,12.8512,0
149.978,-22.5729,12.9963,-22.3212,12.7959,5.10643,-0.271133,-0.251628,0.200382,14306.4,-22.6631,13.1042,0
157.948,-22.5696,12.9948,-22.3212,12.7959,0.41515,-0.189318,-0.248319,0.198873,14301.7,-22.6051,13.1012,0
172.142,-22.554,12.9657,-22.3212,12.7959,1.09376,-2.04936,-0.232794,0.169785,14295.7,-22.495,12.8579,0
180.21,-22.5533,12.9644,-22.3212,12.7959,0.0845637,-0.158473,-0.232112,0.168506,14290.8,-22.6116,13.0607,0
189.931,-22.5532,12.9635,-22.3212,12.7959,0.0192262,-0.0977783,-0.231925,0.167556,14288.5,-22.6513,13.0452,0
197.9,-22.5489,12.9419,-22.3212,12.7959,0.533672,-2.71516,-0.227672,0.145918,14288.3,-22.3987,12.7974,0
211.189,-22.5487,12.9409,-22.3212,12.7959,0.0175261,-0.0718643,-0.227439,0.144963,14288.9,-22.6376,13.0614,0
219.097,-22.5457,12.9394,-22.3212,12.7959,0.37613,-0.191417,-0.224465,0.14345,14289.7,-22.6479,13.0725,0
230.747,-22.5018,12.907,-22.3212,12.7959,3.76993,-2.77808,-0.180545,0.111085,14291.3,-22.4482,12.7961,0
238.965,-22.4984,12.9054,-22.3212,12.7959,0.408372,-0.202368,-0.177189,0.109422,14295.1,-22.6153,13.0819,0
251.221,-22.4654,12.8975,-22.3212,12.7959,2.69182,-0.642686,-0.144198,0.101545,14301.8,-22.466,12.9626,0
