Resolution,1920,1080,Distance,57,Width,47.8,Subject,PNC-77362557X,Test,CC9-05222018-102913,Calibration,CC9-05222018-102913,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12102018-154144
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.4073,13.2028,-22.3212,12.7959,0,0,-0.0860315,0.406857,8044.3,-22.4216,13.2162,0
8.055,-22.4073,13.2028,-22.3212,12.7959,0,0,-0.0860315,0.406857,8044.3,-22.3615,13.1876,0
18.677,-22.3817,13.1817,-22.3212,12.7959,2.41045,-1.9828,-0.0604276,0.385796,8044.3,-22.355,13.1202,0
28.53,-22.367,13.1764,-22.3212,12.7959,1.49258,-0.537018,-0.0457212,0.380505,8044.3,-22.3775,13.1295,0
40.336,-22.3646,13.1761,-22.3212,12.7959,0.202282,-0.0291821,-0.043333,0.38016,8083.49,-22.4097,13.1752,0
48.085,-22.3644,13.1763,-22.3212,12.7959,0.0173515,0.0294241,-0.0431986,0.380388,8114.67,-22.3532,13.1892,0
59.322,-22.3632,13.1817,-22.3212,12.7959,0.112707,0.475326,-0.0419321,0.385729,8145.12,-22.3518,13.2105,0
71.19,-22.3632,13.1819,-22.3212,12.7959,-0.00308065,0.0204304,-0.0419687,0.385972,8174.19,-22.3887,13.1784,0
79.251,-22.3654,13.1819,-22.3212,12.7959,-0.266643,0.0011621,-0.0441181,0.385981,8202.33,-22.3656,13.1952,0
91.289,-22.3669,13.1778,-22.3212,12.7959,-0.131163,-0.340354,-0.045697,0.381884,8228.69,-22.3785,13.0971,0
99.25,-22.3743,13.1709,-22.3212,12.7959,-0.931133,-0.868081,-0.0531098,0.374973,8253.58,-22.4292,13.1737,0
111.228,-22.3712,13.1595,-22.3212,12.7959,0.258517,-0.950722,-0.0500132,0.363586,8280.62,-22.3717,13.1509,0
118.373,-22.3811,13.1434,-22.3212,12.7959,-1.37495,-2.25745,-0.0598373,0.347456,8312.64,-22.4086,13.1337,0
130.262,-22.393,13.134,-22.3212,12.7959,-1.00635,-0.789489,-0.0718017,0.33807,8347.14,-22.3508,13.132,0
138.244,-22.4099,13.1252,-22.3212,12.7959,-2.10859,-1.1052,-0.0886325,0.329248,8380.39,-22.4146,13.1049,0
150.287,-22.4214,13.087,-22.3212,12.7959,-0.960588,-3.16975,-0.100201,0.291075,8410.86,-22.4481,13.0042,0
158.267,-22.4297,13.05,-22.3212,12.7959,-1.03347,-4.63934,-0.108448,0.254053,8437.21,-22.4804,12.9806,0
170.241,-22.4347,13.0271,-22.3212,12.7959,-0.420398,-1.91496,-0.113482,0.231123,8460.58,-22.4863,13.0492,0
178.29,-22.4383,13.0092,-22.3212,12.7959,-0.445149,-2.22298,-0.117065,0.21323,8486.37,-22.4367,13.006,0
190.256,-22.4313,13.0056,-22.3212,12.7959,0.586841,-0.294137,-0.110043,0.209711,8516.84,-22.4021,13.0062,0
198.24,-22.4311,13.0049,-22.3212,12.7959,0.0231534,-0.0900297,-0.109858,0.208992,8546.63,-22.3897,12.999,0
210.277,-22.4346,12.9902,-22.3212,12.7959,-0.292571,-1.22042,-0.113379,0.194302,8571.88,-22.4538,12.9789,0
218.256,-22.4481,12.9633,-22.3212,12.7959,-1.68827,-3.38141,-0.12685,0.167321,8595.92,-22.4705,12.9199,0
230.229,-22.4706,12.9356,-22.3212,12.7959,-1.88397,-2.30789,-0.149407,0.139689,8624.15,-22.4865,12.921,0
238.284,-22.4808,12.9211,-22.3212,12.7959,-1.26043,-1.79874,-0.15956,0.1252,8658.17,-22.4842,12.9997,0
250.249,-22.4895,12.9161,-22.3212,12.7959,-0.731231,-0.42064,-0.168309,0.120167,8693.84,-22.5768,12.855,0
258.221,-22.4999,12.8935,-22.3212,12.7959,-1.29474,-2.83676,-0.178631,0.0975526,8726.51,-22.4871,12.9031,0
270.276,-22.5138,12.8431,-22.3212,12.7959,-1.15622,-4.17947,-0.192569,0.0471691,8754.26,-22.5748,12.8127,0
278.248,-22.5215,12.8073,-22.3212,12.7959,-0.967808,-4.48649,-0.200284,0.0114028,8776.56,-22.55,12.8015,0
290.239,-22.5173,12.8052,-22.3212,12.7959,0.351574,-0.176132,-0.196068,0.00929085,8795.13,-22.5307,12.7799,0
298.267,-22.5178,12.7997,-22.3212,12.7959,-0.0586716,-0.684121,-0.196539,0.00379872,8813.29,-22.499,12.7776,0
310.242,-22.5059,12.7989,-22.3212,12.7959,0.995331,-0.0725437,-0.18462,0.00293001,8831.72,-22.431,12.8429,0
322.231,-22.4968,12.8078,-22.3212,12.7959,0.75268,0.747194,-0.175596,0.0118881,8847.74,-22.5017,12.7944,0
330.274,-22.4783,12.8213,-22.3212,12.7959,2.30288,1.67564,-0.157074,0.0253653,8861.25,-22.4781,12.7605,0
342.242,-22.4532,12.8194,-22.3212,12.7959,2.0938,-0.157087,-0.132016,0.0234853,8875.9,-22.4302,12.8654,0
350.226,-22.4416,12.8099,-22.3212,12.7959,1.46485,-1.19571,-0.12032,0.0139387,8892.19,-22.4285,12.8519,0
362.273,-22.4377,12.8084,-22.3212,12.7959,0.323753,-0.125198,-0.11642,0.0124305,8905.93,-22.4408,12.7769,0
370.241,-22.4276,12.7887,-22.3212,12.7959,1.25642,-2.47349,-0.106409,-0.00727829,8914.61,-22.4124,12.8,0
382.229,-22.4189,12.7718,-22.3212,12.7959,0.730946,-1.40308,-0.0976465,-0.0240984,8920.13,-22.4208,12.7599,0
390.264,-22.4182,12.771,-22.3212,12.7959,0.0906175,-0.0993934,-0.0969184,-0.024897,8925.64,-22.38,12.7149,0
402.238,-22.4092,12.7688,-22.3212,12.7959,0.748309,-0.187935,-0.0879581,-0.0271473,8933.02,-22.39,12.7306,0
410.229,-22.3913,12.7676,-22.3212,12.7959,2.23375,-0.151255,-0.0701082,-0.028356,8941.66,-22.4236,12.7868,0
422.265,-22.373,12.7751,-22.3212,12.7959,1.52312,0.625666,-0.0517759,-0.0208255,8948.66,-22.355,12.7517,0
430.248,-22.3613,12.7828,-22.3212,12.7959,1.46871,0.960179,-0.0400511,-0.0131604,8952.17,-22.3308,12.7842,0
