Resolution,1920,1080,Distance,1,Width,1,Subject,V001GAAURA,Test,TSVH-12222016-154642,Calibration,CC9-12222016-154607,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163725
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10.0,-0.764399906803355,0.432061,0.0,0.0,0.0,0.0,-0.209761,0.432061,5278.83,-0.195224,0.429834,0.0
20.0,-0.764399906803355,0.432061,0.0,0.0,0.0,0.0,-0.209761,0.432061,5278.83,-0.317703,0.44314,0.0
30.0,-0.768873906803355,0.43232,0.0,0.0,-0.447387,0.0258487,-0.214235,0.43232,5278.83,-0.250891,0.505655,0.0
40.0,-0.775635906803355,0.431863,0.0,0.0,-0.676264,-0.0456413,-0.220997,0.431863,5278.83,-0.231582,0.429701,0.0
50.0,-0.776681906803355,0.413789,0.0,0.0,-0.104565,-1.80745,-0.222043,0.413789,5279.41,-0.205312,0.394559,0.0
60.0,-0.768865906803355,0.37356,0.0,0.0,0.781599,-4.02291,-0.214227,0.37356,5274.58,-0.257745,0.339222,0.0
70.0,-0.7620549068033551,0.371571,0.0,0.0,0.681103,-0.19887,-0.207416,0.371571,5271.09,-0.189898,0.35906,0.0
80.0,-0.761399906803355,0.371812,0.0,0.0,0.0654598,0.0240504,-0.206761,0.371812,5267.86,-0.209893,0.331922,0.0
90.0,-0.756485906803355,0.379073,0.0,0.0,0.491425,0.726088,-0.201847,0.379073,5264.36,-0.258047,0.409799,0.0
100.0,-0.7436689068033551,0.410558,0.0,0.0,1.28173,3.14855,-0.18903,0.410558,5260.6,-0.160771,0.436243,0.0
110.0,-0.7206619068033551,0.411257,0.0,0.0,2.30074,0.0699202,-0.166023,0.411257,5256.81,-0.134498,0.424363,0.0
120.0,-0.693212906803355,0.415015,0.0,0.0,2.74484,0.375766,-0.138574,0.415015,5253.59,-0.111209,0.414148,0.0
130.0,-0.675534906803355,0.419207,0.0,0.0,1.76779,0.419173,-0.120896,0.419207,5251.37,-0.122323,0.380849,0.0
140.0,-0.6488773068033551,0.423355,0.0,0.0,2.66578,0.414796,-0.0942384,0.423355,5250.1,-0.0506715,0.440865,0.0
150.0,-0.6224883068033551,0.420588,0.0,0.0,2.63889,-0.276697,-0.0678494,0.420588,5249.53,-0.094317,0.435589,0.0
