Resolution,1920,1080,Distance,1,Width,1,Subject,V002GAAURA,Test,TSVV-12292016-124013,Calibration,CC9-12292016-123850,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163726
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-0.232825,-0.26308,0,0,0,0,-0.232825,-0.26308,6766.65,-0.232021,0.0205141,0
20,-0.232825,-0.26308,0,0,0,0,-0.232825,-0.26308,6766.65,-0.0490127,-0.825307,0
30,-0.192122,-0.264375,0,0,4.0703,-0.129495,-0.192122,-0.264375,6766.65,-0.0848554,-0.258979,0
40,-0.179538,-0.264775,0,0,1.25846,-0.0399884,-0.179538,-0.264775,6766.65,-0.21813,-0.349948,0
50,-0.181177,-0.285416,0,0,-0.163969,-2.06414,-0.181177,-0.285416,6786.76,-0.0667134,-0.194117,0
60,-0.189082,-0.292073,0,0,-0.790424,-0.665707,-0.189082,-0.292073,6800.22,-0.195762,-0.365097,0
70,-0.189659,-0.295013,0,0,-0.0577667,-0.293936,-0.189659,-0.295013,6813.16,-0.187614,-0.271514,0
80,-0.190782,-0.300016,0,0,-0.112268,-0.500341,-0.190782,-0.300016,6823.86,-0.18329,-0.434515,0
90,-0.207401,-0.307429,0,0,-1.66189,-0.741258,-0.207401,-0.307429,6834.81,-0.222251,-0.278534,0
100,-0.216599,-0.317646,0,0,-0.919754,-1.02169,-0.216599,-0.317646,6850.17,-0.373592,-0.236255,0
110,-0.21849,-0.335533,0,0,-0.189194,-1.78869,-0.21849,-0.335533,6870.75,-0.242349,-0.227361,0
120,-0.219001,-0.367262,0,0,-0.0510132,-3.17292,-0.219001,-0.367262,6892.04,-0.160351,-0.250271,0
130,-0.169678,-0.414226,0,0,4.93229,-4.69642,-0.169678,-0.414226,6907.96,-0.0679056,-0.385856,0
140,-0.123244,-0.467216,0,0,4.6434,-5.29905,-0.123244,-0.467216,6916.9,-0.0774816,-0.643572,0
150,-0.124651,-0.51336,0,0,-0.140762,-4.61436,-0.124651,-0.51336,6922.52,-0.131772,-0.658519,0
160,-0.116642,-0.545222,0,0,0.800914,-3.1862,-0.116642,-0.545222,6930.13,-0.107867,-0.646207,0
170,-0.118006,-0.561436,0,0,-0.136353,-1.62143,-0.118006,-0.561436,6943.41,-0.245296,-0.552956,0
180,-0.129136,-0.567879,0,0,-1.11302,-0.644315,-0.129136,-0.567879,6961.57,-0.0281185,-0.586514,0
190,-0.152562,-0.570361,0,0,-2.34266,-0.24819,-0.152562,-0.570361,6980.07,-0.0892418,-0.502021,0
200,-0.171955,-0.573555,0,0,-1.93924,-0.319339,-0.171955,-0.573555,6995.71,-0.171003,-0.560301,0
210,-0.165573,-0.581106,0,0,0.638163,-0.755139,-0.165573,-0.581106,7009.6,-0.29858,-0.724385,0
220,-0.174467,-0.592114,0,0,-0.889352,-1.10078,-0.174467,-0.592114,7025.15,-0.189441,-0.727008,0
230,-0.178015,-0.606078,0,0,-0.35487,-1.39641,-0.178015,-0.606078,7042.88,-0.153345,-0.54057,0
240,-0.18394,-0.624286,0,0,-0.592417,-1.82084,-0.18394,-0.624286,7058.18,-0.285054,-0.599026,0
250,-0.185802,-0.648046,0,0,-0.186217,-2.376,-0.185802,-0.648046,7067.96,-0.244804,-0.739649,0
260,-0.178483,-0.670589,0,0,0.731851,-2.25422,-0.178483,-0.670589,7074.64,-0.179697,-0.531608,0
270,-0.174338,-0.684304,0,0,0.414538,-1.37159,-0.174338,-0.684304,7080.96,-0.15155,-0.623612,0
280,-0.156859,-0.692668,0,0,1.7479,-0.836374,-0.156859,-0.692668,7087.04,-0.125157,-0.819251,0
290,-0.153717,-0.700139,0,0,0.314229,-0.747125,-0.153717,-0.700139,7092.29,-0.154691,-0.723618,0
300,-0.143526,-0.707385,0,0,1.01907,-0.724561,-0.143526,-0.707385,7096.8,-0.00503508,-0.716691,0
310,-0.124639,-0.713662,0,0,1.8887,-0.627649,-0.124639,-0.713662,7100.84,-0.109854,-0.639379,0
320,-0.112559,-0.718846,0,0,1.20802,-0.518471,-0.112559,-0.718846,7105.36,-0.246455,-0.68955,0
330,-0.100196,-0.72233,0,0,1.23624,-0.348417,-0.100196,-0.72233,7112.7,-0.114376,-0.755124,0
340,-0.0997721,-0.723597,0,0,0.0424249,-0.12662,-0.0997721,-0.723597,7124.73,-0.0447923,-0.50118,0
350,-0.0998281,-0.724237,0,0,-0.0055972,-0.064038,-0.0998281,-0.724237,7140.5,-0.245632,-0.754049,0
360,-0.10849,-0.724215,0,0,-0.866179,0.00224369,-0.10849,-0.724215,7156.92,-0.0583312,-0.803816,0
370,-0.320047,-0.71601,0,0,-21.1557,0.820417,-0.320047,-0.71601,7172.29,-0.849947,-0.80723,0
380,-0.677854,-0.69883,0,0,-35.7807,1.71806,-0.677854,-0.69883,7187.25,-0.830736,-0.645658,0
390,-0.831769,-0.682666,0,0,-15.3915,1.61637,-0.831769,-0.682666,7201.38,-0.841909,-0.591209,0
400,-0.836772,-0.669358,0,0,-0.500261,1.33083,-0.836772,-0.669358,7212.77,-0.835385,-0.699129,0
410,-0.835744,-0.659124,0,0,0.102792,1.02338,-0.835744,-0.659124,7221.97,-0.869296,-0.570022,0
420,-0.831192,-0.653555,0,0,0.455196,0.556923,-0.831192,-0.653555,7231.46,-0.833725,-0.759111,0
430,-0.809561,-0.653504,0,0,2.16304,0.00505732,-0.809561,-0.653504,7240.49,-0.759804,-0.601131,0
440,-0.78969,-0.655808,0,0,1.98716,-0.23038,-0.78969,-0.655808,7246.43,-0.696035,-0.594665,0
450,-0.788819,-0.655473,0,0,0.0871235,0.0334581,-0.788819,-0.655473,7249.24,-0.810781,-0.974304,0
460,-0.790344,-0.65639,0,0,-0.1525,-0.0916314,-0.790344,-0.65639,7251.19,-0.746514,-0.601569,0
470,-0.827259,-0.66399,0,0,-3.69152,-0.759975,-0.827259,-0.66399,7253.85,-1.01304,-0.879252,0
480,-0.907779,-0.675444,0,0,-8.05206,-1.14544,-0.907779,-0.675444,7257.74,-0.968102,-0.871302,0
490,-0.94943,-0.687709,0,0,-4.16505,-1.22647,-0.94943,-0.687709,7262.74,-1.00841,-0.756889,0
500,-0.952215,-0.700936,0,0,-0.278484,-1.32271,-0.952215,-0.700936,7267.55,-0.980194,-0.545613,0
510,-0.952342,-0.715578,0,0,-0.0127026,-1.46424,-0.952342,-0.715578,7271.09,-0.901872,-0.623472,0
520,-0.925799,-0.729422,0,0,2.65431,-1.38441,-0.925799,-0.729422,7273.95,-0.917225,-0.938315,0
530,-0.887238,-0.738636,0,0,3.85606,-0.921366,-0.887238,-0.738636,7277.79,-0.719416,-0.715133,0
540,-0.885848,-0.741962,0,0,0.139008,-0.332604,-0.885848,-0.741962,7283.66,-0.860194,-0.658201,0
550,-0.886405,-0.742978,0,0,-0.0556825,-0.101601,-0.886405,-0.742978,7291.02,-0.887328,-0.876258,0
560,-0.897136,-0.74374,0,0,-1.07317,-0.0762379,-0.897136,-0.74374,7299.33,-1.05465,-0.646317,0
570,-0.897848,-0.746535,0,0,-0.071163,-0.279496,-0.897848,-0.746535,7308.59,-1.01878,-0.787173,0
580,-0.892129,-0.750419,0,0,0.571936,-0.388358,-0.892129,-0.750419,7317.86,-0.844873,-0.89209,0
590,-0.742374,-0.756148,0,0,14.9755,-0.572927,-0.742374,-0.756148,7326.01,-0.161345,-0.750457,0
600,-0.44942,-0.759366,0,0,29.2954,-0.321844,-0.44942,-0.759366,7332.44,-0.283977,-0.433548,0
610,-0.306668,-0.748379,0,0,14.2752,1.09875,-0.306668,-0.748379,7336.97,-0.201381,-0.562935,0
620,-0.286807,-0.726723,0,0,1.98606,2.16564,-0.286807,-0.726723,7340.54,-0.19382,-0.914852,0
630,-0.279958,-0.70279,0,0,0.684908,2.39331,-0.279958,-0.70279,7345.21,-0.316771,-1.03568,0
640,-0.251629,-0.681325,0,0,2.83289,2.14643,-0.251629,-0.681325,7352.4,-0.29524,-0.755149,0
650,-0.2495,-0.664866,0,0,0.212868,1.64594,-0.2495,-0.664866,7360.99,-0.270876,-0.663513,0
660,-0.258177,-0.656222,0,0,-0.867631,0.864426,-0.258177,-0.656222,7367.57,-0.17468,-0.720721,0
670,-0.232095,-0.653643,0,0,2.60814,0.257827,-0.232095,-0.653643,7370.47,-0.0738314,-0.537696,0
680,-0.230608,-0.649848,0,0,0.148794,0.379555,-0.230608,-0.649848,7371.58,-0.230211,-0.513301,0
690,-0.230663,-0.643011,0,0,-0.0055098,0.683673,-0.230663,-0.643011,7372.74,-0.258249,-0.622437,0
700,-0.245896,-0.633733,0,0,-1.52333,0.92779,-0.245896,-0.633733,7374.19,-0.160882,-0.62196,0
710,-0.273288,-0.624061,0,0,-2.73919,0.967263,-0.273288,-0.624061,7375.99,-0.38627,-0.939682,0
720,-0.280835,-0.614705,0,0,-0.754735,0.935596,-0.280835,-0.614705,7378.72,-0.322338,-0.779514,0
730,-0.302445,-0.603611,0,0,-2.16099,1.10933,-0.302445,-0.603611,7383.21,-0.283237,-0.548578,0
740,-0.327425,-0.592794,0,0,-2.49796,1.08177,-0.327425,-0.592794,7389.48,-0.255755,-0.544502,0
750,-0.312316,-0.586405,0,0,1.51089,0.638889,-0.312316,-0.586405,7395.87,-0.499935,-0.466718,0
760,-0.333177,-0.583562,0,0,-2.08611,0.284245,-0.333177,-0.583562,7400.86,-0.391566,-0.625792,0
770,-0.344934,-0.585106,0,0,-1.17577,-0.15434,-0.344934,-0.585106,7404.85,-0.317961,-0.611041,0
780,-0.345721,-0.590193,0,0,-0.0787012,-0.508711,-0.345721,-0.590193,7408.6,-0.364531,-0.641547,0
790,-0.34362,-0.598994,0,0,0.210137,-0.880135,-0.34362,-0.598994,7412.39,-0.346667,-0.283132,0
800,-0.344564,-0.611261,0,0,-0.0943682,-1.22664,-0.344564,-0.611261,7416.31,-0.325323,-0.66581,0
810,-0.34588,-0.626348,0,0,-0.131594,-1.50877,-0.34588,-0.626348,7420.03,-0.23743,-0.59605,0
820,-0.347945,-0.641956,0,0,-0.206559,-1.56074,-0.347945,-0.641956,7423.1,-0.378735,-0.641537,0
830,-0.365664,-0.654047,0,0,-1.77189,-1.2091,-0.365664,-0.654047,7425.5,-0.293587,-0.563578,0
840,-0.382721,-0.664155,0,0,-1.70565,-1.01082,-0.382721,-0.664155,7427.42,-0.474101,-0.67901,0
850,-0.406562,-0.677227,0,0,-2.3841,-1.3072,-0.406562,-0.677227,7429.53,-0.484148,-0.730069,0
