Resolution,1920,1080,Distance,1,Width,1,Subject,V002GAETSIDI,Test,TSVH-12152016-134615,Calibration,CC9-12152016-134543,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171524
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,0.402625,0.0323428,0,0,0,0,0.402625,0.0323428,3492.21,0.338186,0.0768361,0
20,0.402625,0.0323428,0,0,0,0,0.402625,0.0323428,3492.21,0.46962,-0.124304,0
30,0.463144,0.0275222,0,0,6.0519,-0.48206,0.463144,0.0275222,3492.21,0.495895,-0.0514559,0
40,0.465689,0.0273196,0,0,0.254448,-0.0202608,0.465689,0.0273196,3492.21,0.388999,0.101445,0
50,0.462891,0.008546,0,0,-0.27976,-1.87736,0.462891,0.008546,3496.15,0.462388,-0.027841,0
60,0.405166,0.00100842,0,0,-5.77248,-0.753758,0.405166,0.00100842,3494.77,0.344612,-0.0922628,0
70,0.358845,0.00478643,0,0,-4.63209,0.377801,0.358845,0.00478643,3492,0.167272,-0.106137,0
80,0.357206,0.0202785,0,0,-0.163913,1.5492,0.357206,0.0202785,3487.75,0.332026,0.110385,0
90,0.359093,0.0531368,0,0,0.188622,3.28584,0.359093,0.0531368,3482.59,0.412165,-0.0805875,0
100,0.388764,0.090706,0,0,2.96711,3.75691,0.388764,0.090706,3477.34,0.407262,0.140223,0
110,0.394008,0.120451,0,0,0.524484,2.97455,0.394008,0.120451,3472.88,0.441362,0.178853,0
120,0.419422,0.134534,0,0,2.54131,1.40829,0.419422,0.134534,3470.02,0.47157,0.19079,0
130,0.432248,0.140128,0,0,1.28267,0.559326,0.432248,0.140128,3468.82,0.375719,0.177997,0
140,0.452811,0.140181,0,0,2.05622,0.00534171,0.452811,0.140181,3468.6,0.400934,0.195286,0
150,0.47158,0.137597,0,0,1.87697,-0.25842,0.47158,0.137597,3468.74,0.470341,0.124743,0
160,0.511147,0.129279,0,0,3.95672,-0.831751,0.511147,0.129279,3469.11,0.605174,0.194549,0
170,0.51263,0.11685,0,0,0.14824,-1.24293,0.51263,0.11685,3470.17,0.591858,0.117308,0
180,0.511915,0.094461,0,0,-0.0714575,-2.23891,0.511915,0.094461,3472.41,0.515851,-0.0133645,0
190,0.501175,0.0607019,0,0,-1.07406,-3.37591,0.501175,0.0607019,3475.52,0.454417,0.0598692,0
200,0.422787,0.0243193,0,0,-7.83876,-3.63826,0.422787,0.0243193,3478.56,0.375119,-0.0947043,0
210,0.391195,-0.011778,0,0,-3.15924,-3.60973,0.391195,-0.011778,3481.26,0.385724,0.0173974,0
220,0.389504,-0.0371655,0,0,-0.169044,-2.53875,0.389504,-0.0371655,3484.13,0.386722,-0.109406,0
230,0.390346,-0.0500488,0,0,0.0841965,-1.28833,0.390346,-0.0500488,3487.52,0.396637,-0.0639189,0
240,0.414938,-0.0560568,0,0,2.45917,-0.6008,0.414938,-0.0560568,3491.58,0.483003,-0.0449162,0
250,0.416079,-0.0531102,0,0,0.114115,0.294664,0.416079,-0.0531102,3496.05,0.502638,-0.0839588,0
