Resolution,1920,1080,Distance,1,Width,1,Subject,V004GAAURA,Test,TSMV-12292016-134232,Calibration,CC9-12292016-134039,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163729
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,0.153051,-0.296577,0,0,0,0,0.153051,-0.296577,3171.77,0.151614,-0.287096,0
20,0.153051,-0.296577,0,0,0,0,0.153051,-0.296577,3171.77,0.146618,-0.323148,0
30,0.152086,-0.314755,0,0,-0.0964367,-1.81781,0.152086,-0.314755,3171.77,0.212535,-0.272415,0
40,0.150588,-0.342966,0,0,-0.149784,-2.82104,0.150588,-0.342966,3171.77,-0.046755,-0.400213,0
50,0.154576,-0.345329,0,0,0.398745,-0.236371,0.154576,-0.345329,3174.72,0.222938,-0.439109,0
60,0.156748,-0.368631,0,0,0.217159,-2.33013,0.156748,-0.368631,3173.12,0.115846,-0.372658,0
70,0.159873,-0.369772,0,0,0.312518,-0.114127,0.159873,-0.369772,3171.17,0.184938,-0.305724,0
80,0.162403,-0.369748,0,0,0.25304,0.002351,0.162403,-0.369748,3169.2,0.223341,-0.388194,0
90,0.164375,-0.358577,0,0,0.19723,1.11709,0.164375,-0.358577,3167.28,0.163161,-0.381804,0
100,0.164889,-0.347603,0,0,0.0513408,1.0974,0.164889,-0.347603,3165.59,0.0512585,-0.223622,0
110,0.16099,-0.347011,0,0,-0.389837,0.0592636,0.16099,-0.347011,3164.41,0.15134,-0.350369,0
120,0.148199,-0.34657,0,0,-1.27917,0.0440436,0.148199,-0.34657,3163.89,0.170656,-0.335097,0
130,0.125442,-0.345132,0,0,-2.27565,0.143867,0.125442,-0.345132,3163.91,0.077256,-0.242409,0
140,0.101882,-0.334449,0,0,-2.35603,1.06829,0.101882,-0.334449,3164.01,0.126316,-0.364254,0
150,0.0880036,-0.316844,0,0,-1.38783,1.76043,0.0880036,-0.316844,3163.88,0.205116,-0.332269,0
