Resolution,1920,1080,Distance,58,Width,47.5,Subject,AURA,Test,CC9-03062018-105144,Calibration,CC9-03062018-105144,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.2458,12.2987,-21.8484,12.5059,0,0,-0.39744,-0.207204,3710.9,-22.2583,12.3,0
0,-22.2458,12.2987,-21.8484,12.5059,nan,nan,-0.39744,-0.207204,3710.9,-22.2026,12.3684,0
12,-22.2283,12.2964,-21.8484,12.5059,1.46294,-0.192507,-0.379884,-0.209514,3710.9,-22.0174,12.1215,0
20,-22.1744,12.2752,-21.8484,12.5059,6.74243,-2.64853,-0.325945,-0.230702,3710.9,-22.2215,12.3453,0
31,-22.17,12.2736,-21.8484,12.5059,0.392726,-0.1446,-0.321625,-0.232293,3706.2,-22.2395,12.362,0
39,-22.125,12.2586,-21.8484,12.5059,5.62805,-1.88432,-0.276601,-0.247367,3697.15,-21.972,12.154,0
52,-22.123,12.2579,-21.8484,12.5059,0.152229,-0.0509445,-0.274622,-0.24803,3687.71,-22.2489,12.3708,0
60,-22.1227,12.2595,-21.8484,12.5059,0.0446838,0.200521,-0.274264,-0.246425,3678.53,-22.2721,12.4276,0
71,-22.1145,12.296,-21.8484,12.5059,0.739135,3.31817,-0.266134,-0.209925,3669.2,-22.0099,12.1292,0
79,-22.1142,12.2976,-21.8484,12.5059,0.0446443,0.200395,-0.265777,-0.208322,3657.26,-22.1943,12.4906,0
92,-22.114,12.2989,-21.8484,12.5059,0.0174457,0.0973915,-0.26555,-0.207056,3640.8,-22.2278,12.4305,0
103,-22.1088,12.3277,-21.8484,12.5059,0.469097,2.61868,-0.26039,-0.178251,3621.93,-21.9966,12.2338,0
111,-22.1086,12.3289,-21.8484,12.5059,0.0283339,0.158161,-0.260163,-0.176986,3606.44,-22.2348,12.4195,0
123,-22.1078,12.3277,-21.8484,12.5059,0.0657508,-0.10677,-0.259374,-0.178267,3597.46,-22.2296,12.4292,0
131,-22.0909,12.2986,-21.8484,12.5059,2.10846,-3.63339,-0.242506,-0.207334,3592.52,-22.0152,12.1065,0
143,-22.1147,12.2996,-21.8484,12.5059,-1.9846,0.0862801,-0.266322,-0.206299,3587.49,-22.21,12.5113,0
152,-22.1087,12.2997,-21.8484,12.5059,0.674508,0.00981031,-0.260251,-0.20621,3579.65,-22.107,12.4283,0
163,-22.0831,12.3123,-21.8484,12.5059,2.322,1.14751,-0.234709,-0.193588,3568.6,-21.9389,12.0855,0
171,-22.1045,12.315,-21.8484,12.5059,-2.67311,0.334172,-0.256094,-0.190914,3556.65,-22.0825,12.5541,0
185,-22.1053,12.3175,-21.8484,12.5059,-0.0548758,0.175439,-0.256862,-0.188458,3546.34,-22.0921,12.4779,0
191,-22.0983,12.371,-21.8484,12.5059,1.15702,8.92886,-0.24992,-0.134885,3537.57,-21.9069,12.2188,0
203,-22.0548,12.3693,-21.8484,12.5059,3.62821,-0.142773,-0.206381,-0.136598,3529.1,-22.1186,12.4766,0
211,-22.0505,12.3699,-21.8484,12.5059,0.540089,0.0676431,-0.202061,-0.136057,3520.57,-22.1046,12.4704,0
223,-22.0449,12.3909,-21.8484,12.5059,0.468171,1.75163,-0.196443,-0.115037,3511.23,-21.8719,12.287,0
231,-21.9918,12.3869,-21.8484,12.5059,6.62972,-0.503668,-0.143405,-0.119067,3500.35,-22.0813,12.5134,0
243,-21.9874,12.3855,-21.8484,12.5059,0.369156,-0.115819,-0.138975,-0.120457,3489.47,-22.0808,12.4991,0
251,-21.9395,12.3588,-21.8484,12.5059,5.99058,-3.33467,-0.0910503,-0.147134,3480.97,-21.8368,12.1964,0
263,-21.9374,12.3574,-21.8484,12.5059,0.17376,-0.116766,-0.0889652,-0.148535,3474.3,-22.1204,12.4575,0
271,-21.9388,12.3507,-21.8484,12.5059,-0.178403,-0.830716,-0.0903924,-0.155181,3466.33,-21.9615,12.4263,0
283,-21.9629,12.3181,-21.8484,12.5059,-2.01084,-2.71868,-0.114523,-0.187805,3456.23,-21.7381,12.2086,0
292,-22.0258,12.3225,-21.8484,12.5059,-6.98245,0.485471,-0.177365,-0.183436,3446.73,-22.017,12.3855,0
304,-22.0317,12.324,-21.8484,12.5059,-0.496179,0.124262,-0.183319,-0.181945,3439.53,-22.0324,12.4601,0
312,-22.1053,12.3521,-21.8484,12.5059,-9.19943,3.51669,-0.256914,-0.153811,3432.92,-22.2073,12.1251,0
324,-22.1122,12.3537,-21.8484,12.5059,-0.573863,0.131699,-0.263801,-0.152231,3424.96,-22.2585,12.4741,0
332,-22.1952,12.3629,-21.8484,12.5059,-10.3756,1.14673,-0.346806,-0.143057,3416.67,-22.2247,12.5335,0
344,-22.1936,12.3933,-21.8484,12.5059,0.131965,2.53305,-0.345222,-0.11266,3410.65,-21.9746,12.3033,0
356,-22.1368,12.3892,-21.8484,12.5059,4.74012,-0.33553,-0.288341,-0.116687,3407.73,-22.2159,12.4855,0
364,-22.0788,12.3823,-21.8484,12.5059,7.24853,-0.86433,-0.230352,-0.123601,3406.48,-22.1528,12.4587,0
377,-22.0393,12.3455,-21.8484,12.5059,3.03569,-2.83432,-0.190888,-0.160448,3405.34,-21.916,12.2158,0
385,-22.0377,12.3435,-21.8484,12.5059,0.199067,-0.251773,-0.189296,-0.162462,3403.91,-22.0915,12.3943,0
396,-22.037,12.3422,-21.8484,12.5059,0.0639779,-0.117813,-0.188592,-0.163758,3402.29,-22.1138,12.4482,0
404,-22.0224,12.3132,-21.8484,12.5059,1.82283,-3.61947,-0.174009,-0.192713,3400.18,-21.9334,12.1983,0
416,-22.0542,12.315,-21.8484,12.5059,-2.64717,0.147621,-0.205776,-0.190942,3396.76,-22.118,12.5019,0
427,-22.0322,12.3136,-21.8484,12.5059,1.9976,-0.129072,-0.183802,-0.192362,3392.05,-22.1892,12.4431,0
436,-22.0295,12.3311,-21.8484,12.5059,0.298048,1.95087,-0.18112,-0.174804,3387.27,-21.9221,12.1753,0
444,-22.0228,12.4025,-21.8484,12.5059,0.836245,8.92357,-0.17443,-0.103415,3383.38,-22.0183,12.472,0
456,-22.0213,12.4069,-21.8484,12.5059,0.132217,0.368639,-0.172843,-0.0989917,3380.27,-22.0271,12.5255,0
464,-21.9902,12.4368,-21.8484,12.5059,3.88594,3.72743,-0.141755,-0.0691723,3377.21,-21.8829,12.1918,0
476,-21.9524,12.4352,-21.8484,12.5059,3.14332,-0.130025,-0.104036,-0.0707326,3373.61,-22.0135,12.5423,0
484,-21.9488,12.4474,-21.8484,12.5059,0.453712,1.52689,-0.100406,-0.0585175,3369.24,-22.0133,12.5612,0
496,-21.9281,12.4561,-21.8484,12.5059,1.72586,0.72289,-0.0796956,-0.0498428,3363.81,-21.7703,12.2531,0
504,-21.9263,12.4661,-21.8484,12.5059,0.225851,1.24638,-0.0778888,-0.0398718,3357.17,-22.0062,12.5646,0
517,-21.9266,12.4515,-21.8484,12.5059,-0.0218878,-1.12003,-0.0781733,-0.0544321,3349.88,-22.0069,12.5525,0
524,-21.9023,12.4486,-21.8484,12.5059,3.46313,-0.417868,-0.0539314,-0.0573572,3342.54,-21.8286,12.2896,0
536,-21.9013,12.4483,-21.8484,12.5059,0.087457,-0.0248228,-0.0528819,-0.0576551,3334.95,-22.0098,12.4874,0
545,-21.9009,12.443,-21.8484,12.5059,0.039426,-0.582553,-0.0525271,-0.062898,3326.46,-21.9508,12.5551,0
556,-21.8835,12.4235,-21.8484,12.5059,1.58282,-1.77069,-0.0351161,-0.0823757,3316.94,-21.7768,12.2255,0
564,-21.8882,12.364,-21.8484,12.5059,-0.589903,-7.44059,-0.0398353,-0.1419,3307.32,-21.9971,12.4763,0
577,-21.8893,12.3591,-21.8484,12.5059,-0.0835615,-0.376516,-0.0409216,-0.146795,3298.06,-21.9562,12.4446,0
584,-21.9086,12.3065,-21.8484,12.5059,-2.74697,-7.51498,-0.0601503,-0.1994,3288.66,-21.8166,12.1736,0
597,-21.9094,12.3042,-21.8484,12.5059,-0.0649988,-0.177877,-0.0609953,-0.201712,3279.25,-22.0933,12.4209,0
609,-21.9098,12.3042,-21.8484,12.5059,-0.0338036,-0.000282799,-0.061401,-0.201716,3270.89,-22.0545,12.3553,0
617,-21.919,12.3041,-21.8484,12.5059,-1.15377,-0.00908388,-0.0706311,-0.201788,3263.97,-21.8066,12.1872,0
630,-21.9185,12.304,-21.8484,12.5059,0.0386834,-0.00677777,-0.0701282,-0.201876,3257.07,-21.9985,12.5132,0
639,-21.8958,12.3042,-21.8484,12.5059,2.53131,0.0186225,-0.0473464,-0.201709,3248.63,-22.0202,12.4874,0
649,-21.847,12.3519,-21.8484,12.5059,4.87902,4.76893,0.00144375,-0.15402,3239.59,-21.751,12.1688,0
657,-21.8424,12.3538,-21.8484,12.5059,0.570872,0.233587,0.00601073,-0.152151,3232.23,-21.8706,12.4747,0
669,-21.7846,12.3512,-21.8484,12.5059,4.81877,-0.210645,0.063836,-0.154679,3226.99,-21.9823,12.5008,0
677,-21.742,12.4128,-21.8484,12.5059,5.32495,7.69668,0.106436,-0.0931051,3222.69,-21.6876,12.2668,0
689,-21.7322,12.4304,-21.8484,12.5059,0.81705,1.46328,0.11624,-0.0755458,3218.36,-21.7227,12.742,0
697,-21.7273,12.4696,-21.8484,12.5059,0.612705,4.89925,0.121142,-0.0363519,3213.53,-21.8008,12.6869,0
709,-21.6982,12.5486,-21.8484,12.5059,2.42527,6.58353,0.150245,0.0426505,3208.36,-21.5602,12.3812,0
717,-21.6969,12.552,-21.8484,12.5059,0.159012,0.425111,0.151517,0.0460514,3203.94,-21.8472,12.6763,0
729,-21.6975,12.5524,-21.8484,12.5059,-0.0545278,0.0380975,0.150863,0.0465086,3201.26,-21.7874,12.7208,0
737,-21.7124,12.5628,-21.8484,12.5059,-1.86163,1.29975,0.13597,0.0569066,3200.16,-21.591,12.4642,0
749,-21.7131,12.5633,-21.8484,12.5059,-0.0545221,0.0380692,0.135316,0.0573634,3199.83,-21.8672,12.6799,0
757,-21.7137,12.5631,-21.8484,12.5059,-0.0783401,-0.0173488,0.134689,0.0572246,3199.72,-21.8521,12.651,0
769,-21.728,12.56,-21.8484,12.5059,-1.18846,-0.263302,0.120427,0.054065,3199.65,-21.6217,12.4143,0
777,-21.7286,12.5599,-21.8484,12.5059,-0.0783183,-0.0173524,0.119801,0.0539262,3199.56,-21.8253,12.6869,0
789,-21.7278,12.5597,-21.8484,12.5059,0.0665327,-0.0121308,0.120599,0.0537806,3199.22,-21.8417,12.6912,0
797,-21.7096,12.5564,-21.8484,12.5059,2.27189,-0.414065,0.138774,0.0504681,3197.9,-21.5976,12.4326,0
809,-21.7088,12.5562,-21.8484,12.5059,0.0665562,-0.0121272,0.139573,0.0503225,3194.76,-21.7912,12.6825,0
817,-21.7075,12.5558,-21.8484,12.5059,0.171435,-0.0609341,0.140944,0.0498351,3189.95,-21.8259,12.665,0
829,-21.6762,12.5447,-21.8484,12.5059,2.60178,-0.924515,0.172166,0.0387409,3185.01,-21.5445,12.4363,0
837,-21.6749,12.5442,-21.8484,12.5059,0.171516,-0.0609286,0.173538,0.0382535,3181.39,-21.7884,12.6837,0
849,-21.6743,12.5449,-21.8484,12.5059,0.049932,0.0588854,0.174137,0.0389601,3179.29,-21.7646,12.637,0
861,-21.6606,12.561,-21.8484,12.5059,1.13626,1.34011,0.187772,0.0550414,3178.19,-21.5393,12.3963,0
869,-21.66,12.5617,-21.8484,12.5059,0.0840456,0.0874618,0.188445,0.0557411,3177.67,-21.7704,12.698,0
881,-21.6573,12.5628,-21.8484,12.5059,0.218542,0.0918703,0.191067,0.0568436,3177.46,-21.7658,12.7768,0
888,-21.6355,12.5914,-21.8484,12.5059,3.11595,4.08313,0.212879,0.0854255,3177.36,-21.5602,12.4751,0
900,-21.6346,12.5926,-21.8484,12.5059,0.0795963,0.104648,0.213834,0.0866812,3177.28,-21.646,12.7559,0
908,-21.6339,12.5916,-21.8484,12.5059,0.0839441,-0.128135,0.214505,0.0856562,3177.23,-21.7024,12.727,0
