Resolution,1920,1080,Distance,58,Width,47.5,Subject,V006GAAURA,Test,TSMH-03062018-105539,Calibration,CC9-03062018-105514,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163731
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.6097858683621091,0.0281362,0.0,0.0,0.0,0.0,-0.0129757,0.0281362,4067.76,-0.00839376,0.0278422,0.0
12.185,0.6097858683621091,0.0281362,0.0,0.0,0.0,0.0,-0.0129757,0.0281362,4067.76,-0.0166079,0.0393882,0.0
18.744,0.6099518683621091,0.0308372,0.0,0.0,0.0253202,0.411798,-0.0128097,0.0308372,4067.76,0.0446693,0.083595,0.0
30.716,0.6102523683621092,0.0357226,0.0,0.0,0.0250932,0.408071,-0.0125092,0.0357226,4067.76,-0.0173542,3.42902e-05,0.0
39.682,0.6117991683621091,0.0884022,0.0,0.0,0.172519,5.87548,-0.0109624,0.0884022,4082.31,0.0186406,0.150003,0.0
50.585,0.6141989283621092,0.139014,0.0,0.0,0.220104,4.64196,-0.00856264,0.139014,4093.87,-0.000750799,0.142962,0.0
58.578,0.6145342583621092,0.145062,0.0,0.0,0.0419541,0.756683,-0.00822731,0.145062,4106.33,-0.00417015,0.218585,0.0
71.422,0.6150778183621092,0.14902,0.0,0.0,0.0423197,0.308162,-0.00768375,0.14902,4118.82,-0.0329149,0.0689375,0.0
79.401,0.6157789983621091,0.153062,0.0,0.0,0.0878779,0.506651,-0.00698257,0.153062,4131.58,-0.0238472,0.134624,0.0
90.842,0.6161916283621092,0.152928,0.0,0.0,0.0360665,-0.0117634,-0.00656994,0.152928,4145.97,-0.00641178,0.159669,0.0
99.388,0.6162049883621091,0.146668,0.0,0.0,0.00156304,-0.73249,-0.00655658,0.146668,4162.74,0.0844332,0.168133,0.0
110.697,0.6171637983621092,0.153399,0.0,0.0,0.0847833,0.595209,-0.00559777,0.153399,4179.96,0.0861481,0.114306,0.0
122.694,0.6183440683621092,0.165634,0.0,0.0,0.0983803,1.01981,-0.0044175,0.165634,4194.79,0.120264,0.220519,0.0
130.259,0.6183795483621092,0.172529,0.0,0.0,0.00468935,0.911511,-0.00438202,0.172529,4207.16,0.0854822,0.0852523,0.0
142.156,0.6164958283621091,0.18508,0.0,0.0,-0.158336,1.05491,-0.00626574,0.18508,4219.16,-0.00213263,0.305659,0.0
151.799,0.6101538683621092,0.199511,0.0,0.0,-0.657677,1.49656,-0.0126077,0.199511,4232.0,-0.156674,0.204471,0.0
162.841,0.5988110683621092,0.200631,0.0,0.0,-1.02724,0.10143,-0.0239505,0.200631,4246.43,-0.0510506,0.208703,0.0
171.425,0.5859730683621092,0.200886,0.0,0.0,-1.49557,0.029723,-0.0367885,0.200886,4262.97,0.0111836,0.246061,0.0
182.583,0.5736713683621092,0.193157,0.0,0.0,-1.1025,-0.69268,-0.0490902,0.193157,4280.48,-0.0780462,0.141817,0.0
190.595,0.5650344683621091,0.176899,0.0,0.0,-1.07799,-2.02927,-0.0577271,0.176899,4297.91,-0.0881268,0.168126,0.0
203.665,0.5606094683621091,0.151425,0.0,0.0,-0.338567,-1.94901,-0.0621521,0.151425,4315.71,-0.1147,0.0991473,0.0
211.454,0.5592881683621092,0.13573,0.0,0.0,-0.169638,-2.01508,-0.0634734,0.13573,4333.33,-0.0115786,0.134648,0.0
222.567,0.5598432683621092,0.133948,0.0,0.0,0.0499512,-0.160266,-0.0629183,0.133948,4348.79,-0.0682491,0.133435,0.0
231.661,0.5605502683621092,0.128545,0.0,0.0,0.0777437,-0.594227,-0.0622113,0.128545,4361.59,-0.0811204,0.11464,0.0
