Resolution,1920,1080,Distance,58.5,Width,48,Subject,AURA69,Test,TIF3-11082017-115525,Calibration,CC9-11082017-115328,Oscann, 4.0.12,libTracker, 1.0.12,crtime, 12202018-154128
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,6.75763,-4.47226,0,0,0,0,6.75763,-4.47226,4395.99,6.75896,-4.50525,0
7.894,6.75763,-4.47226,0,0,0,0,6.75763,-4.47226,4395.99,6.83505,-4.24856,0
19.856,6.75456,-4.40906,0,0,-0.256479,5.28362,6.75456,-4.40906,4395.99,6.72231,-4.37726,0
27.883,6.74395,-4.32619,0,0,-1.32197,10.3246,6.74395,-4.32619,4395.99,6.75122,-4.23928,0
39.784,6.72327,-4.27237,0,0,-1.73798,4.52198,6.72327,-4.27237,4392.73,6.80472,-4.24241,0
47.745,6.64419,-4.26812,0,0,-9.93275,0.53337,6.64419,-4.26812,4384.52,6.53713,-4.2975,0
59.736,6.57629,-4.26629,0,0,-5.66267,0.152855,6.57629,-4.26629,4376.71,6.51583,-4.26334,0
67.849,6.57307,-4.26674,0,0,-0.397466,-0.0555852,6.57307,-4.26674,4369.31,6.60998,-4.34739,0
80.204,6.56432,-4.27878,0,0,-0.708108,-0.974258,6.56432,-4.27878,4362.38,6.57959,-4.32354,0
87.851,6.56345,-4.28003,0,0,-0.113929,-0.163635,6.56345,-4.28003,4355.59,6.62502,-4.21574,0
99.741,6.55278,-4.29648,0,0,-0.897292,-1.3836,6.55278,-4.29648,4349.08,6.52778,-4.30013,0
107.814,6.56198,-4.29645,0,0,1.13931,0.00368854,6.56198,-4.29645,4343.57,6.51096,-4.18287,0
119.718,6.56912,-4.27407,0,0,0.59997,1.88042,6.56912,-4.27407,4339.12,6.56661,-4.33435,0
127.741,6.60204,-4.28856,0,0,4.10301,-1.80641,6.60204,-4.28856,4335.29,6.77055,-4.3166,0
139.761,6.66447,-4.29582,0,0,5.19433,-0.60364,6.66447,-4.29582,4331.71,6.65319,-4.24579,0
147.816,6.66965,-4.31287,0,0,0.642693,-2.11677,6.66965,-4.31287,4328.12,6.69967,-4.27841,0
160.048,6.70616,-4.31602,0,0,2.9849,-0.258236,6.70616,-4.31602,4324.47,6.91472,-4.35452,0
167.993,6.70949,-4.34985,0,0,0.418778,-4.2577,6.70949,-4.34985,4320.37,6.61341,-4.51444,0
180.202,6.70859,-4.35131,0,0,-0.0738457,-0.119459,6.70859,-4.35131,4315.46,6.82037,-4.42985,0
188.167,6.68613,-4.34629,0,0,-2.81872,0.630325,6.68613,-4.34629,4310.92,6.82045,-4.42412,0
200.349,6.67996,-4.23829,0,0,-0.506493,8.86536,6.67996,-4.23829,4308,6.65723,-4.09102,0
212.359,6.68699,-4.0891,0,0,0.585102,12.4222,6.68699,-4.0891,4306.09,6.67212,-4.05499,0
220.429,6.68645,-4.08083,0,0,-0.067502,1.02542,6.68645,-4.08083,4304.44,6.53685,-3.93825,0
232.372,6.66804,-4.0377,0,0,-1.5414,3.61133,6.66804,-4.0377,4303.3,6.75101,-3.8608,0
241.33,6.68337,-4.03601,0,0,1.71119,0.188228,6.68337,-4.03601,4302.72,6.73418,-4.19543,0
253.068,6.6825,-4.03351,0,0,-0.0735254,0.213421,6.6825,-4.03351,4302.13,6.64044,-3.9122,0
260.447,6.68547,-4.09313,0,0,0.40246,-8.08041,6.68547,-4.09313,4301.19,6.72184,-4.17554,0
272.45,6.66536,-4.13625,0,0,-1.67573,-3.59212,6.66536,-4.13625,4299.85,6.68549,-4.02725,0
