Resolution,1920,1080,Distance,57,Width,47.8,Subject,FPM-50829332E,Test,CC9-05252018-122545,Calibration,CC9-05252018-122545,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12102018-160942
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.5067,13.103,-22.3212,12.7959,0,0,-0.185492,0.30705,4136.15,-22.5068,13.1031,0
8.041,-22.5067,13.103,-22.3212,12.7959,0,0,-0.185492,0.30705,4136.15,-22.5593,13.1095,0
20.028,-22.5072,13.1017,-22.3212,12.7959,-0.0383952,-0.105158,-0.185952,0.305789,4136.15,-22.5029,13.0979,0
31.244,-22.5091,13.0953,-22.3212,12.7959,-0.174727,-0.569769,-0.187912,0.299399,4136.15,-22.4775,13.0787,0
40.161,-22.5136,13.0839,-22.3212,12.7959,-0.500739,-1.28198,-0.192377,0.287967,4126.53,-22.5235,13.0786,0
51.802,-22.5227,13.0683,-22.3212,12.7959,-0.783842,-1.33996,-0.201502,0.272369,4112.93,-22.5293,13.0584,0
59.799,-22.5302,13.0561,-22.3212,12.7959,-0.928062,-1.52855,-0.208924,0.260145,4101.64,-22.5552,13.0557,0
72.186,-22.5329,13.0485,-22.3212,12.7959,-0.217753,-0.614538,-0.211621,0.252533,4089.85,-22.5751,13.0252,0
80.568,-22.5415,13.0397,-22.3212,12.7959,-1.0348,-1.04101,-0.220295,0.243807,4077.35,-22.537,13.0343,0
92.156,-22.5492,13.0385,-22.3212,12.7959,-0.660719,-0.10505,-0.227951,0.242589,4067.16,-22.5214,13.0694,0
99.23,-22.5596,13.0379,-22.3212,12.7959,-1.46973,-0.0873721,-0.238348,0.241971,4060.02,-22.5701,13.0366,0
111.662,-22.5595,13.041,-22.3212,12.7959,0.0101279,0.252396,-0.238222,0.245109,4053.05,-22.5683,13.0439,0
119.671,-22.5679,13.042,-22.3212,12.7959,-1.04878,0.122035,-0.246622,0.246087,4044,-22.5228,13.0105,0
131.374,-22.5685,13.0421,-22.3212,12.7959,-0.0573069,0.00570231,-0.247292,0.246153,4034.26,-22.5639,13.0724,0
