Resolution,1920,1080,Distance,1,Width,1,Subject,V005-GB,Test,CC9-12162016-131451,Calibration,CC9-12162016-131451,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-26.1772,15.3821,-26.0856,15.1541,0,0,-0.0915691,0.228073,4793.65,-26.166,15.3817,0
8,-26.1772,15.3821,-26.0856,15.1541,0,0,-0.0915691,0.228073,4793.65,-26.2709,15.3892,0
19,-26.2005,15.3829,-26.0856,15.1541,-2.12267,0.0715837,-0.114918,0.228861,4793.65,-26.2095,15.3403,0
32,-26.2723,15.3765,-26.0856,15.1541,-5.51789,-0.493955,-0.186651,0.222439,4793.65,-26.4016,15.4027,0
40,-26.3299,15.3679,-26.0856,15.1541,-7.21178,-1.07137,-0.244345,0.213868,4801.58,-26.4208,15.2905,0
52,-26.3324,15.3636,-26.0856,15.1541,-0.202986,-0.359284,-0.246781,0.209557,4804.49,-26.3236,15.3658,0
60,-26.3315,15.3575,-26.0856,15.1541,0.11055,-0.770385,-0.245897,0.203394,4808.75,-26.3328,15.3611,0
73,-26.3097,15.3228,-26.0856,15.1541,1.67953,-2.66687,-0.224063,0.168724,4813.59,-26.2906,15.1844,0
81,-26.2898,15.2727,-26.0856,15.1541,2.47749,-6.26438,-0.204243,0.118609,4817.78,-26.2907,15.2909,0
93,-26.2578,15.2575,-26.0856,15.1541,2.66667,-1.26087,-0.172243,0.103479,4820.98,-26.2268,15.1517,0
101,-26.2237,15.2487,-26.0856,15.1541,4.26502,-1.10234,-0.138123,0.0946601,4823.6,-26.163,15.23,0
113,-26.2051,15.2542,-26.0856,15.1541,1.5518,0.453826,-0.119501,0.100106,4825.75,-26.2143,15.2628,0
121,-26.2036,15.2474,-26.0856,15.1541,0.184702,-0.841605,-0.118024,0.0933731,4827.42,-26.1297,15.107,0
133,-26.1853,15.2465,-26.0856,15.1541,1.52432,-0.074307,-0.0997317,0.0924814,4829.17,-26.1812,15.2819,0
141,-26.1722,15.253,-26.0856,15.1541,1.64396,0.806941,-0.0865801,0.098937,4831.86,-26.2294,15.315,0
153,-26.1545,15.2553,-26.0856,15.1541,1.4732,0.188221,-0.0689017,0.101196,4835.63,-26.164,15.1854,0
161,-26.1579,15.2523,-26.0856,15.1541,-0.42535,-0.371925,-0.0723045,0.0982202,4839.85,-26.0498,15.2612,0
173,-26.1578,15.2403,-26.0856,15.1541,0.009323,-0.996073,-0.0721926,0.0862674,4843.99,-26.1239,15.2684,0
181,-26.1484,15.2394,-26.0856,15.1541,1.1685,-0.121815,-0.0628446,0.0852928,4848.79,-26.1818,15.2126,0
193,-26.1409,15.2372,-26.0856,15.1541,0.631001,-0.176726,-0.0552725,0.0831721,4855.58,-26.2198,15.0995,0
201,-26.131,15.1936,-26.0856,15.1541,1.22867,-5.45158,-0.0454432,0.0395595,4864,-26.1378,15.2691,0
213,-26.1109,15.115,-26.0856,15.1541,1.67482,-6.55441,-0.0253454,-0.0390935,4872.25,-26.019,14.9633,0
221,-26.0876,15.0633,-26.0856,15.1541,2.92224,-6.45504,-0.00196743,-0.0907338,4879.44,-26.0274,15.0537,0
233,-26.0861,15.0554,-26.0856,15.1541,0.118214,-0.659946,-0.00054886,-0.0986531,4885.95,-26.1048,15.0407,0
241,-26.0748,15.0546,-26.0856,15.1541,1.42023,-0.101151,0.0108129,-0.0994624,4892.45,-26.0898,15.0416,0
253,-26.0633,15.0539,-26.0856,15.1541,0.957103,-0.0581484,0.0222982,-0.10016,4899.17,-26.0954,15.0626,0
261,-26.0744,15.0513,-26.0856,15.1541,-1.39107,-0.322342,0.0111696,-0.102739,4905.56,-25.8831,15.1086,0
273,-26.0923,15.0504,-26.0856,15.1541,-1.49093,-0.0791241,-0.00672152,-0.103688,4910.85,-25.9575,15.0643,0
285,-26.103,15.0099,-26.0856,15.1541,-0.890488,-3.36979,-0.0174074,-0.144126,4915.66,-26.113,14.9128,0
293,-26.0912,14.9486,-26.0856,15.1541,1.4806,-7.66333,-0.00556254,-0.205433,4921.62,-26.1649,14.9617,0
305,-26.0907,14.9361,-26.0856,15.1541,0.0380403,-1.04642,-0.00510606,-0.21799,4929.48,-26.1386,15.1019,0
313,-26.0888,14.9307,-26.0856,15.1541,0.243197,-0.672152,-0.00316049,-0.223367,4938.86,-26.069,14.8934,0
325,-26.0422,14.9307,-26.0856,15.1541,3.87713,-0.00254751,0.0433651,-0.223397,4948.55,-26.0142,14.9331,0
333,-26.0131,14.9291,-26.0856,15.1541,3.63978,-0.199002,0.0724833,-0.224989,4956.84,-26.0051,14.9219,0
345,-26.0119,14.9291,-26.0856,15.1541,0.0994323,0.00321403,0.0736765,-0.224951,4963.08,-25.9651,14.9363,0
353,-26.0122,14.9325,-26.0856,15.1541,-0.0298942,0.419687,0.0734373,-0.221593,4968.13,-25.996,14.9074,0
365,-26.0178,14.9542,-26.0856,15.1541,-0.469696,1.81163,0.067801,-0.199854,4973.17,-26.0577,15.0983,0
373,-26.0117,14.995,-26.0856,15.1541,0.761783,5.09618,0.0738952,-0.159084,4978.96,-26.0894,15.0931,0
385,-26.019,15.0389,-26.0856,15.1541,-0.609322,3.66229,0.0665834,-0.115137,4985.26,-26.1661,14.9834,0
393,-26.0314,15.0647,-26.0856,15.1541,-1.54876,3.22693,0.0541933,-0.0893213,4991.38,-25.9835,15.1287,0
405,-26.0316,15.064,-26.0856,15.1541,-0.0135929,-0.0635377,0.0540302,-0.0900838,4997.67,-25.9497,15.0615,0
413,-26.0188,15.0222,-26.0856,15.1541,1.59626,-5.22479,0.0668003,-0.131882,5004.65,-26.0375,15.0662,0
425,-25.9969,15.0117,-26.0856,15.1541,1.82731,-0.877047,0.088728,-0.142407,5011.2,-26.0275,14.9658,0
433,-25.9491,14.9477,-26.0856,15.1541,5.97066,-7.99957,0.136493,-0.206403,5015.95,-25.8906,14.8795,0
445,-25.8598,14.939,-26.0856,15.1541,7.44186,-0.724455,0.225796,-0.215097,5018.97,-25.825,14.8883,0
453,-25.8257,14.9372,-26.0856,15.1541,4.26885,-0.216012,0.259946,-0.216825,5020.89,-25.8244,14.8442,0
465,-25.8238,14.9387,-26.0856,15.1541,0.151543,0.123602,0.261765,-0.215342,5022.01,-25.9412,15.1737,0
473,-25.8235,14.9745,-26.0856,15.1541,0.0424628,4.46765,0.262105,-0.1796,5022.54,-25.8119,15.0157,0
485,-25.8262,14.9762,-26.0856,15.1541,-0.228292,0.141943,0.259365,-0.177897,5022.84,-25.8141,15.0062,0
493,-25.8919,14.9804,-26.0856,15.1541,-8.20852,0.534835,0.193697,-0.173618,5023.22,-25.9832,15.0076,0
505,-25.9636,15.0089,-26.0856,15.1541,-5.97305,2.37275,0.12202,-0.145145,5023.84,-25.9549,14.8542,0
513,-25.9666,15.0126,-26.0856,15.1541,-0.37568,0.46327,0.119015,-0.141439,5024.98,-25.9657,14.906,0
525,-25.9652,15.0714,-26.0856,15.1541,0.118706,4.89369,0.120439,-0.082715,5026.85,-26.0045,15.1457,0
537,-25.9442,15.1363,-26.0856,15.1541,1.74625,5.41605,0.141394,-0.0177224,5029.23,-25.772,15.1261,0
545,-25.9504,15.1533,-26.0856,15.1541,-0.778278,2.12199,0.135168,-0.000746494,5031.91,-25.8916,15.1881,0
557,-25.9599,15.177,-26.0856,15.1541,-0.787696,1.9691,0.125716,0.0228827,5034.9,-25.7297,15.0045,0
565,-25.9302,15.1897,-26.0856,15.1541,3.70893,1.59659,0.155387,0.0356554,5037.97,-26.1015,15.2645,0
577,-25.9533,15.192,-26.0856,15.1541,-1.92148,0.186911,0.13233,0.0378983,5040.88,-26.0633,15.1976,0
585,-25.9556,15.1921,-26.0856,15.1541,-0.296674,0.0173442,0.129956,0.038037,5043.46,-25.9279,15.2138,0
597,-25.984,15.1934,-26.0856,15.1541,-2.35896,0.105512,0.101649,0.0393032,5045.78,-25.9802,15.2303,0
605,-25.955,15.1901,-26.0856,15.1541,3.61762,-0.40395,0.13059,0.0360716,5048.17,-25.8657,15.1541,0
617,-25.9294,15.1989,-26.0856,15.1541,2.13482,0.729351,0.156207,0.0448238,5050.69,-25.9936,15.0704,0
625,-25.9246,15.1907,-26.0856,15.1541,0.596034,-1.02637,0.160976,0.0366128,5053.16,-26.087,15.0514,0
637,-25.9026,15.1895,-26.0856,15.1541,1.83182,-0.102313,0.182957,0.0353851,5055.75,-25.8548,15.3707,0
645,-25.9003,15.1939,-26.0856,15.1541,0.290549,0.559475,0.185282,0.0398609,5059.1,-25.9063,15.1868,0
657,-25.8697,15.1929,-26.0856,15.1541,2.55315,-0.0864576,0.21592,0.0388234,5064.37,-25.9375,15.2035,0
665,-25.8561,15.1976,-26.0856,15.1541,1.69716,0.58375,0.229497,0.0434934,5071.71,-25.8042,15.1212,0
677,-25.8544,15.198,-26.0856,15.1541,0.144685,0.0387466,0.231233,0.0439583,5078.78,-25.7559,15.3118,0
685,-25.8538,15.2052,-26.0856,15.1541,0.0734781,0.891078,0.231821,0.051087,5083.97,-25.9041,15.2099,0
697,-25.8538,15.2055,-26.0856,15.1541,0.00196336,0.0261091,0.231845,0.0514003,5089,-25.9624,15.2414,0
705,-25.8563,15.2056,-26.0856,15.1541,-0.313962,0.0180893,0.229333,0.051545,5095.45,-25.7783,15.2146,0
717,-25.9169,15.2091,-26.0856,15.1541,-5.05046,0.288552,0.168727,0.0550076,5102.2,-25.9796,15.037,0
725,-25.9982,15.213,-26.0856,15.1541,-10.169,0.493387,0.0873753,0.0589547,5107.64,-26.1208,14.9991,0
737,-26.0017,15.2132,-26.0856,15.1541,-0.288504,0.0139418,0.0839132,0.059122,5111.77,-26.2818,15.2254,0
745,-26.0013,15.2132,-26.0856,15.1541,0.0510989,-0.00246949,0.084322,0.0591023,5115.66,-26.0244,15.3158,0
757,-25.9891,15.2137,-26.0856,15.1541,1.01659,0.0422365,0.0965212,0.0596091,5120.22,-25.8754,15.2113,0
765,-25.9203,15.2363,-26.0856,15.1541,8.60176,2.83407,0.165335,0.0822817,5125.39,-25.8884,15.3859,0
777,-25.856,15.2589,-26.0856,15.1541,5.35254,1.87835,0.229566,0.104822,5130.79,-25.8068,15.1633,0
789,-25.8271,15.279,-26.0856,15.1541,2.41329,1.67893,0.258525,0.124969,5136.11,-25.8472,15.3017,0
797,-25.8257,15.2996,-26.0856,15.1541,0.167485,2.5652,0.259865,0.145491,5140.52,-25.7871,15.2985,0
809,-25.8262,15.3011,-26.0856,15.1541,-0.0355555,0.131801,0.259439,0.147072,5143.62,-25.803,15.2865,0
817,-25.8383,15.3146,-26.0856,15.1541,-1.52006,1.68566,0.247278,0.160557,5146.26,-25.8907,15.329,0
829,-25.8916,15.3462,-26.0856,15.1541,-4.43899,2.63027,0.19401,0.192121,5149.15,-26.0254,15.3948,0
