Resolution,1920,1080,Distance,58,Width,47.5,Subject,V006GBAURA,Test,CC9-05072018-125621,Calibration,CC9-05072018-125621,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163904
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.9345,11.7637,-21.8484,12.5059,0,0,-1.08612,-0.742252,9058.16,-22.9431,11.7524,0
11.57,-22.9345,11.7637,-21.8484,12.5059,0,0,-1.08612,-0.742252,9058.16,-22.9016,12.3834,0
19.428,-22.7342,12.0334,-21.8484,12.5059,25.493,34.3203,-0.8858,-0.472563,9058.16,-16.6199,4.03846,0
30.668,-22.6229,12.3211,-21.8484,12.5059,9.90025,25.6022,-0.774521,-0.184794,9058.16,-22.9763,12.4113,0
38.29,-22.7845,12.3946,-21.8484,12.5059,-21.1922,9.64319,-0.936048,-0.111294,9113.48,-22.9327,12.4999,0
51.18,-22.8622,12.4431,-21.8484,12.5059,-6.03009,3.75919,-1.01378,-0.0628379,9145.53,-13.4415,12.263,0
59.16,-22.8608,12.4506,-21.8484,12.5059,0.168757,0.942181,-1.01243,-0.0553193,9165.57,-22.8835,12.4219,0
70.053,-22.8599,12.4517,-21.8484,12.5059,0.0818116,0.101698,-1.01154,-0.0542115,9182.25,-22.8376,12.4797,0
79.133,-22.7757,12.4528,-21.8484,12.5059,9.27293,0.117704,-0.927339,-0.0531427,9201.54,-16.2056,4.39186,0
90.05,-20.9695,12.1966,-21.8484,12.5059,165.456,-23.4653,0.878949,-0.309313,9221.73,-22.9344,12.6722,0
97.997,-20.8945,12.1723,-21.8484,12.5059,9.42626,-3.05564,0.95386,-0.333596,9239.07,-22.7892,12.6803,0
110.902,-20.9795,12.1832,-21.8484,12.5059,-6.58132,0.844032,0.868928,-0.322704,9252.16,-16.0639,4.91733,0
122.203,-22.7623,12.4694,-21.8484,12.5059,-157.754,25.3218,-0.913854,-0.036542,9260.55,-22.8489,12.3938,0
129.966,-22.8687,12.441,-21.8484,12.5059,-13.7065,-3.65215,-1.02026,-0.0648936,9265.45,-22.7602,12.4113,0
142.728,-22.876,12.4403,-21.8484,12.5059,-0.571605,-0.0555514,-1.02755,-0.0656026,9269.47,-16.3106,4.55735,0
150.944,-22.8871,12.4425,-21.8484,12.5059,-1.35302,0.267731,-1.03867,-0.0634029,9274.94,-22.7321,13.1207,0
162.265,-22.8929,12.4437,-21.8484,12.5059,-0.511201,0.101326,-1.04446,-0.0622558,9282.48,-22.9116,12.4537,0
170.236,-22.8938,12.4439,-21.8484,12.5059,-0.121309,0.0240603,-1.04542,-0.062064,9291.48,-16.4391,4.51304,0
182.798,-22.9112,12.4474,-21.8484,12.5059,-1.37861,0.284035,-1.06274,-0.058496,9300.93,-22.9498,12.4447,0
189.967,-22.9263,12.4536,-21.8484,12.5059,-2.11882,0.861563,-1.07793,-0.0523194,9308.58,-22.9603,12.476,0
201.948,-22.9232,12.459,-21.8484,12.5059,0.265152,0.451457,-1.07475,-0.0469105,9313.47,-16.2758,4.57832,0
210.013,-22.9279,12.4634,-21.8484,12.5059,-0.586448,0.548755,-1.07948,-0.0424848,9316.28,-22.6693,12.9931,0
221.955,-22.9332,12.475,-21.8484,12.5059,-0.446782,0.970706,-1.08482,-0.0308926,9317.59,-22.7308,12.8747,0
230.441,-22.8872,12.5347,-21.8484,12.5059,5.41974,7.03422,-1.03883,0.0287997,9318.04,-16.3662,4.49661,0
242.009,-22.8216,12.6366,-21.8484,12.5059,5.67156,8.80362,-0.973218,0.13064,9318.24,-22.7405,12.8563,0
249.98,-22.7912,12.6935,-21.8484,12.5059,3.81753,7.14365,-0.942789,0.187582,9318.46,-22.7293,12.9207,0
261.947,-22.7938,12.706,-21.8484,12.5059,-0.214147,1.04453,-0.945351,0.200082,9318.68,-16.2885,4.71797,0
270.056,-22.7867,12.7227,-21.8484,12.5059,0.876086,2.06015,-0.938247,0.216788,9318.83,-22.831,12.7365,0
281.976,-22.7809,12.7359,-21.8484,12.5059,0.484291,1.10631,-0.932474,0.229975,9318.8,-22.9267,12.5228,0
289.964,-22.7715,12.7531,-21.8484,12.5059,1.1721,2.15077,-0.923112,0.247155,9318.6,-13.6835,12.4428,0
302.075,-22.7585,12.769,-21.8484,12.5059,1.07288,1.31307,-0.910118,0.263058,9318.29,-22.7974,12.7478,0
309.973,-22.7579,12.7697,-21.8484,12.5059,0.0773875,0.0931753,-0.909507,0.263794,9317.63,-22.8902,12.6725,0
321.943,-22.7563,12.7714,-21.8484,12.5059,0.134523,0.137778,-0.907897,0.265443,9316.39,-13.5883,12.6432,0
330.044,-22.7485,12.7736,-21.8484,12.5059,0.965278,0.277711,-0.900077,0.267693,9314.45,-22.739,12.8109,0
342.587,-22.7368,12.7735,-21.8484,12.5059,0.930219,-0.00601873,-0.888409,0.267617,9311.25,-22.8304,12.6987,0
350.568,-22.7213,12.776,-21.8484,12.5059,1.94766,0.310725,-0.872865,0.270097,9306.43,-13.4434,12.7473,0
362.452,-22.7014,12.7823,-21.8484,12.5059,1.67482,0.531128,-0.852961,0.276409,9301.48,-22.8238,12.8119,0
373.956,-22.6881,12.7802,-21.8484,12.5059,1.15177,-0.182574,-0.839711,0.274309,9298.2,-22.8777,12.6078,0
381.952,-22.6574,12.7818,-21.8484,12.5059,3.8363,0.194744,-0.809036,0.275866,9296.43,-13.3156,12.6677,0
393.985,-22.5031,12.9198,-21.8484,12.5059,12.8305,11.4702,-0.654647,0.413886,9295.06,-22.9393,12.5661,0
402.713,-22.4992,12.9022,-21.8484,12.5059,0.441297,-2.01405,-0.650795,0.396308,9294.19,-22.73,12.7505,0
414.704,-22.5701,12.8108,-21.8484,12.5059,-5.91544,-7.62423,-0.721727,0.304885,9294.21,-13.0473,12.8463,0
422.379,-22.5645,12.807,-21.8484,12.5059,0.73293,-0.492412,-0.716102,0.301106,9294.16,-22.6881,12.6928,0
433.999,-22.5304,12.8425,-21.8484,12.5059,2.93191,3.05457,-0.682033,0.3366,9293.23,-22.5653,12.8911,0
441.981,-22.5319,12.8406,-21.8484,12.5059,-0.18168,-0.246019,-0.683483,0.334636,9291.83,-13.1393,12.9258,0
454.027,-22.5981,12.7608,-21.8484,12.5059,-5.49249,-6.6222,-0.749646,0.254865,9290.44,-22.6136,12.7388,0
461.99,-22.5905,12.7699,-21.8484,12.5059,0.950845,1.14997,-0.742074,0.264023,9289.17,-22.6545,12.6651,0
473.982,-22.6084,12.7483,-21.8484,12.5059,-1.49481,-1.80883,-0.76,0.242331,9287.74,-18.0053,7.61356,0
482.133,-22.6092,12.7473,-21.8484,12.5059,-0.0992482,-0.120217,-0.760809,0.241351,9286.19,-22.6226,12.7342,0
494.005,-22.6078,12.749,-21.8484,12.5059,0.122144,0.147946,-0.759359,0.243108,9284.78,-22.5594,12.7846,0
501.982,-22.5732,12.7909,-21.8484,12.5059,4.33642,5.24244,-0.724767,0.284927,9283.17,-13.3126,13.2363,0
514.614,-22.5328,12.8395,-21.8484,12.5059,3.19829,3.85124,-0.684366,0.333575,9281.02,-22.5314,12.8556,0
522.909,-22.4514,12.9368,-21.8484,12.5059,9.80754,11.7343,-0.603013,0.430912,9278.75,-22.4225,13.1455,0
534.907,-22.4429,12.9469,-21.8484,12.5059,0.714165,0.839661,-0.594444,0.440986,9276.58,-13.2194,13.2797,0
542.083,-22.4403,12.9467,-21.8484,12.5059,0.355457,-0.0229568,-0.591894,0.440821,9274.01,-22.4879,13.0229,0
554.004,-22.4384,12.9426,-21.8484,12.5059,0.161001,-0.343639,-0.589974,0.436725,9270.7,-22.507,12.8809,0
561.976,-22.4937,12.8673,-21.8484,12.5059,-6.94023,-9.44889,-0.645302,0.361398,9266.88,-13.5325,13.313,0
575.691,-22.4854,12.862,-21.8484,12.5059,0.603317,-0.385319,-0.637027,0.356113,9263.09,-22.4588,13.0539,0
581.985,-22.4715,12.8595,-21.8484,12.5059,2.20679,-0.40507,-0.623138,0.353564,9259.29,-22.4296,13.072,0
593.983,-22.4502,12.8556,-21.8484,12.5059,1.77581,-0.324792,-0.601831,0.349667,9254.53,-18.1104,7.61927,0
602.002,-22.4349,12.8515,-21.8484,12.5059,1.91711,-0.504628,-0.586458,0.34562,9248.04,-22.4885,13.0559,0
614.005,-22.4532,12.8243,-21.8484,12.5059,-1.52377,-2.27377,-0.604748,0.318328,9240.19,-22.4573,12.9928,0
