Resolution,1920,1080,Distance,60,Width,48,Subject,V008GBAURA,Test,TOPTHL-07182019-111908,Calibration,CC9-07182019-111842,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.534299,0.843833,0,0,0,0,0.534299,0.843833,9539.38,0.534322,0.843868,2
13.436,0.534299,0.843833,0,0,0,0,0.534299,0.843833,9539.38,0.534322,0.843868,2
21.895,0.534322,0.843868,0,0,0.00281556,0.00414462,0.534322,0.843868,9539.38,0.534322,0.843868,2
31.986,0.534322,0.843868,0,0,0,0,0.534322,0.843868,9539.38,0.534322,0.843868,2
40.294,0.534322,0.843868,0,0,0,0,0.534322,0.843868,9179.87,0.534322,0.843868,2
51.469,0.534322,0.843868,0,0,0,0,0.534322,0.843868,9019.3,0.534322,0.843868,2
59.842,0.534882,0.840519,0,0,0.0668025,-0.399961,0.534882,0.840519,8980.56,0.534322,0.843868,2
71.511,0.546099,0.753435,0,0,0.961267,-7.46282,0.546099,0.753435,8985.88,2.10879,-1.85753,0
83.466,0.510061,0.493963,0,0,-3.01442,-21.7041,0.510061,0.493963,9020.14,0.258052,0.473478,0
91.334,0.460223,0.271366,0,0,-6.33437,-28.2915,0.460223,0.271366,9080.81,0.504609,0.121216,0
103.294,0.443938,0.230717,0,0,-1.36155,-3.39874,0.443938,0.230717,9151.05,0.461715,0.199775,0
111.416,0.421836,0.226862,0,0,-2.72129,-0.474645,0.421836,0.226862,9219.53,0.393407,0.26844,0
124.253,0.443316,0.2296,0,0,1.67326,0.21331,0.443316,0.2296,9283.69,0.405907,0.235586,0
132.14,0.443819,0.235658,0,0,0.0637706,0.768105,0.443819,0.235658,9341.07,0.31356,0.35312,0
144.145,0.456484,0.237381,0,0,1.05496,0.143531,0.456484,0.237381,9388.92,0.549059,0.26898,0
152.035,0.496065,0.241156,0,0,5.01667,0.478407,0.496065,0.241156,9426.48,0.57494,0.222052,0
163.558,0.512626,0.225123,0,0,1.43717,-1.39135,0.512626,0.225123,9457.22,0.496407,0.121551,0
172.675,0.513279,0.22441,0,0,0.0716881,-0.0782071,0.513279,0.22441,9485.98,0.562274,0.34623,0
183.751,0.514212,0.224577,0,0,0.0842025,0.0150734,0.514212,0.224577,9517.6,0.500584,0.201439,0
192.099,0.535567,0.229658,0,0,2.55818,0.608601,0.535567,0.229658,9554.73,0.517318,0.243307,0
204.063,0.539033,0.259701,0,0,0.289654,2.51111,0.539033,0.259701,9592.61,0.458471,0.28796,0
211.554,0.530588,0.279093,0,0,-1.12736,2.58869,0.530588,0.279093,9624.26,0.593169,0.281748,0
225.043,0.565142,0.299364,0,0,2.56162,1.5028,0.565142,0.299364,9651.52,0.623652,0.283221,0
231.581,0.556783,0.422724,0,0,-1.27847,18.8681,0.556783,0.422724,9683.78,0.515896,0.530986,0
244.214,0.523899,0.660139,0,0,-2.60298,18.7933,0.523899,0.660139,9727.66,0.46042,0.790542,0
252.092,0.495779,0.789404,0,0,-3.56949,16.4084,0.495779,0.789404,9781.68,0.519852,0.797134,0
263.653,0.481339,0.798512,0,0,-1.24899,0.787803,0.481339,0.798512,9839.19,0.49773,0.904544,0
271.438,0.442771,0.805746,0,0,-4.95421,0.929168,0.442771,0.805746,9896.71,0.37748,0.802387,0
283.402,0.404574,0.840165,0,0,-3.19263,2.87689,0.404574,0.840165,9957,0.382818,0.866382,0
291.353,0.393192,0.873313,0,0,-1.43159,4.16899,0.393192,0.873313,10021.9,0.332933,0.873369,0
305.368,0.390076,0.893909,0,0,-0.222283,1.46958,0.390076,0.893909,10087,0.448505,0.951524,0
312.394,0.39495,0.934733,0,0,0.693627,5.81051,0.39495,0.934733,10143.5,0.425572,0.999474,0
323.581,0.393287,0.947785,0,0,-0.148664,1.16671,0.393287,0.947785,10181.2,0.341519,0.996417,0
336.296,0.391603,0.955155,0,0,-0.13241,0.579601,0.391603,0.955155,10198.3,0.400679,0.911688,0
345.053,0.380868,0.954211,0,0,-1.22585,-0.107849,0.380868,0.954211,10202.7,0.480858,0.931853,0
355.529,0.365365,0.95196,0,0,-1.47994,-0.214792,0.365365,0.95196,10200.6,0.335789,0.945934,0
363.661,0.292626,0.943581,0,0,-8.94473,-1.03046,0.292626,0.943581,10187.4,0.205341,0.924088,0
376.133,0.214917,0.934782,0,0,-6.23065,-0.705447,0.214917,0.934782,10148.1,0.228069,1.00168,0
385.195,0.191044,0.934848,0,0,-2.63448,0.00724203,0.191044,0.934848,10065.4,0.130059,0.932746,0
395.591,0.165031,0.931988,0,0,-2.50214,-0.275127,0.165031,0.931988,9929.77,0.147014,0.977395,0
404.112,0.0988854,0.923844,0,0,-7.76271,-0.955782,0.0988854,0.923844,9745.97,-0.0227461,0.906603,0
416.084,0.0768927,0.907312,0,0,-1.83701,-1.38083,0.0768927,0.907312,9535.65,-0.0143888,0.844733,0
424.041,0.0805882,0.879129,0,0,0.464427,-3.54189,0.0805882,0.879129,9322.12,0.110088,0.87298,0
436.548,0.0834761,0.869184,0,0,0.230909,-0.795166,0.0834761,0.869184,9112.78,0.139146,0.84298,0
444.548,0.111448,0.87148,0,0,3.49647,0.286969,0.111448,0.87148,8903.63,0.130132,0.832531,0
456.18,0.114519,0.860434,0,0,0.264027,-0.949636,0.114519,0.860434,8695.05,0.184556,1.00991,0
464.09,0.113219,0.865679,0,0,-0.164404,0.663117,0.113219,0.865679,8497.86,0.0861929,0.912971,0
476.139,0.100601,0.876454,0,0,-1.04719,0.894256,0.100601,0.876454,8321.35,0.0203616,0.842095,0
484.006,0.077765,0.874493,0,0,-2.90277,-0.249318,0.077765,0.874493,8165.66,0.0942527,0.894313,0
