Resolution,1920,1080,Distance,1,Width,1,Subject,V009GBETSIDI,Test,TPL-12152016-143734,Calibration,CC9-12152016-143626,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171601
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10,-0.220852,-0.175609,-20.1626,15.7086,0,0,19.9418,-15.8842,2197.44,-0.184829,-0.101578,0
20,-0.220852,-0.175609,-20.1626,15.7086,0,0,19.9418,-15.8842,2197.44,-0.2612,-0.243167,0
30,-0.257729,-0.319733,-20.1626,15.7086,-3.68775,-14.4124,19.9049,-16.0284,2197.44,-0.434353,-0.641621,0
40,-0.261093,-0.425691,-20.1626,15.7086,-0.336391,-10.5957,19.9015,-16.1343,2197.44,-0.262386,-0.556107,0
50,-0.260375,-0.483587,-20.1626,15.7086,0.0717912,-5.78965,19.9022,-16.1922,2209.33,-0.404927,-0.466591,0
60,-0.218105,-0.513881,-20.1626,15.7086,4.22708,-3.02942,19.9445,-16.2225,2216.73,-0.0884195,-0.461231,0
70,-0.163728,-0.51562,-20.1626,15.7086,5.43771,-0.17385,19.9989,-16.2243,2222.8,-0.0460744,-0.839525,0
80,-0.116283,-0.489272,-20.1626,15.7086,4.74449,2.63482,20.0463,-16.1979,2228.77,-0.155754,-0.75432,0
90,-0.061008,-0.460737,-20.1626,15.7086,5.52747,2.85349,20.1016,-16.1694,2235.73,-0.0808926,-0.39483,0
100,-0.0204422,-0.431251,-20.1626,15.7086,4.05658,2.94852,20.1422,-16.1399,2243.65,0.119573,-0.405875,0
110,-0.0385926,-0.428732,-20.1626,15.7086,-1.81504,0.251931,20.124,-16.1374,2251.65,0.0849323,-0.52353,0
120,-0.0414231,-0.415221,-20.1626,15.7086,-0.283056,1.35113,20.1212,-16.1239,2259.36,-0.0306272,-0.382817,0
130,-0.0945106,-0.440007,-20.1626,15.7086,-5.30874,-2.47857,20.0681,-16.1486,2267.25,-0.191352,-0.469212,0
140,-0.152745,-0.410713,-20.1626,15.7086,-5.82341,2.92936,20.0099,-16.1194,2275.63,-0.211962,-0.338571,0
150,-0.155061,-0.40142,-20.1626,15.7086,-0.231616,0.92926,20.0075,-16.1101,2283.73,-0.219077,-0.505869,0
160,-0.151343,-0.385924,-20.1626,15.7086,0.371783,1.54965,20.0113,-16.0946,2289.99,0.0597812,-0.192347,0
170,-0.0711243,-0.37112,-20.1626,15.7086,8.02187,1.48035,20.0915,-16.0798,2293.99,-0.0261223,-0.358088,0
180,-0.0278763,-0.370868,-20.1626,15.7086,4.32479,0.0252672,20.1347,-16.0795,2297.04,-0.011798,-0.338832,0
190,-0.0127171,-0.350813,-20.1626,15.7086,1.51592,2.00545,20.1499,-16.0595,2300.24,0.334607,-0.437995,0
200,0.0628137,-0.34325,-20.1626,15.7086,7.55309,0.756371,20.2254,-16.0519,2303.31,-0.0583595,-0.541976,0
210,0.104329,-0.27114,-20.1626,15.7086,4.15149,7.211,20.2669,-15.9798,2305.6,-0.0803194,-0.0795546,0
220,0.122283,-0.225226,-20.1626,15.7086,1.79539,4.59135,20.2849,-15.9339,2306.94,0.500743,-0.10056,0
230,0.0975115,-0.207905,-20.1626,15.7086,-2.47711,1.73213,20.2601,-15.9165,2307.46,0.0677174,-0.305214,0
240,0.0963824,-0.207637,-20.1626,15.7086,-0.112912,0.0267862,20.259,-15.9163,2307.26,0.123712,-0.250199,0
250,0.0962075,-0.217657,-20.1626,15.7086,-0.017488,-1.00199,20.2588,-15.9263,2305.94,0.0874136,-0.185241,0
260,0.0973929,-0.234231,-20.1626,15.7086,0.11854,-1.65738,20.26,-15.9429,2302.15,0.0606063,-0.118243,0
270,0.13337,-0.268578,-20.1626,15.7086,3.59769,-3.43469,20.296,-15.9772,2294.7,0.230289,-0.369471,0
280,0.204885,-0.259643,-20.1626,15.7086,7.15155,0.893421,20.3675,-15.9683,2284,0.2889,-0.295749,0
290,0.242912,-0.307154,-20.1626,15.7086,3.80266,-4.75109,20.4055,-16.0158,2269.3,0.198379,-0.33796,0
300,0.244098,-0.329013,-20.1626,15.7086,0.118601,-2.18587,20.4067,-16.0377,2247.79,0.277856,-0.0739149,0
310,0.24073,-0.310019,-20.1626,15.7086,-0.336824,1.89939,20.4033,-16.0187,2219.95,0.317114,-0.307428,0
320,0.153642,-0.328716,-20.1626,15.7086,-8.7088,-1.86971,20.3162,-16.0374,2189.24,-0.0985314,-0.471703,0
330,0.0947195,-0.368319,-20.1626,15.7086,-5.89222,-3.96031,20.2573,-16.077,2156.54,0.0711793,-0.185199,0
340,0.0795658,-0.444837,-20.1626,15.7086,-1.51537,-7.65174,20.2422,-16.1535,2122.54,-0.115199,-0.347282,0
350,0.0269432,-0.483661,-20.1626,15.7086,-5.26226,-3.88241,20.1895,-16.1923,2089.79,0.112903,-0.618771,0
360,0.0247297,-0.458789,-20.1626,15.7086,-0.221356,2.48721,20.1873,-16.1674,2056.49,0.0945237,-0.541202,0
370,0.0143296,-0.502293,-20.1626,15.7086,-1.04001,-4.35046,20.1769,-16.2109,2017.85,-0.349986,-0.443956,0
380,0.00577885,-0.502339,-20.1626,15.7086,-0.855071,-0.00458366,20.1684,-16.211,1973.02,-0.153162,-0.377514,0
390,-0.0426176,-0.462943,-20.1626,15.7086,-4.83964,3.9396,20.12,-16.1716,1923.71,0.0450029,-0.512406,0
400,-0.109462,-0.456845,-20.1626,15.7086,-6.68446,0.609798,20.0531,-16.1655,1873.03,-0.369628,-0.334471,0
410,-0.172809,-0.401942,-20.1626,15.7086,-6.33468,5.49034,19.9898,-16.1106,1827.45,-0.171764,-0.232407,0
