Resolution,1920,1080,Distance,60,Width,48,Subject,P1,Test,CC9-07242019-130628,Calibration,CC9-07242019-130628,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-21.3187,12.3403,-21.3886,12.2251,0,0,0.0698879,0.115174,3436.54,-21.3182,12.3404,0
12.688,-21.3187,12.3403,-21.3886,12.2251,0,0,0.0698879,0.115174,3436.54,-21.3681,12.2692,0
21.678,-21.3366,12.3386,-21.3886,12.2251,-1.9836,-0.187771,0.0520553,0.113486,3436.54,-21.3182,12.3404,0
31.563,-21.4603,12.3266,-21.3886,12.2251,-12.515,-1.21963,-0.0716558,0.10143,3436.54,-21.5797,12.3807,0
39.572,-21.5829,12.3151,-21.3886,12.2251,-15.3117,-1.43051,-0.194287,0.0899729,3442.03,-21.6022,12.3016,0
51.366,-21.6024,12.3252,-21.3886,12.2251,-1.65143,0.860091,-0.213764,0.100117,3444.26,-21.5952,12.2889,0
61.712,-21.6157,12.3197,-21.3886,12.2251,-1.28743,-0.534784,-0.227084,0.0945839,3447.68,-21.7063,12.3668,0
71.469,-21.626,12.3192,-21.3886,12.2251,-1.05307,-0.0473857,-0.237359,0.0941216,3452.47,-21.6577,12.3854,0
81.859,-21.6277,12.3368,-21.3886,12.2251,-0.165741,1.69416,-0.239081,0.111724,3458.78,-21.5953,12.303,0
91.208,-21.6285,12.3517,-21.3886,12.2251,-0.0861653,1.58434,-0.239886,0.126536,3465.69,-21.6609,12.3799,0
100.862,-21.6227,12.3666,-21.3886,12.2251,0.603916,1.54352,-0.234056,0.141437,3472.54,-21.5962,12.3694,0
112.377,-21.613,12.3763,-21.3886,12.2251,0.836416,0.850113,-0.224425,0.151226,3480.4,-21.5962,12.3694,0
120.579,-21.6083,12.3888,-21.3886,12.2251,0.58316,1.52268,-0.219642,0.163715,3490.32,-21.6214,12.4185,0
131.253,-21.6075,12.3856,-21.3886,12.2251,0.0731058,-0.306397,-0.218861,0.160445,3501.01,-21.5509,12.4346,0
139.905,-21.608,12.3853,-21.3886,12.2251,-0.0586159,-0.0253655,-0.219368,0.160225,3510.14,-21.6214,12.4185,0
152.725,-21.6135,12.3845,-21.3886,12.2251,-0.428408,-0.0668662,-0.224861,0.159368,3517.53,-21.5954,12.3779,0
159.951,-21.6267,12.3759,-21.3886,12.2251,-1.82918,-1.18775,-0.238078,0.150785,3524.2,-21.684,12.3124,0
172,-21.6273,12.3753,-21.3886,12.2251,-0.0459782,-0.0506164,-0.238632,0.150175,3529.68,-21.682,12.3009,0
181.324,-21.6268,12.37,-21.3886,12.2251,0.0509337,-0.56625,-0.238157,0.144896,3533.43,-21.5971,12.3792,0
191.493,-21.6242,12.3707,-21.3886,12.2251,0.256554,0.0702501,-0.235548,0.14561,3536.66,-21.6109,12.4118,0
199.89,-21.6074,12.3724,-21.3886,12.2251,2.00092,0.199396,-0.218747,0.147284,3541.21,-21.5804,12.3692,0
211.311,-21.6066,12.3721,-21.3886,12.2251,0.0669682,-0.0293199,-0.217982,0.14695,3547.67,-21.5528,12.3969,0
219.408,-21.6062,12.3625,-21.3886,12.2251,0.0465959,-1.17618,-0.217605,0.137426,3554.92,-21.6072,12.3217,0
231.441,-21.6137,12.3558,-21.3886,12.2251,-0.624961,-0.561497,-0.225125,0.13067,3561.09,-21.6149,12.3235,0
240.807,-21.6262,12.3483,-21.3886,12.2251,-1.33437,-0.800139,-0.237622,0.123176,3565.75,-21.652,12.3536,0
251.207,-21.6267,12.3415,-21.3886,12.2251,-0.0446728,-0.653305,-0.238087,0.116381,3570.59,-21.6573,12.35,0
263.95,-21.6356,12.3369,-21.3886,12.2251,-0.698596,-0.364548,-0.246989,0.111736,3576.85,-21.6213,12.3369,0
273.767,-21.6351,12.3311,-21.3886,12.2251,0.0516822,-0.591635,-0.246482,0.105928,3583.47,-21.5875,12.3323,0
284.16,-21.6218,12.3141,-21.3886,12.2251,1.27911,-1.63113,-0.233188,0.0889753,3588.82,-21.6284,12.1822,0
291.276,-21.5952,12.293,-21.3886,12.2251,3.73784,-2.96706,-0.20659,0.0678617,3592.67,-21.6252,12.1882,0
303.577,-21.5331,12.272,-21.3886,12.2251,5.04595,-1.70301,-0.144519,0.046913,3595.56,-20.9632,12.3637,0
312.5,-21.4157,12.2701,-21.3886,12.2251,13.1593,-0.215399,-0.0270988,0.044991,3597.72,-21.3472,12.3082,0
323.246,-21.29,12.2837,-21.3886,12.2251,11.7023,1.26678,0.0986545,0.0586038,3599.16,-21.2214,12.2814,0
331.244,-21.2306,12.2952,-21.3886,12.2251,7.4266,1.43276,0.158053,0.070063,3600.18,-21.2284,12.1808,0
345.866,-21.228,12.2957,-21.3886,12.2251,0.172914,0.0336546,0.160581,0.0705551,3601.03,-21.2067,12.3072,0
352.503,-21.2246,12.296,-21.3886,12.2251,0.511739,0.0497327,0.163977,0.0708852,3601.79,-21.216,12.2929,0
363.89,-21.2225,12.2961,-21.3886,12.2251,0.189906,0.00658229,0.16614,0.0709601,3602.49,-21.2702,12.3271,0
371.568,-21.2084,12.295,-21.3886,12.2251,1.83914,-0.140803,0.180261,0.069879,3603.42,-21.1997,12.3318,0
383.939,-21.1987,12.3105,-21.3886,12.2251,0.779175,1.25504,0.1899,0.0854051,3605.44,-21.1396,12.2094,0
392.229,-21.1992,12.3236,-21.3886,12.2251,-0.0539426,1.57092,0.189453,0.098428,3609.77,-21.1966,12.2883,0
403.36,-21.1996,12.3297,-21.3886,12.2251,-0.0419283,0.551913,0.188986,0.104571,3616.46,-21.1919,12.3285,0
411.904,-21.2002,12.3335,-21.3886,12.2251,-0.0666497,0.445549,0.188416,0.108378,3623.29,-21.1776,12.357,0
424.909,-21.2054,12.3388,-21.3886,12.2251,-0.40103,0.407132,0.183201,0.113673,3628.01,-21.2274,12.3479,0
433.547,-21.2176,12.3379,-21.3886,12.2251,-1.40895,-0.107855,0.171031,0.112741,3631,-21.232,12.3369,0
444.545,-21.2181,12.337,-21.3886,12.2251,-0.0423009,-0.0769925,0.170565,0.111894,3634.6,-21.2274,12.3479,0
453.768,-21.2165,12.3173,-21.3886,12.2251,0.167095,-2.13872,0.172106,0.0921691,3641.14,-21.2509,12.2539,0
464.743,-21.2119,12.2791,-21.3886,12.2251,0.421138,-3.47895,0.176728,0.0539876,3650.43,-21.1822,12.2586,0
471.319,-21.194,12.2606,-21.3886,12.2251,2.72437,-2.81299,0.194644,0.0354894,3659.07,-21.1808,12.2613,0
484.543,-21.193,12.2577,-21.3886,12.2251,0.0713052,-0.219817,0.195587,0.0325826,3664.66,-21.1677,12.2579,0
493.93,-21.1936,12.2576,-21.3886,12.2251,-0.0596009,-0.015333,0.195027,0.0324387,3668.55,-21.1876,12.2401,0
503.51,-21.207,12.2565,-21.3886,12.2251,-1.40012,-0.11519,0.181614,0.0313351,3673.23,-21.2276,12.2313,0
515.656,-21.2193,12.2563,-21.3886,12.2251,-1.0122,-0.0129566,0.16932,0.0311778,3679.56,-21.3086,12.2899,0
524.429,-21.2195,12.2527,-21.3886,12.2251,-0.027992,-0.409974,0.169074,0.0275811,3686.11,-21.2344,12.2877,0
536.358,-21.2189,12.2523,-21.3886,12.2251,0.0503934,-0.0346034,0.169676,0.0271683,3690.92,-21.1729,12.2357,0
545.895,-21.2052,12.2459,-21.3886,12.2251,1.44411,-0.673197,0.183448,0.020748,3693.53,-21.1863,12.2305,0
557.188,-21.1963,12.2314,-21.3886,12.2251,0.787077,-1.28322,0.192336,0.00625656,3694.87,-21.1998,12.2377,0
565.353,-21.1926,12.2297,-21.3886,12.2251,0.447936,-0.201044,0.195994,0.00461504,3695.84,-21.1869,12.2309,0
575.457,-21.1918,12.2218,-21.3886,12.2251,0.0792421,-0.78217,0.196795,-0.00328801,3696.98,-21.1575,12.2046,0
591.964,-21.19,12.2197,-21.3886,12.2251,0.108458,-0.130736,0.198585,-0.00544607,3698.66,-21.1947,12.1904,0
598.342,-21.1874,12.2198,-21.3886,12.2251,0.409424,0.0138642,0.201196,-0.00535764,3700.87,-21.2277,12.2215,0
604.435,-21.1857,12.2182,-21.3886,12.2251,0.278701,-0.252822,0.202894,-0.00689809,3703.25,-21.1892,12.2266,0
615.492,-21.1856,12.22,-21.3886,12.2251,0.0132609,0.164952,0.203041,-0.00507422,3705.15,-21.1857,12.2578,0
