Resolution,1920,1080,Distance,1,Width,1,Subject,V001GBETSIDI,Test,TSVV-12162016-100839,Calibration,CC9-12162016-100719,Oscann, 4.0.7,libTracker, 1.0.7,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-0.582811,0.101277,0,0,0,0,-0.582811,0.101277,7053.9,-0.499163,0.0980955,0
8,-0.582811,0.101277,0,0,0,0,-0.582811,0.101277,7053.9,-0.62847,0.0418968,0
19,-0.582769,0.102255,0,0,0.00380628,0.0888304,-0.582769,0.102255,7053.9,-0.537939,-0.00419164,0
27,-0.581794,0.125015,0,0,0.121879,2.84501,-0.581794,0.125015,7053.9,-0.610298,0.149497,0
39,-0.597617,0.153077,0,0,-1.31859,2.33853,-0.597617,0.153077,7058.11,-0.612761,0.227834,0
47,-0.600445,0.17048,0,0,-0.353456,2.17539,-0.600445,0.17048,7051.96,-0.504868,0.213665,0
59,-0.599955,0.182326,0,0,0.040807,0.987164,-0.599955,0.182326,7044.11,-0.599274,0.1581,0
67,-0.599402,0.185661,0,0,0.0690459,0.416866,-0.599402,0.185661,7035.41,-0.615855,0.280127,0
79,-0.599149,0.193259,0,0,0.0211421,0.633129,-0.599149,0.193259,7028.26,-0.367117,0.173295,0
87,-0.599202,0.191358,0,0,-0.00660873,-0.237588,-0.599202,0.191358,7024.09,-0.613192,0.0819158,0
99,-0.5982,0.197654,0,0,0.0835094,0.524681,-0.5982,0.197654,7021.73,-0.507695,0.226816,0
107,-0.596998,0.189463,0,0,0.150248,-1.02382,-0.596998,0.189463,7019.46,-0.594686,0.16344,0
119,-0.594609,0.178893,0,0,0.199038,-0.880884,-0.594609,0.178893,7016.67,-0.685353,0.343009,0
131,-0.591153,0.140882,0,0,0.287965,-3.1676,-0.591153,0.140882,7013.29,-0.685133,0.121288,0
139,-0.587162,0.111321,0,0,0.498984,-3.69505,-0.587162,0.111321,7009.61,-0.679357,0.0864703,0
151,-0.587526,0.0987278,0,0,-0.0303346,-1.04946,-0.587526,0.0987278,7006.61,-0.33198,0.0104882,0
159,-0.592797,0.0984291,0,0,-0.658945,-0.0373354,-0.592797,0.0984291,7005,-0.471582,0.120106,0
171,-0.597996,0.0998895,0,0,-0.43324,0.1217,-0.597996,0.0998895,7004.3,-0.461711,0.180916,0
179,-0.598153,0.130821,0,0,-0.0196332,3.8664,-0.598153,0.130821,7003.87,-0.563278,0.0599429,0
191,-0.591979,0.191126,0,0,0.514524,5.02544,-0.591979,0.191126,7003.6,-0.625617,0.24438,0
199,-0.577497,0.392795,0,0,1.81028,25.2086,-0.577497,0.392795,7003.44,-0.853881,0.584437,0
211,-0.569212,0.570208,0,0,0.690397,14.7844,-0.569212,0.570208,7003.22,-0.870777,0.757885,0
219,-0.57369,0.577819,0,0,-0.559715,0.951376,-0.57369,0.577819,7002.85,-0.795349,0.811263,0
231,-0.574946,0.574075,0,0,-0.104686,-0.312047,-0.574946,0.574075,7002.33,-0.603651,0.418669,0
239,-0.565843,0.479838,0,0,1.1378,-11.7795,-0.565843,0.479838,7001.55,-0.363688,0.377892,0
251,-0.538873,0.298933,0,0,2.24756,-15.0755,-0.538873,0.298933,7000.44,-0.430044,0.0272644,0
259,-0.490265,0.201412,0,0,6.076,-12.1901,-0.490265,0.201412,6999.34,-0.603081,0.182319,0
271,-0.436501,0.195142,0,0,4.48031,-0.522492,-0.436501,0.195142,6998.68,-0.384373,0.200037,0
279,-0.397518,0.193903,0,0,4.87285,-0.154849,-0.397518,0.193903,6998.51,-0.454789,0.139023,0
291,-0.375649,0.199277,0,0,1.82247,0.447851,-0.375649,0.199277,6998.84,-0.208612,0.233503,0
299,-0.363689,0.204353,0,0,1.49495,0.634436,-0.363689,0.204353,7000.4,-0.309016,0.195666,0
311,-0.356099,0.214538,0,0,0.632455,0.848789,-0.356099,0.214538,7004.25,-0.362682,0.220281,0
319,-0.351981,0.227991,0,0,0.514772,1.68157,-0.351981,0.227991,7010.14,-0.311403,0.252951,0
331,-0.350854,0.229448,0,0,0.0939233,0.121418,-0.350854,0.229448,7016.15,-0.337801,0.258469,0
339,-0.350746,0.229484,0,0,0.0134857,0.00455905,-0.350746,0.229484,7020.92,-0.387347,0.141965,0
351,-0.351429,0.228452,0,0,-0.0569101,-0.086063,-0.351429,0.228452,7024.39,-0.514189,0.312861,0
359,-0.355309,0.204504,0,0,-0.484981,-2.99348,-0.355309,0.204504,7026.87,-0.405281,0.186788,0
371,-0.362682,0.202703,0,0,-0.614404,-0.150108,-0.362682,0.202703,7028.78,-0.302902,0.146276,0
383,-0.375237,0.179155,0,0,-1.04627,-1.96231,-0.375237,0.179155,7030.73,-0.320404,0.11083,0
391,-0.388054,0.161791,0,0,-1.60207,-2.17049,-0.388054,0.161791,7033.58,-0.391017,0.248451,0
403,-0.398743,0.161388,0,0,-0.890746,-0.0335806,-0.398743,0.161388,7038.49,-0.439705,0.174558,0
411,-0.412156,0.160448,0,0,-1.67671,-0.117522,-0.412156,0.160448,7045.87,-0.363485,0.145069,0
423,-0.435903,0.164971,0,0,-1.97887,0.376971,-0.435903,0.164971,7054.26,-0.398536,0.231178,0
431,-0.475316,0.167814,0,0,-4.92671,0.355347,-0.475316,0.167814,7061.6,-0.500423,0.147789,0
443,-0.528699,0.198655,0,0,-4.44858,2.57004,-0.528699,0.198655,7066.78,-0.506742,0.158563,0
451,-0.581918,0.250587,0,0,-6.65234,6.49158,-0.581918,0.250587,7069.93,-0.755323,0.269944,0
463,-0.613944,0.299005,0,0,-2.6688,4.03482,-0.613944,0.299005,7072.1,-0.923293,0.353208,0
471,-0.622891,0.33655,0,0,-1.11839,4.69304,-0.622891,0.33655,7073.88,-0.934718,0.346627,0
483,-0.617413,0.33789,0,0,0.456448,0.111702,-0.617413,0.33789,7075.2,-0.779865,0.581583,0
491,-0.58835,0.335012,0,0,3.63293,-0.359711,-0.58835,0.335012,7075.97,-0.74798,0.579352,0
503,-0.523821,0.288663,0,0,5.37744,-3.86246,-0.523821,0.288663,7076.2,-0.291225,0.136302,0
511,-0.441358,0.198433,0,0,10.3079,-11.2787,-0.441358,0.198433,7076.04,-0.405648,-0.0247976,0
523,-0.37498,0.187606,0,0,5.53151,-0.902245,-0.37498,0.187606,7075.79,-0.319106,0.242707,0
531,-0.343045,0.0810381,0,0,3.99184,-13.321,-0.343045,0.0810381,7075.79,-0.231594,0.0141919,0
543,-0.32618,0.0342449,0,0,1.40538,-3.89944,-0.32618,0.0342449,7075.96,-0.338273,0.247449,0
551,-0.316079,0.0449115,0,0,1.26263,1.33333,-0.316079,0.0449115,7075.68,-0.378165,0.00623337,0
563,-0.312244,0.0453324,0,0,0.319618,0.035075,-0.312244,0.0453324,7073.89,-0.311115,0.0452895,0
571,-0.311269,0.0452954,0,0,0.121909,-0.00463207,-0.311269,0.0452954,7069.2,-0.311115,0.0452895,1
583,-0.311125,0.0452899,0,0,0.0119359,-0.000454095,-0.311125,0.0452899,7059.86,-0.311115,0.0452895,1
591,-0.311115,0.0452895,0,0,0.00132213,-5.02996e-05,-0.311115,0.0452895,7045.01,-0.311115,0.0452895,1
603,-0.311115,0.0452895,0,0,0,0,-0.311115,0.0452895,7028.17,-0.311115,0.0452895,1
611,-0.311115,0.0452895,0,0,0,0,-0.311115,0.0452895,7015.77,-0.311115,0.0452895,1
623,-0.311115,0.0452895,0,0,0,0,-0.311115,0.0452895,7010.16,-0.311115,0.0452895,1
635,-0.311115,0.0452895,0,0,0,0,-0.311115,0.0452895,7008.66,-0.311115,0.0452895,1
643,-0.311115,0.0452895,0,0,0,0,-0.311115,0.0452895,7008.44,-0.311115,0.0452895,1
655,-0.311115,0.0452895,0,0,0,0,-0.311115,0.0452895,7008.42,-0.311115,0.0452895,1
