Resolution,1920,1080,Distance,59,Width,47.8,Subject,V003GBAURA,Test,TIF1-04052017-124839,Calibration,CA9-04052017-124708,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163900
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10.0,0.17536,0.283035,0.0,0.0,0.0,0.0,0.17536,0.283035,7711.62,0.174007,0.328917,0.0
20.0,0.17536,0.283035,0.0,0.0,0.0,0.0,0.17536,0.283035,7711.62,0.127227,0.0131506,0.0
30.0,0.183543,0.206952,0.0,0.0,0.818337,-7.60829,0.183543,0.206952,7711.62,0.29684,-0.0967777,0.0
40.0,0.210488,0.158191,0.0,0.0,2.69448,-4.87608,0.210488,0.158191,7711.62,0.230804,0.240664,0.0
50.0,0.221233,0.149623,0.0,0.0,1.0745,-0.856847,0.221233,0.149623,7713.21,0.189958,0.140884,0.0
60.0,0.221132,0.134842,0.0,0.0,-0.0101037,-1.47814,0.221132,0.134842,7701.25,0.270579,-0.033217,0.0
70.0,0.200772,0.130667,0.0,0.0,-2.03592,-0.417498,0.200772,0.130667,7686.47,0.209631,0.176029,0.0
80.0,0.186377,0.124025,0.0,0.0,-1.43957,-0.664202,0.186377,0.124025,7672.4,0.152666,0.200172,0.0
90.0,0.168864,0.117583,0.0,0.0,-1.75131,-0.644179,0.168864,0.117583,7660.06,0.15123,0.0646477,0.0
100.0,0.153962,0.123371,0.0,0.0,-1.49021,0.578832,0.153962,0.123371,7648.13,0.287188,0.128881,0.0
110.0,0.153423,0.124049,0.0,0.0,-0.0538286,0.0677695,0.153423,0.124049,7637.48,0.082874,0.0992752,0.0
120.0,0.155178,0.1334,0.0,0.0,0.175477,0.93511,0.155178,0.1334,7630.12,0.144642,0.336845,0.0
130.0,0.151131,0.133488,0.0,0.0,-0.404679,0.00877361,0.151131,0.133488,7625.34,0.169508,0.0863319,0.0
140.0,0.150036,0.126665,0.0,0.0,-0.109545,-0.682215,0.150036,0.126665,7620.84,0.29667,0.196224,0.0
150.0,0.149548,0.11343,0.0,0.0,-0.0488314,-1.32356,0.149548,0.11343,7615.32,0.152917,0.0147499,0.0
160.0,0.1319,0.111531,0.0,0.0,-1.76478,-0.189843,0.1319,0.111531,7608.85,0.0750772,0.0839251,0.0
170.0,0.121762,0.0857141,0.0,0.0,-1.01381,-2.58173,0.121762,0.0857141,7601.78,-0.123566,0.0516835,0.0
180.0,0.107933,0.0796458,0.0,0.0,-1.38286,-0.606839,0.107933,0.0796458,7592.95,0.181687,0.348396,0.0
190.0,0.089956,0.0744792,0.0,0.0,-1.7977,-0.51666,0.089956,0.0744792,7581.18,0.130445,0.0959536,0.0
