Resolution,1920,1080,Distance,58,Width,47.5,Subject,V004GBAURA,Test,TPL-03122018-140129,Calibration,CC9-03122018-140105,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163902
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-0.229348,0.279533,-16.7368,12.9709,0,0,16.5074,-12.6914,6464.34,-0.272565,0.302113,0
6.267,-0.229348,0.279533,-16.7368,12.9709,0,0,16.5074,-12.6914,6464.34,-0.250428,0.32562,0
18.249,-0.229348,0.279533,-16.7368,12.9709,0,0,16.5074,-12.6914,6464.34,-0.188285,0.271552,0
27.024,-0.229348,0.279533,-16.7368,12.9709,0,0,16.5074,-12.6914,6464.34,-0.190625,0.215478,0
38.623,-0.21777,0.290688,-16.7368,12.9709,0.998185,0.961734,16.519,-12.6803,6466.79,-0.222108,0.287188,0
47.018,-0.208013,0.287608,-16.7368,12.9709,1.16227,-0.366886,16.5288,-12.6833,6457.59,-0.204928,0.317304,0
59.009,-0.201261,0.285815,-16.7368,12.9709,0.563024,-0.149518,16.5355,-12.6851,6447.51,-0.1649,0.245548,0
67.012,-0.196222,0.284814,-16.7368,12.9709,0.629697,-0.125151,16.5405,-12.6861,6439.57,-0.18213,0.313672,0
78.455,-0.191813,0.284071,-16.7368,12.9709,0.385292,-0.0649196,16.5449,-12.6869,6434.87,-0.183841,0.282254,0
87.279,-0.18815,0.283543,-16.7368,12.9709,0.41508,-0.0597922,16.5486,-12.6874,6432.36,-0.205016,0.240845,0
99.24,-0.185054,0.283348,-16.7368,12.9709,0.258842,-0.0162794,16.5517,-12.6876,6430.65,-0.243298,0.291987,0
107.058,-0.181636,0.283576,-16.7368,12.9709,0.437252,0.0291082,16.5551,-12.6874,6429.03,-0.222013,0.294081,0
118.994,-0.176031,0.284206,-16.7368,12.9709,0.469624,0.0527497,16.5607,-12.6867,6427.27,-0.140073,0.247814,0
126.631,-0.166954,0.285322,-16.7368,12.9709,1.18849,0.146194,16.5698,-12.6856,6425.12,-0.127445,0.365195,0
138.459,-0.156825,0.287486,-16.7368,12.9709,0.856366,0.182985,16.5799,-12.6835,6422.92,-0.220556,0.206555,0
147.266,-0.149387,0.291305,-16.7368,12.9709,0.844534,0.433587,16.5874,-12.6796,6421.23,-0.0473459,0.356035,0
158.803,-0.145101,0.295941,-16.7368,12.9709,0.371498,0.401873,16.5917,-12.675,6419.9,-0.15539,0.309109,0
171.6,-0.141787,0.299302,-16.7368,12.9709,0.258986,0.262602,16.595,-12.6716,6418.47,-0.0645856,0.313193,0
178.817,-0.137125,0.300368,-16.7368,12.9709,0.645916,0.147683,16.5996,-12.6706,6416.96,-0.231535,0.384198,0
190.796,-0.130454,0.299473,-16.7368,12.9709,0.556907,-0.0747157,16.6063,-12.6715,6415.53,-0.122422,0.289313,0
198.788,-0.124191,0.296678,-16.7368,12.9709,0.783657,-0.34968,16.6126,-12.6743,6413.95,-0.162365,0.306895,0
210.448,-0.12077,0.291562,-16.7368,12.9709,0.293457,-0.438796,16.616,-12.6794,6410.91,-0.118437,0.280148,0
219.243,-0.119507,0.283817,-16.7368,12.9709,0.143528,-0.880618,16.6173,-12.6871,6403.67,-0.0788273,0.299502,0
230.441,-0.118994,0.273888,-16.7368,12.9709,0.0458747,-0.886611,16.6178,-12.6971,6389.27,-0.119443,0.213046,0
238.989,-0.119361,0.264732,-16.7368,12.9709,-0.0430082,-1.07122,16.6174,-12.7062,6364.91,-0.0509508,0.220184,0
250.974,-0.122436,0.259803,-16.7368,12.9709,-0.256553,-0.411234,16.6143,-12.7111,6326.02,-0.0348394,0.214564,0
258.991,-0.132152,0.259295,-16.7368,12.9709,-1.21198,-0.0633258,16.6046,-12.7116,6267.04,-0.178682,0.272173,0
270.306,-0.149625,0.26192,-16.7368,12.9709,-1.54421,0.231976,16.5871,-12.709,6185.27,-0.0535573,0.224966,0
279.251,-0.16746,0.267826,-16.7368,12.9709,-1.99389,0.660206,16.5693,-12.7031,6081.07,-0.192183,0.223607,0
290.595,-0.177926,0.278143,-16.7368,12.9709,-0.922551,0.909465,16.5588,-12.6928,5957.21,-0.103059,0.306999,0
