Resolution,1920,1080,Distance,57,Width,48,Subject,G005-GB,Test,CC9-04242018-120332,Calibration,CC9-04242018-120332,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-23.0318,13.8763,-22.4054,12.8477,0,0,-0.626374,1.02859,5218.06,-23.1127,14.0492,0
0,-23.0318,13.8763,-22.4054,12.8477,nan,nan,-0.626374,1.02859,5218.06,-22.7929,13.3975,0
7,-22.9209,13.4793,-22.4054,12.8477,15.8429,-56.7158,-0.515473,0.631579,5218.06,-22.7049,12.898,0
20,-22.8406,13.1722,-22.4054,12.8477,6.17816,-23.6208,-0.435157,0.324509,5218.06,-22.8853,13.227,0
31,-22.8352,13.1571,-22.4054,12.8477,0.485486,-1.37394,-0.429817,0.309395,5219.07,-22.8986,13.3214,0
40,-22.7897,13.1038,-22.4054,12.8477,5.05651,-5.92123,-0.384308,0.256104,5210.86,-22.6719,12.9493,0
51,-22.7877,13.1015,-22.4054,12.8477,0.181874,-0.212848,-0.382307,0.253763,5198.97,-22.9053,13.2746,0
60,-22.787,13.1016,-22.4054,12.8477,0.075278,0.0159967,-0.38163,0.253907,5186.56,-22.8884,13.3292,0
68,-22.7716,13.1049,-22.4054,12.8477,1.92723,0.410271,-0.366212,0.257189,5177.58,-22.6564,12.8512,0
80,-22.7709,13.105,-22.4054,12.8477,0.0564575,0.0120207,-0.365535,0.257333,5172.52,-22.8289,13.2887,0
87,-22.7703,13.106,-22.4054,12.8477,0.0968135,0.142895,-0.364857,0.258334,5169.45,-22.847,13.2817,0
100,-22.7548,13.1288,-22.4054,12.8477,1.18667,1.75115,-0.34943,0.281099,5166.96,-22.6792,12.9219,0
109,-22.7542,13.1298,-22.4054,12.8477,0.0753298,0.111133,-0.348752,0.282099,5164.94,-22.8736,13.3755,0
119,-22.7529,13.1324,-22.4054,12.8477,0.12387,0.256295,-0.347513,0.284662,5163.6,-22.8354,13.3549,0
128,-22.7247,13.1907,-22.4054,12.8477,3.13449,6.48041,-0.319303,0.342985,5162.84,-22.6135,12.9456,0
140,-22.7235,13.1933,-22.4054,12.8477,0.103359,0.213522,-0.318063,0.345548,5162.39,-22.8122,13.4088,0
152,-22.7216,13.1943,-22.4054,12.8477,0.155521,0.0837551,-0.316197,0.346553,5162.01,-22.7931,13.4172,0
160,-22.6787,13.2193,-22.4054,12.8477,5.36835,3.12821,-0.27325,0.371578,5161.65,-22.581,13.045,0
171,-22.6664,13.2688,-22.4054,12.8477,1.1109,4.50255,-0.26103,0.421107,5161.49,-22.7997,13.4296,0
180,-22.6673,13.2614,-22.4054,12.8477,-0.0984753,-0.827154,-0.261916,0.413662,5161.59,-22.7395,13.3756,0
191,-22.6529,13.2541,-22.4054,12.8477,1.31499,-0.656689,-0.247451,0.406439,5161.82,-22.5843,13.0093,0
199,-22.6522,13.2538,-22.4054,12.8477,0.0799298,-0.037431,-0.246812,0.406139,5162.08,-22.8131,13.3589,0
211,-22.6524,13.2533,-22.4054,12.8477,-0.018404,-0.0488361,-0.247033,0.405553,5162.49,-22.7493,13.3707,0
219,-22.658,13.2374,-22.4054,12.8477,-0.694617,-1.97782,-0.25259,0.389731,5163.36,-22.5794,13.0087,0
231,-22.6703,13.1803,-22.4054,12.8477,-1.02267,-4.76216,-0.264862,0.332585,5164.96,-22.7732,13.3576,0
239,-22.6703,13.1769,-22.4054,12.8477,0.00211693,-0.426798,-0.264845,0.32917,5167.37,-22.7564,13.3839,0
251,-22.6578,13.1557,-22.4054,12.8477,1.03554,-1.76186,-0.252418,0.308028,5171.51,-22.4675,12.9301,0
259,-22.657,13.1547,-22.4054,12.8477,0.100147,-0.127699,-0.251617,0.307006,5178.2,-22.7736,13.2894,0
271,-22.6502,13.1511,-22.4054,12.8477,0.565397,-0.298833,-0.244832,0.30342,5186.06,-22.7124,13.3143,0
279,-22.6277,13.1174,-22.4054,12.8477,2.81847,-4.21494,-0.222284,0.269701,5193.14,-22.5645,12.986,0
291,-22.6267,13.1159,-22.4054,12.8477,0.0816528,-0.123125,-0.221305,0.268223,5198.79,-22.6497,13.2189,0
300,-22.6266,13.1152,-22.4054,12.8477,0.00820883,-0.0814552,-0.221231,0.26749,5203.19,-22.748,13.2858,0
312,-22.625,13.0985,-22.4054,12.8477,0.140055,-1.39026,-0.21955,0.250807,5207.26,-22.5916,12.8883,0
319,-22.6249,13.0978,-22.4054,12.8477,0.0105557,-0.104719,-0.219476,0.250074,5212.89,-22.7517,13.2717,0
330,-22.6267,13.1008,-22.4054,12.8477,-0.164237,0.273874,-0.221283,0.253087,5221.13,-22.684,13.2392,0
338,-22.6672,13.1735,-22.4054,12.8477,-5.05937,9.08661,-0.261758,0.32578,5230.74,-22.595,12.9447,0
350,-22.6547,13.2719,-22.4054,12.8477,1.0429,8.20202,-0.249243,0.424204,5239.72,-22.6774,13.4414,0
