Resolution,1920,1080,Distance,57,Width,48,Subject,V005GBAURA,Test,TASVH-04242018-121013,Calibration,CC9-04242018-120947,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.14191912395153783,2.45946,0.0,0.0,0.0,0.0,-1.53503,2.45946,7857.38,-1.53551,2.45961,0.0
10.548,0.14191912395153783,2.45946,0.0,0.0,0.0,0.0,-1.53503,2.45946,7857.38,-1.55617,2.5031,0.0
18.582,0.1537791239515378,2.45745,0.0,0.0,1.47654,-0.249234,-1.52317,2.45745,7857.38,-1.49429,2.40946,0.0
30.629,0.18493912395153767,2.45251,0.0,0.0,2.58653,-0.409906,-1.49201,2.45251,7857.38,-1.44738,2.48806,0.0
38.682,0.20962912395153777,2.45984,0.0,0.0,3.06575,0.909825,-1.46732,2.45984,7831.44,-1.43394,2.43908,0.0
50.685,0.2295991239515378,2.45566,0.0,0.0,1.66371,-0.348132,-1.44735,2.45566,7798.03,-1.46134,2.48927,0.0
58.587,0.2773691239515377,2.44824,0.0,0.0,6.04508,-0.93965,-1.39958,2.44824,7764.73,-1.29875,2.44369,0.0
70.6,0.3157591239515378,2.42806,0.0,0.0,3.19611,-1.67931,-1.36119,2.42806,7726.82,-1.25221,2.33063,0.0
78.625,0.3244691239515378,2.41321,0.0,0.0,1.08455,-1.85063,-1.35248,2.41321,7685.04,-1.35646,2.40407,0.0
90.603,0.33601912395153777,2.41058,0.0,0.0,0.964555,-0.22025,-1.34093,2.41058,7645.05,-1.38647,2.51515,0.0
98.614,0.3385691239515378,2.40942,0.0,0.0,0.318616,-0.144388,-1.33838,2.40942,7611.13,-1.35419,2.39109,0.0
110.6,0.3299791239515377,2.42541,0.0,0.0,-0.71677,1.33427,-1.34697,2.42541,7584.13,-1.30088,2.44007,0.0
118.479,0.33091912395153766,2.4313,0.0,0.0,0.11925,0.747983,-1.34603,2.4313,7561.76,-1.3397,2.4174,0.0
130.515,0.3481791239515377,2.42853,0.0,0.0,1.43446,-0.230737,-1.32877,2.42853,7540.79,-1.35651,2.43169,0.0
138.508,0.3674291239515377,2.42487,0.0,0.0,2.40767,-0.458065,-1.30952,2.42487,7519.19,-1.2923,2.47785,0.0
150.569,0.3592291239515377,2.41876,0.0,0.0,-0.679974,-0.506595,-1.31772,2.41876,7497.26,-1.3339,2.38724,0.0
158.492,0.3669391239515378,2.39986,0.0,0.0,0.973971,-2.38446,-1.31001,2.39986,7478.97,-1.29469,2.35216,0.0
170.525,0.37141912395153764,2.36964,0.0,0.0,0.37178,-2.51189,-1.30553,2.36964,7468.03,-1.31454,2.41853,0.0
182.478,0.3758791239515378,2.35535,0.0,0.0,0.373499,-1.19526,-1.30107,2.35535,7463.18,-1.34389,2.34972,0.0
190.489,0.3840191239515378,2.35417,0.0,0.0,1.01622,-0.147776,-1.29293,2.35417,7460.31,-1.27248,2.36025,0.0
202.493,0.39654912395153774,2.36968,0.0,0.0,1.04371,1.29195,-1.2804,2.36968,7455.48,-1.29285,2.34294,0.0
210.577,0.4117791239515378,2.36779,0.0,0.0,1.88403,-0.232831,-1.26517,2.36779,7446.24,-1.21468,2.4594,0.0
222.475,0.4120691239515377,2.36774,0.0,0.0,0.023715,-0.00413559,-1.26488,2.36774,7434.17,-1.22312,2.38968,0.0
