Resolution,1920,1080,Distance,57,Width,48,Subject,G005-GB,Test,TSLSH-04242018-120356,Calibration,CC9-04242018-120332,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-1.18966,2.03915,0.251296,0,0,0,-1.44096,2.03915,6360.02,-1.18967,2.03922,1
0,-1.18966,2.03915,0.502582,0,nan,nan,-1.69224,2.03915,6360.02,-1.18967,2.03922,1
8,-1.18967,2.03922,0.502582,0,-0.00114774,0.00929538,-1.69225,2.03922,6360.02,-1.18967,2.03922,1
18,-1.18967,2.03922,0.778974,0,0,0,-1.96864,2.03922,6360.02,-1.18967,2.03922,1
26,-1.18967,2.03922,1.03021,0,0,0,-2.21988,2.03922,6357.55,-1.18967,2.03922,1
38,-1.18967,2.03922,1.03021,0,0,0,-2.21988,2.03922,6354.51,-1.18967,2.03922,1
51,-1.18967,2.03922,1.30652,0,0,0,-2.49619,2.03922,6354.04,-1.18967,2.03922,1
58,-1.18967,2.03922,1.55766,0,0,0,-2.74733,2.03922,6354.01,-1.18967,2.03922,1
70,-1.18967,2.03922,1.55766,0,0,0,-2.74733,2.03922,6354.01,-1.18967,2.03922,1
79,-1.18967,2.03922,1.80874,0,0,0,-2.99841,2.03922,6354.01,-1.18967,2.03922,1
90,-1.18967,2.03922,1.80874,0,0,0,-2.99841,2.03922,6354.01,-1.18967,2.03922,1
98,-1.18967,2.03922,2.08485,0,0,0,-3.27452,2.03922,6340.87,-1.18967,2.03922,1
110,-1.18967,2.03922,2.08485,0,0,0,-3.27452,2.03922,6263.56,-1.18967,2.03922,1
117,-1.18967,2.03922,2.33577,0,0,0,-3.52544,2.03922,6036.55,-1.18967,2.03922,1
130,-1.18967,2.03922,2.61168,0,0,0,-3.80135,2.03922,5692.93,-1.18967,2.03922,1
137,-1.18967,2.03922,2.61168,0,0,0,-3.80135,2.03922,5418.44,-1.18967,2.03922,1
151,-1.18967,2.03922,2.86241,0,0,0,-4.05208,2.03922,5299.2,-1.18967,2.03922,1
158,-1.18967,2.03922,2.86241,0,0,0,-4.05208,2.03922,5281.85,-1.18967,2.03922,1
170,-1.18967,2.03922,3.11302,0,0,0,-4.30269,2.03922,5345.05,-1.18967,2.03922,1
180,-1.18967,2.03922,3.36351,0,0,0,-4.55319,2.03922,5539.84,-1.18967,2.03922,1
191,-1.18967,2.03922,3.36351,0,0,0,-4.55319,2.03922,5830.55,-1.18967,2.03922,1
199,-1.18967,2.03922,3.63891,0,0,0,-4.82858,2.03922,6061.68,-1.18967,2.03922,1
211,-1.19054,2.04262,3.63891,0,-0.0726197,0.282963,-4.82945,2.04262,6172.14,-0.0197934,-1.7679,0
218,-1.20954,2.1257,3.88912,0,-2.71376,11.8686,-5.09866,2.1257,6217.67,-1.47876,2.48747,0
231,-1.19045,2.26138,4.13919,0,1.46815,10.4372,-5.32964,2.26138,6245.2,-1.34125,2.38723,0
238,-1.15697,2.27771,4.13919,0,4.7826,2.33184,-5.29616,2.27771,6269.54,-1.07704,2.36119,0
251,-1.15127,2.27742,4.3891,0,0.438825,-0.0219396,-5.54037,2.27742,6292.33,-1.08659,2.28761,0
258,-1.055,2.25395,4.3891,0,13.7529,-3.35239,-5.4441,2.25395,6311.39,-1.01086,2.20393,0
270,-1.07199,2.1016,4.6638,0,-1.41553,-12.696,-5.73579,2.1016,6326.82,-0.992969,1.96861,0
280,-1.08894,1.98987,4.91335,0,-1.69542,-11.1734,-6.00229,1.98987,6340.78,-1.04769,1.98054,0
291,-1.12515,1.95885,4.91335,0,-3.29196,-2.81943,-6.0385,1.95885,6355.23,-1.25433,1.94902,0
302,-1.13197,1.92164,5.16271,0,-0.619439,-3.38342,-6.29467,1.92164,6370.48,-1.26277,1.73972,0
311,-1.13857,1.87388,5.41187,0,-0.734021,-5.3059,-6.55044,1.87388,6385.37,-1.22156,1.59934,0
322,-1.14554,1.79833,5.41187,0,-0.633465,-6.86862,-6.55741,1.79833,6399.06,-1.05888,1.90373,0
331,-1.07628,1.72852,5.66083,0,7.6957,-7.75684,-6.73711,1.72852,6412.27,-0.997271,1.80797,0
342,-1.05926,1.68129,5.66083,0,1.54748,-4.29377,-6.72008,1.68129,6426.87,-1.05323,1.67226,0
