Resolution,1920,1080,Distance,1,Width,1,Subject,V001-GC,Test,CC9-12152016-175659,Calibration,CC9-12152016-175659,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-26.9101,15.1707,-26.0856,15.1541,0,0,-0.824474,0.0166523,6945.32,-26.9121,15.1883,0
11,-26.9101,15.1707,-26.0856,15.1541,0,0,-0.824474,0.0166523,6945.32,-26.8122,15.0572,0
19,-26.91,15.1693,-26.0856,15.1541,0.0087243,-0.176312,-0.824404,0.0152418,6945.32,-27.0218,15.2211,0
31,-26.9085,15.1525,-26.0856,15.1541,0.12737,-1.40449,-0.822876,-0.00161205,6945.32,-26.8773,15.1089,0
40,-26.9157,15.1508,-26.0856,15.1541,-0.806615,-0.184592,-0.830135,-0.00327337,6957.88,-26.932,15.1943,0
52,-26.921,15.1521,-26.0856,15.1541,-0.440985,0.112299,-0.835427,-0.00192579,6961.79,-27.1155,15.3726,0
61,-26.9124,15.1517,-26.0856,15.1541,0.954436,-0.0440588,-0.826837,-0.00232232,6966.25,-26.7996,15.0904,0
73,-26.9116,15.148,-26.0856,15.1541,0.0658374,-0.308054,-0.826047,-0.00601897,6970.4,-26.9326,15.2651,0
81,-26.9111,15.1494,-26.0856,15.1541,0.0627306,0.172581,-0.825545,-0.00463832,6973.11,-26.9233,15.194,0
93,-26.9003,15.1863,-26.0856,15.1541,0.902015,3.07131,-0.814721,0.0322174,6974.37,-26.7745,15.0727,0
101,-26.9043,15.2282,-26.0856,15.1541,-0.493356,5.23569,-0.818668,0.0741029,6974.95,-26.9701,15.2586,0
113,-26.9071,15.2399,-26.0856,15.1541,-0.235552,0.981079,-0.821495,0.0858759,6975.49,-26.8611,15.2169,0
121,-26.9443,15.2545,-26.0856,15.1541,-4.6537,1.81487,-0.858724,0.100395,6976.71,-26.9006,15.242,0
133,-26.9665,15.2753,-26.0856,15.1541,-1.8513,1.73992,-0.88094,0.121274,6979.63,-26.9689,15.3403,0
141,-26.9814,15.2951,-26.0856,15.1541,-1.858,2.46748,-0.895804,0.141014,6984.75,-27.0304,15.3502,0
153,-26.9979,15.2964,-26.0856,15.1541,-1.37728,0.113584,-0.912331,0.142377,6991.1,-26.9586,15.1682,0
162,-26.9989,15.2942,-26.0856,15.1541,-0.107603,-0.25322,-0.9133,0.140098,6996.99,-27.1048,15.3032,0
