Resolution,1920,1080,Distance,58,Width,47.5,Subject,V005GCAURA,Test,TSVH-05082018-124754,Calibration,CC9-05082018-124718,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163928
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.0338246,0.992769,0,0,0,0,0.0338246,0.992769,11855.3,0.0873697,0.959153,0
11.394,0.0338246,0.992769,0,0,0,0,0.0338246,0.992769,11855.3,-0.0544959,1.09459,0
22.381,-0.0198686,1.03762,0,0,-4.88698,4.08262,-0.0198686,1.03762,11855.3,-0.0120723,1.07984,0
30.448,-0.0202454,1.05332,0,0,-0.0467104,1.94573,-0.0202454,1.05332,11855.3,-0.0163166,1.03088,0
42.662,-0.018742,1.05378,0,0,0.123087,0.0376535,-0.018742,1.05378,11916.5,-0.0427993,0.988077,0
50.639,0.0150027,1.04941,0,0,4.23026,-0.548008,0.0150027,1.04941,11956.9,0.0848769,1.06161,0
62.56,0.0486885,1.02489,0,0,2.82575,-2.05651,0.0486885,1.02489,12004.7,0.0139942,0.954224,0
71.079,0.0518488,0.998877,0,0,0.370972,-3.054,0.0518488,0.998877,12066.8,0.0580122,0.997871,0
82.344,0.0598622,0.996496,0,0,0.711351,-0.211312,0.0598622,0.996496,12134.5,0.105075,1.00626,0
91.076,0.0591895,0.986136,0,0,-0.0770396,-1.18651,0.0591895,0.986136,12198.6,0.0473659,0.982824,0
103.086,0.0675289,0.985535,0,0,0.694372,-0.0500152,0.0675289,0.985535,12255.8,0.0925687,1.01719,0
111.108,0.0616226,0.98173,0,0,-0.736266,-0.474372,0.0616226,0.98173,12306.6,0.104919,0.941905,0
123.083,0.0675593,0.963021,0,0,0.495758,-1.56226,0.0675593,0.963021,12358.3,0.0534374,0.984123,0
131.074,0.0661046,0.939146,0,0,-0.182034,-2.98782,0.0661046,0.939146,12416.1,0.0206393,0.923641,0
142.228,0.0631494,0.914701,0,0,-0.264945,-2.19158,0.0631494,0.914701,12474.8,0.121309,0.867142,0
150.394,0.0680657,0.894692,0,0,0.602041,-2.45029,0.0680657,0.894692,12528.5,0.0568683,0.859359,0
163.069,0.0822281,0.874819,0,0,1.11735,-1.56784,0.0822281,0.874819,12578.6,0.150272,0.885121,0
170.796,0.10075,0.862662,0,0,2.39703,-1.57337,0.10075,0.862662,12625.5,0.0548194,0.807959,0
182.525,0.0984019,0.848157,0,0,-0.200191,-1.23671,0.0984019,0.848157,12666.4,0.0698406,0.813634,0
191.067,0.0968108,0.837025,0,0,-0.186263,-1.30316,0.0968108,0.837025,12700,0.193723,0.861325,0
202.355,0.0944675,0.824714,0,0,-0.207599,-1.09062,0.0944675,0.824714,12729.6,0.0946474,0.755332,0
210.516,0.0910994,0.800101,0,0,-0.4127,-3.01589,0.0910994,0.800101,12763.3,0.0849385,0.825332,0
223.072,0.085931,0.771179,0,0,-0.411626,-2.3035,0.085931,0.771179,12804.8,0.0188209,0.817971,0
230.791,0.0625734,0.773607,0,0,-3.02599,0.314525,0.0625734,0.773607,12850.1,-0.0574816,0.733773,0
242.472,0.0626003,0.802341,0,0,0.00230232,2.45994,0.0626003,0.802341,12891.6,0.0929749,0.746579,0
251.07,0.0645993,0.811742,0,0,0.2325,1.09343,0.0645993,0.811742,12924.6,0.0270863,0.839059,0
262.342,0.088999,0.845207,0,0,2.16462,2.96887,0.088999,0.845207,12950.9,0.0853238,0.873528,0
274.499,0.103618,0.859267,0,0,1.20249,1.15649,0.103618,0.859267,12977.4,0.146267,0.853701,0
282.115,0.115963,0.860356,0,0,1.62104,0.143053,0.115963,0.860356,13008.8,0.115432,0.863652,0
