Resolution,1920,1080,Distance,58,Width,47.5,Subject,V006GCAURA,Test,TOPTVU-06212018-153144,Calibration,CC9-06212018-153058,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-163931
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-1.25096,-3.45301,0,0,0,0,-1.25096,-3.45301,3827.82,-1.3136,-2.99525,0
12.077,-1.25096,-3.45301,0,0,0,0,-1.25096,-3.45301,3827.82,-2.21611,-4.04123,0
20.033,-1.25061,-3.4722,0,0,0.0430655,-2.41214,-1.25061,-3.4722,3827.82,-2.82684,-4.43649,0
31.946,-1.25134,-3.4316,0,0,-0.0607321,3.40841,-1.25134,-3.4316,3827.82,-1.5826,-3.82352,0
39.969,-1.18712,-2.44917,0,0,8.00456,122.451,-1.18712,-2.44917,3978.22,-1.11236,0.116605,0
51.936,-1.10963,-1.01554,0,0,6.47537,119.799,-1.10963,-1.01554,4158.02,-1.04182,-0.998746,0
59.925,-1.0332,-0.741843,0,0,9.56679,34.2592,-1.0332,-0.741843,4318.06,-0.748054,-0.937554,0
71.915,-0.982535,-0.237126,0,0,4.22534,42.0948,-0.982535,-0.237126,4465.16,-0.831974,-0.229866,0
79.968,-0.950972,0.215055,0,0,3.91943,56.1505,-0.950972,0.215055,4640.39,-0.711434,2.07127,0
91.969,-0.938434,1.53241,0,0,1.04473,109.771,-0.938434,1.53241,4834.82,-0.96243,2.26003,0
99.979,-0.929969,2.12242,0,0,1.05687,73.6595,-0.929969,2.12242,4990.22,-0.943086,2.2024,0
111.919,-0.923777,2.1986,0,0,0.518586,6.38005,-0.923777,2.1986,5077.89,-0.839716,2.19592,0
119.937,-0.918519,2.20007,0,0,0.655704,0.18307,-0.918519,2.20007,5121.6,-0.922001,2.08663,0
131.925,-0.916285,2.18236,0,0,0.186387,-1.47748,-0.916285,2.18236,5152.72,-1.00341,2.28561,0
140.029,-0.9195,2.16322,0,0,-0.396791,-2.36118,-0.9195,2.16322,5184.04,-0.935116,2.15441,0
151.949,-0.925204,2.16259,0,0,-0.478507,-0.0528235,-0.925204,2.16259,5214.62,-0.858222,2.16379,0
159.905,-0.929734,2.16373,0,0,-0.569299,0.143019,-0.929734,2.16373,5240.93,-0.924009,2.15328,0
171.931,-0.93246,2.1614,0,0,-0.226715,-0.194218,-0.93246,2.1614,5264.63,-0.858223,2.16966,0
179.973,-0.933753,2.16393,0,0,-0.160796,0.315602,-0.933753,2.16393,5289.2,-0.999176,2.19667,0
192.14,-0.934013,2.1671,0,0,-0.0213668,0.260511,-0.934013,2.1671,5314.14,-0.978115,2.12402,0
200.027,-0.933765,2.20794,0,0,0.0315042,5.17769,-0.933765,2.20794,5337.2,-0.932828,2.24674,0
211.956,-0.933503,2.25713,0,0,0.0218888,4.12318,-0.933503,2.25713,5357.8,-0.938506,2.29114,0
223.959,-0.933386,2.29171,0,0,0.00977814,2.88099,-0.933386,2.29171,5377.06,-0.990279,2.33571,0
231.925,-0.93335,2.34493,0,0,0.00450232,6.68094,-0.93335,2.34493,5396.62,-0.949835,2.38195,0
243.979,-0.933564,2.36824,0,0,-0.017748,1.93436,-0.933564,2.36824,5416.52,-0.90939,2.42847,0
251.928,-0.934432,2.37984,0,0,-0.109219,1.45917,-0.934432,2.37984,5434.41,-0.851366,2.37792,0
263.926,-0.936058,2.38389,0,0,-0.135497,0.337244,-0.936058,2.38389,5447.65,-0.868169,2.35604,0
272.06,-0.937984,2.45003,0,0,-0.236752,8.13195,-0.937984,2.45003,5455.5,-0.922389,2.51661,0
283.954,-0.94093,2.54218,0,0,-0.247666,7.7471,-0.94093,2.54218,5458.91,-0.960143,2.57281,0
292.198,-0.948245,2.5777,0,0,-0.887352,4.30923,-0.948245,2.5777,5459.57,-0.94447,2.59439,0
303.945,-0.962144,2.60378,0,0,-1.18321,2.21996,-0.962144,2.60378,5457.38,-0.974564,2.62377,0
312.038,-0.980435,2.63235,0,0,-2.26009,3.53038,-0.980435,2.63235,5448.23,-1.02372,2.64217,0
323.982,-1.00178,2.66079,0,0,-1.78672,2.38063,-1.00178,2.66079,5426.74,-1.027,2.70367,0
331.981,-1.03094,2.7753,0,0,-3.64554,14.3163,-1.03094,2.7753,5393.38,-1.00669,2.87623,0
343.963,-1.06994,2.89921,0,0,-3.25536,10.3413,-1.06994,2.89921,5352.25,-1.2026,2.97637,0
351.96,-1.10691,2.96911,0,0,-4.62237,8.74079,-1.10691,2.96911,5302.84,-1.16996,3.0512,0
364.07,-1.12994,3.03559,0,0,-1.90236,5.48971,-1.12994,3.03559,5244.8,-1.15173,3.06915,0
371.965,-1.14149,3.09387,0,0,-1.46293,7.38179,-1.14149,3.09387,5181.93,-1.12515,3.18665,0
383.934,-1.14743,3.15152,0,0,-0.495607,4.81623,-1.14743,3.15152,5117.31,-1.22988,3.23756,0
