Resolution,1920,1080,Distance,58.5,Width,47.5,Subject,AURA41,Test,TASVH-05042017-120227,Calibration,CA9-05042017-120147,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.6392277551401869,0.382947,0.0,0.0,0.0,0.0,1.49014,0.382947,2485.71,1.49068,0.37547,0.0
12.0,0.6392277551401869,0.382947,0.0,0.0,0.0,0.0,1.49014,0.382947,2485.71,1.58303,0.575717,0.0
20.0,0.6401977551401868,0.383054,0.0,0.0,0.120997,0.0133809,1.49111,0.383054,2485.71,1.41571,0.413198,0.0
32.0,0.663367755140187,0.385618,0.0,0.0,1.93126,0.213639,1.51428,0.385618,2485.71,1.48049,0.392452,0.0
40.0,0.7112177551401869,0.400732,0.0,0.0,5.9801,1.88926,1.56213,0.400732,2485.55,1.59297,0.366609,0.0
52.0,0.7389577551401868,0.410401,0.0,0.0,2.31215,0.805723,1.58987,0.410401,2478.64,1.61741,0.0585631,0.0
60.0,0.7398877551401869,0.413845,0.0,0.0,0.116217,0.430503,1.5908,0.413845,2468.36,1.49921,0.750839,0.0
72.0,0.739767755140187,0.41347,0.0,0.0,-0.00998334,-0.0312041,1.59068,0.41347,2457.88,1.69641,0.675332,0.0
80.0,0.736607755140187,0.411569,0.0,0.0,-0.395732,-0.237607,1.58752,0.411569,2449.79,1.38347,0.503451,0.0
91.0,0.7368377551401869,0.410605,0.0,0.0,0.0213492,-0.0876869,1.58775,0.410605,2443.6,1.72073,0.243344,0.0
100.0,0.7440477551401868,0.410213,0.0,0.0,0.80145,-0.043574,1.59496,0.410213,2438.92,1.45518,0.426168,0.0
112.0,0.7452477551401869,0.407497,0.0,0.0,0.100036,-0.226318,1.59616,0.407497,2435.84,1.89027,0.402058,0.0
120.0,0.7616677551401868,0.405203,0.0,0.0,2.05149,-0.286744,1.61258,0.405203,2432.76,1.60707,0.418642,0.0
132.0,0.7673277551401868,0.402132,0.0,0.0,0.47194,-0.255876,1.61824,0.402132,2428.1,1.62575,0.33076,0.0
140.0,0.7689977551401869,0.398237,0.0,0.0,0.209136,-0.486933,1.61991,0.398237,2422.9,1.64287,0.509907,0.0
152.0,0.769757755140187,0.39193,0.0,0.0,0.063509,-0.525547,1.62067,0.39193,2418.83,1.63945,0.0482434,0.0
159.0,0.776877755140187,0.3841,0.0,0.0,1.01638,-1.11857,1.62779,0.3841,2415.89,1.55803,0.21551,0.0
172.0,0.7776977551401868,0.372543,0.0,0.0,0.0629872,-0.889028,1.62861,0.372543,2413.25,1.84823,0.507829,0.0
180.0,0.801387755140187,0.357876,0.0,0.0,2.96213,-1.83339,1.6523,0.357876,2409.89,1.91804,0.441981,0.0
191.0,0.8228977551401869,0.338709,0.0,0.0,1.95477,-1.74244,1.67381,0.338709,2405.71,1.58983,0.203299,0.0
199.0,0.9121677551401869,0.325016,0.0,0.0,11.1589,-1.71163,1.76308,0.325016,2401.67,1.5887,0.268176,0.0
212.0,0.9391477551401869,0.303814,0.0,0.0,2.07593,-1.63097,1.79006,0.303814,2398.64,1.76197,0.269301,0.0
219.0,0.9417177551401869,0.284123,0.0,0.0,0.366555,-2.81291,1.79263,0.284123,2397.31,2.10495,0.264555,0.0
232.0,0.949397755140187,0.2707,0.0,0.0,0.590795,-1.03253,1.80031,0.2707,2397.85,1.93051,0.319852,0.0
240.0,0.9526277551401868,0.260956,0.0,0.0,0.403386,-1.21804,1.80354,0.260956,2399.81,1.87681,0.451034,0.0
252.0,1.001227755140187,0.260589,0.0,0.0,4.05018,-0.0306261,1.85214,0.260589,2403.34,1.69769,0.155303,0.0
264.0,0.9287977551401868,0.250354,0.0,0.0,-6.03624,-0.852841,1.77971,0.250354,2409.46,1.42769,0.141462,0.0
272.0,0.9113177551401869,0.247907,0.0,0.0,-2.18478,-0.305936,1.76223,0.247907,2417.79,1.80006,0.311836,0.0
283.0,0.869577755140187,0.244229,0.0,0.0,-3.79407,-0.334388,1.72049,0.244229,2425.46,1.72687,0.190895,0.0
291.0,0.817927755140187,0.244502,0.0,0.0,-6.45668,0.0341791,1.66884,0.244502,2430.06,1.79006,0.0515987,0.0
304.0,0.8128877551401869,0.261811,0.0,0.0,-0.387716,1.33146,1.6638,0.261811,2432.01,1.4467,0.470653,0.0
312.0,0.7720477551401869,0.285493,0.0,0.0,-5.10496,2.96027,1.62296,0.285493,2432.72,1.70866,0.183529,0.0
323.0,0.7503277551401869,0.30925,0.0,0.0,-1.97419,2.15969,1.60124,0.30925,2432.82,1.28699,0.61157,0.0
332.0,0.7279277551401869,0.322489,0.0,0.0,-2.48954,1.47104,1.57884,0.322489,2432.63,1.75148,0.365508,0.0
344.0,0.727737755140187,0.325283,0.0,0.0,-0.0154752,0.232826,1.57865,0.325283,2432.62,1.61842,0.392884,0.0
352.0,0.7507577551401868,0.316552,0.0,0.0,2.8772,-1.09137,1.60167,0.316552,2432.99,1.56079,0.437856,0.0
363.0,0.789047755140187,0.301978,0.0,0.0,3.48135,-1.3249,1.63996,0.301978,2433.59,1.45474,0.239116,0.0
372.0,0.748887755140187,0.283781,0.0,0.0,-4.46296,-2.02196,1.5998,0.283781,2434.39,1.6928,0.232525,0.0
384.0,0.7388277551401868,0.277491,0.0,0.0,-0.837837,-0.524136,1.58974,0.277491,2435.93,1.65701,0.66085,0.0
391.0,0.754987755140187,0.278469,0.0,0.0,2.30757,0.139773,1.6059,0.278469,2438.49,1.54835,0.0986987,0.0
404.0,0.786677755140187,0.28364,0.0,0.0,2.43801,0.39777,1.63759,0.28364,2441.12,1.45478,0.0260584,0.0
411.0,0.7877077551401869,0.288938,0.0,0.0,0.146478,0.756839,1.63862,0.288938,2442.72,1.6882,0.0880686,0.0
424.0,0.788567755140187,0.296627,0.0,0.0,0.0666403,0.591477,1.63948,0.296627,2443.46,1.67617,0.227711,0.0
431.0,0.8201177551401869,0.306881,0.0,0.0,4.50663,1.46485,1.67103,0.306881,2443.91,1.59482,0.480522,0.0
444.0,0.8404377551401868,0.316028,0.0,0.0,1.56293,0.703597,1.69135,0.316028,2444.1,1.75003,0.396225,0.0
452.0,0.8423677551401868,0.325591,0.0,0.0,0.242293,1.19533,1.69328,0.325591,2443.98,1.77209,0.680497,0.0
463.0,0.8805077551401869,0.339043,0.0,0.0,3.467,1.22287,1.73142,0.339043,2443.6,1.77017,0.405592,0.0
472.0,0.8828777551401868,0.345273,0.0,0.0,0.263335,0.692277,1.73379,0.345273,2442.97,1.52129,0.451888,0.0
484.0,0.9067477551401869,0.352063,0.0,0.0,1.98907,0.565844,1.75766,0.352063,2441.97,1.76024,0.260203,0.0
491.0,0.9077277551401869,0.356082,0.0,0.0,0.140308,0.57416,1.75864,0.356082,2440.56,1.35859,0.126135,0.0
503.0,0.9116277551401869,0.359121,0.0,0.0,0.32473,0.253195,1.76254,0.359121,2439.37,1.79367,0.532924,0.0
515.0,0.9095577551401869,0.360343,0.0,0.0,-0.172292,0.101875,1.76047,0.360343,2439.08,1.93013,0.312387,0.0
524.0,0.8603677551401868,0.358575,0.0,0.0,-5.4658,-0.196503,1.71128,0.358575,2439.48,1.77779,0.268687,0.0
536.0,0.856357755140187,0.369525,0.0,0.0,-0.334447,0.912499,1.70727,0.369525,2440.4,1.63597,0.517157,0.0
544.0,0.8297077551401869,0.386482,0.0,0.0,-3.33116,2.11967,1.68062,0.386482,2442.06,1.65189,0.227986,0.0
556.0,0.827307755140187,0.405778,0.0,0.0,-0.199724,1.60805,1.67822,0.405778,2444.65,1.61571,0.590035,0.0
563.0,0.8294377551401869,0.417227,0.0,0.0,0.304403,1.6355,1.68035,0.417227,2448.59,1.86481,0.460088,0.0
575.0,0.897137755140187,0.429391,0.0,0.0,5.64135,1.01364,1.74805,0.429391,2453.47,1.78493,0.425644,0.0
584.0,0.9631077551401869,0.438593,0.0,0.0,7.32993,1.02252,1.81402,0.438593,2458.05,1.90554,0.489878,0.0
595.0,0.9673177551401869,0.43725,0.0,0.0,0.382687,-0.122125,1.81823,0.43725,2461.94,2.02115,0.626967,0.0
604.0,0.9977377551401868,0.432382,0.0,0.0,3.38001,-0.540933,1.84865,0.432382,2465.04,1.79722,0.332598,0.0
615.0,0.9960077551401868,0.416779,0.0,0.0,-0.156591,-1.41843,1.84692,0.416779,2467.36,1.65271,0.364923,0.0
624.0,0.899637755140187,0.386774,0.0,0.0,-10.7083,-3.33388,1.75055,0.386774,2469.16,1.87648,0.478317,0.0
