Resolution,1920,1080,Distance,58.5,Width,47.5,Subject,AURA41,Test,TSMV-05042017-120007,Calibration,CA9-05042017-115929,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.280831,0.306237,0,0,0,0,0.280831,0.306237,2127.54,0.303017,0.344487,0
8,0.280831,0.306237,0,0,0,0,0.280831,0.306237,2127.54,0.206644,0.178274,0
20,0.250469,0.257053,0,0,-2.53018,-4.09871,0.250469,0.257053,2127.54,0.279122,0.27122,0
28,0.221823,0.252074,0,0,-3.5807,-0.622378,0.221823,0.252074,2127.54,0.231279,0.410859,0
40,0.201589,0.252295,0,0,-1.68619,0.0184477,0.201589,0.252295,2129.64,0.151784,0.205393,0
48,0.187957,0.303918,0,0,-1.70398,6.4528,0.187957,0.303918,2128.91,0.151056,0.394543,0
60,0.165786,0.291365,0,0,-1.84756,-1.04604,0.165786,0.291365,2128.05,0.0533764,0.314692,0
72,0.131586,0.273692,0,0,-2.85004,-1.47281,0.131586,0.273692,2127.33,0.175845,0.373865,0
80,0.109227,0.232612,0,0,-2.79488,-5.13499,0.109227,0.232612,2126.93,0.0309451,0.0998238,0
92,0.113965,0.140288,0,0,0.394829,-7.69359,0.113965,0.140288,2126.8,0.175,0.0695535,0
100,0.120447,0.136958,0,0,0.810302,-0.416331,0.120447,0.136958,2126.93,0.0376375,0.33982,0
111,0.120772,0.138364,0,0,0.0295068,0.127865,0.120772,0.138364,2127.11,0.425827,0.178426,0
120,0.122112,0.170892,0,0,0.148963,3.61414,0.122112,0.170892,2126.77,0.107348,0.194313,0
132,0.127198,0.200135,0,0,0.423835,2.43693,0.127198,0.200135,2125.03,0.124227,0.356203,0
140,0.139266,0.234473,0,0,1.5085,4.29228,0.139266,0.234473,2120.88,0.0903169,0.206787,0
152,0.137418,0.284112,0,0,-0.153988,4.13657,0.137418,0.284112,2114.2,0.341737,0.334605,0
