Resolution,1920,1080,Distance,57,Width,47.8,Subject,CGR-00664525D,Test,TASVH-05112018-130821,Calibration,CC9-05112018-130758,Oscann, 4.0.12,libTracker, 1.0.9,crtime, 12112018-165128
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.129674,0.428853,0,0,0,0,0.129674,0.428853,5748.86,0.129606,0.428492,0
11.161,0.129674,0.428853,0,0,0,0,0.129674,0.428853,5748.86,0.148803,0.376102,0
23.011,0.130904,0.438858,0,0,0.103804,0.844344,0.130904,0.438858,5748.86,0.13511,0.467438,0
30.796,0.130793,0.462776,0,0,-0.0142438,3.07225,0.130793,0.462776,5748.86,0.00197504,0.578471,0
42.925,0.103392,0.474648,0,0,-2.25912,0.978833,0.103392,0.474648,5752.29,0.131481,0.509923,0
51.299,0.0868792,0.484323,0,0,-1.97195,1.15534,0.0868792,0.484323,5743.05,0.00623595,0.431527,0
62.336,0.0863023,0.485902,0,0,-0.0522631,0.143068,0.0863023,0.485902,5729.34,0.0717309,0.455657,0
70.964,0.0845829,0.486189,0,0,-0.199283,0.0332357,0.0845829,0.486189,5715.67,0.135782,0.477701,0
83.251,0.0845223,0.486301,0,0,-0.00493584,0.00918145,0.0845223,0.486301,5706.14,0.116395,0.482931,0
90.71,0.0849476,0.488623,0,0,0.057021,0.311203,0.0849476,0.488623,5700.91,0.0756134,0.53335,0
103.104,0.0860708,0.488574,0,0,0.0906294,-0.00392346,0.0860708,0.488574,5697.54,0.0440665,0.460584,0
111.684,0.0705936,0.490592,0,0,-1.80387,0.235186,0.0705936,0.490592,5694.26,0.0265439,0.501226,0
122.216,0.069559,0.488319,0,0,-0.0982338,-0.2158,0.069559,0.488319,5691.19,0.0798188,0.483315,0
130.841,0.0680253,0.481378,0,0,-0.177822,-0.804719,0.0680253,0.481378,5689.04,-0.00282296,0.469867,0
143.42,0.0562103,0.476831,0,0,-0.939268,-0.361541,0.0562103,0.476831,5687.56,0.0781561,0.447302,0
151.169,0.0602607,0.4708,0,0,0.522702,-0.778243,0.0602607,0.4708,5686,0.0896262,0.474788,0
162.825,0.0353343,0.445665,0,0,-2.1385,-2.15637,0.0353343,0.445665,5684.04,0.0183357,0.384997,0
170.98,0.031743,0.419246,0,0,-0.440382,-3.23965,0.031743,0.419246,5681.08,0.0507311,0.415665,0
182.102,0.0267813,0.418794,0,0,-0.44612,-0.0406194,0.0267813,0.418794,5675.33,-0.00210958,0.32018,0
190.489,0.0248893,0.419076,0,0,-0.225583,0.0335941,0.0248893,0.419076,5666.3,0.0407685,0.419328,0
203.051,0.0200402,0.420262,0,0,-0.386012,0.0944039,0.0200402,0.420262,5657.44,-0.0253289,0.42549,0
210.953,0.0197574,0.420558,0,0,-0.0357968,0.0374148,0.0197574,0.420558,5652.1,0.0621351,0.545826,0
223.011,0.018541,0.429047,0,0,-0.100874,0.704046,0.018541,0.429047,5649.77,-0.0280476,0.491146,0
231.287,0.01902,0.428836,0,0,0.0578781,-0.0254585,0.01902,0.428836,5648.63,0.0744436,0.387973,0
242.321,0.0314285,0.413299,0,0,1.12457,-1.40817,0.0314285,0.413299,5647.5,0.0380239,0.435236,0
250.93,0.0383071,0.359765,0,0,0.799005,-6.21837,0.0383071,0.359765,5645.2,-0.0488966,0.337812,0
263.25,0.0314563,0.316202,0,0,-0.556072,-3.53593,0.0314563,0.316202,5640.68,0.0771713,0.261266,0
275.226,0.00745907,0.306276,0,0,-2.00378,-0.82885,0.00745907,0.306276,5633.87,0.0238234,0.322672,0
282.789,0.0052522,0.305572,0,0,-0.291798,-0.0929913,0.0052522,0.305572,5625.77,-0.0389761,0.293865,0
295.077,-0.0217799,0.297769,0,0,-2.19988,-0.635053,-0.0217799,0.297769,5617.82,0.015399,0.27375,0
303.621,-0.0353379,0.297931,0,0,-1.58684,0.0189301,-0.0353379,0.297931,5611.19,-0.0749501,0.33448,0
314.324,-0.0415227,0.270147,0,0,-0.577857,-2.59591,-0.0415227,0.270147,5606.23,-0.0458146,0.225153,0
322.946,-0.045428,0.233918,0,0,-0.45295,-4.20186,-0.045428,0.233918,5602.53,-0.0664803,0.204674,0
335.234,-0.0496538,0.209167,0,0,-0.343897,-2.01427,-0.0496538,0.209167,5599.66,-0.0962317,0.23179,0
342.829,-0.0631322,0.209971,0,0,-1.77465,0.105933,-0.0631322,0.209971,5597.85,-0.0456184,0.190293,0
355.191,-0.0598534,0.211056,0,0,0.265234,0.087705,-0.0598534,0.211056,5597.2,-0.0209637,0.191803,0
363.638,-0.023349,0.244131,0,0,4.32158,3.9157,-0.023349,0.244131,5597.48,-0.101011,0.285401,0
374.333,0.0652151,0.305434,0,0,8.28089,5.73185,0.0652151,0.305434,5598.88,0.286882,0.416306,0
382.964,0.158772,0.296461,0,0,10.8396,-1.03959,0.158772,0.296461,5601.37,0.367417,0.559012,0
395.244,0.225935,0.301993,0,0,5.4693,0.450514,0.225935,0.301993,5604.14,0.270039,0.323911,0
402.801,0.24632,0.29925,0,0,2.69753,-0.362944,0.24632,0.29925,5606.81,0.178956,0.234984,0
414.629,0.245569,0.284891,0,0,-0.0634729,-1.21399,0.245569,0.284891,5609.95,0.28064,0.265183,0
422.611,0.226387,0.274942,0,0,-2.40313,-1.2465,0.226387,0.274942,5614.35,0.208621,0.254835,0
434.619,0.224009,0.263788,0,0,-0.198067,-0.928831,0.224009,0.263788,5620.26,0.240389,0.300311,0
442.618,0.226782,0.273218,0,0,0.34671,1.1789,0.226782,0.273218,5627.36,0.230531,0.362095,0
454.615,0.225634,0.265087,0,0,-0.0957502,-0.677832,0.225634,0.265087,5635.98,0.16481,0.239218,0
462.6,0.227489,0.275366,0,0,0.232361,1.2874,0.227489,0.275366,5646.3,0.290295,0.267037,0
474.615,0.23348,0.262635,0,0,0.498647,-1.05964,0.23348,0.262635,5656.24,0.273935,0.162716,0
483.162,0.240859,0.241388,0,0,0.863321,-2.48586,0.240859,0.241388,5663.7,0.202784,0.320687,0
494.092,0.249879,0.26001,0,0,0.825282,1.70369,0.249879,0.26001,5669.25,0.331279,0.397621,0
502.079,0.270617,0.26157,0,0,2.59645,0.19536,0.270617,0.26157,5674.86,0.235584,0.185797,0
514.086,0.2958,0.278965,0,0,2.09738,1.44874,0.2958,0.278965,5681.52,0.279277,0.242622,0
526.092,0.298118,0.288387,0,0,0.193065,0.784816,0.298118,0.288387,5688.9,0.312138,0.301207,0
534.089,0.302084,0.32056,0,0,0.495951,4.0231,0.302084,0.32056,5697.29,0.352917,0.359575,0
546.096,0.307316,0.350585,0,0,0.435731,2.50059,0.307316,0.350585,5708.74,0.205889,0.439107,0
554.083,0.306711,0.352652,0,0,-0.0757815,0.258816,0.306711,0.352652,5724.55,0.299703,0.311244,0
566.092,0.306568,0.368671,0,0,-0.0119352,1.33391,0.306568,0.368671,5742.63,0.322248,0.376975,0
574.095,0.302788,0.374243,0,0,-0.472234,0.696314,0.302788,0.374243,5759.07,0.290892,0.294018,0
586.097,0.302431,0.37394,0,0,-0.029805,-0.0252446,0.302431,0.37394,5770.85,0.281199,0.412474,0
594.091,0.297832,0.360558,0,0,-0.575242,-1.67405,0.297832,0.360558,5777.48,0.296077,0.376785,0
606.094,0.292192,0.323475,0,0,-0.469919,-3.08945,0.292192,0.323475,5781.16,0.325375,0.210437,0
614.087,0.291355,0.320784,0,0,-0.104678,-0.336673,0.291355,0.320784,5784.25,0.291863,0.317779,0
626.092,0.290099,0.294428,0,0,-0.104649,-2.19548,0.290099,0.294428,5787.78,0.411798,0.258316,0
634.091,0.341692,0.286254,0,0,6.44992,-1.02189,0.341692,0.286254,5791.72,0.229302,0.298366,0
646.092,0.393712,0.279362,0,0,4.33463,-0.574262,0.393712,0.279362,5794.99,0.451935,0.208814,0
654.098,0.396597,0.28376,0,0,0.36045,0.549316,0.396597,0.28376,5796.7,0.397346,0.304616,0
666.083,0.400117,0.307481,0,0,0.293636,1.97923,0.400117,0.307481,5797.16,0.403509,0.325085,0
674.086,0.403174,0.328309,0,0,0.382054,2.6025,0.403174,0.328309,5796.88,0.338755,0.379052,0
686.089,0.403471,0.336762,0,0,0.0247403,0.704318,0.403471,0.336762,5795.58,0.468135,0.323823,0
694.099,0.400027,0.350446,0,0,-0.429976,1.70829,0.400027,0.350446,5792.77,0.335852,0.357573,0
706.097,0.401437,0.364645,0,0,0.117514,1.18347,0.401437,0.364645,5788.91,0.40242,0.407841,0
714.1,0.401806,0.369321,0,0,0.046097,0.584246,0.401806,0.369321,5785.27,0.354312,0.271296,0
726.113,0.396903,0.382953,0,0,-0.408092,1.13477,0.396903,0.382953,5782.6,0.427775,0.433188,0
734.084,0.397412,0.389172,0,0,0.0638231,0.780231,0.397412,0.389172,5780.69,0.423887,0.383926,0
746.086,0.395631,0.3939,0,0,-0.148392,0.393955,0.395631,0.3939,5779.31,0.397112,0.400789,0
754.071,0.394707,0.397304,0,0,-0.115781,0.426262,0.394707,0.397304,5778.31,0.170254,0.422955,0
766.083,0.363563,0.398621,0,0,-2.59275,0.109672,0.363563,0.398621,5777.53,0.394408,0.390218,0
778.08,0.333048,0.406914,0,0,-2.54352,0.691255,0.333048,0.406914,5776.86,0.298544,0.437454,0
786.076,0.310927,0.405644,0,0,-2.76645,-0.158827,0.310927,0.405644,5776.34,0.363726,0.355807,0
798.078,0.308526,0.406553,0,0,-0.200095,0.0757109,0.308526,0.406553,5775.8,0.286097,0.395695,0
806.068,0.272518,0.413835,0,0,-4.50661,0.911401,0.272518,0.413835,5774.32,0.243723,0.450938,0
818.082,0.269596,0.406093,0,0,-0.243223,-0.644431,0.269596,0.406093,5770.41,0.238682,0.284999,0
826.077,0.264743,0.396555,0,0,-0.60699,-1.19303,0.264743,0.396555,5763.58,0.249703,0.424233,0
838.083,0.257828,0.375089,0,0,-0.575997,-1.7879,0.257828,0.375089,5755.66,0.338308,0.32241,0
846.072,0.266745,0.385293,0,0,1.1162,1.27724,0.266745,0.385293,5749.16,0.277919,0.38846,0
858.08,0.267674,0.389311,0,0,0.0773884,0.334603,0.267674,0.389311,5744.84,0.258461,0.314836,0
866.072,0.254409,0.349712,0,0,-1.65976,-4.9548,0.254409,0.349712,5741.98,0.276532,0.461443,0
878.081,0.0805082,0.361857,0,0,-14.4809,1.01133,0.0805082,0.361857,5739.98,-0.287247,0.532461,0
886.077,-0.101767,0.357507,0,0,-22.7958,-0.54403,-0.101767,0.357507,5738.9,-0.129126,0.351987,0
898.087,-0.109478,0.35934,0,0,-0.642071,0.152605,-0.109478,0.35934,5738.54,-0.0802774,0.310179,0
906.08,-0.116614,0.36041,0,0,-0.892676,0.133815,-0.116614,0.36041,5738.18,-0.119363,0.34892,0
918.085,-0.112388,0.360422,0,0,0.352006,0.00102798,-0.112388,0.360422,5737.66,-0.0686741,0.563404,0
926.076,-0.114623,0.375966,0,0,-0.279787,1.94524,-0.114623,0.375966,5737.45,-0.110984,0.391783,0
938.083,-0.108942,0.415638,0,0,0.473215,3.30402,-0.108942,0.415638,5737.84,-0.109058,0.520925,0
946.076,-0.109187,0.418454,0,0,-0.0307227,0.352283,-0.109187,0.418454,5738.89,-0.0408095,0.369215,0
