Resolution,1920,1080,Distance,57,Width,47.8,Subject,MAV-05269484T,Test,TFIX-06272018-102414,Calibration,CC9-06272018-102352,Oscann, 4.0.12,libTracker, 1.0.9,crtime, 12112018-165133
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,-4.042707053781513,3.5046,0.0,0.0,0.0,0.0,-3.05863,3.5046,6342.87,-3.76964,3.73607,0.0
6.094,-4.042707053781513,3.5046,0.0,0.0,0.0,0.0,-3.05863,3.5046,6342.87,-2.40461,2.87112,0.0
17.825,-1.6549500537815125,2.60576,0.0,0.0,203.542,-76.6207,-0.670873,2.60576,6342.87,1.62655,0.804594,0.0
26.375,0.17242294621848753,1.36039,0.0,0.0,213.728,-145.657,1.1565,1.36039,6342.87,2.02897,0.128826,0.0
37.623,0.3431629462184874,0.769267,0.0,0.0,15.1791,-52.554,1.32724,0.769267,6324.6,0.949879,0.673717,0.0
46.786,0.35887294621848753,0.717293,0.0,0.0,1.71421,-5.67209,1.34295,0.717293,6301.89,1.25922,0.748196,0.0
58.769,0.3111329462184874,0.661121,0.0,0.0,-3.98349,-4.68771,1.29521,0.661121,6283.63,1.18825,0.623557,0.0
65.369,0.3161129462184874,0.616289,0.0,0.0,0.754716,-6.79265,1.30019,0.616289,6269.42,1.23271,0.602419,0.0
77.306,0.33032294621848746,0.539499,0.0,0.0,1.19053,-6.43298,1.3144,0.539499,6259.59,1.36813,0.474175,0.0
86.971,0.3732429462184875,0.475803,0.0,0.0,4.44037,-6.5903,1.35732,0.475803,6251.58,1.39087,0.473682,0.0
97.652,0.3759129462184875,0.469249,0.0,0.0,0.249969,-0.613676,1.35999,0.469249,6242.06,1.27999,0.459405,0.0
106.707,0.38487294621848733,0.439082,0.0,0.0,0.989351,-3.33148,1.36895,0.439082,6230.28,1.43726,0.363111,0.0
118.79,0.39887294621848735,0.386516,0.0,0.0,1.15853,-4.35046,1.38295,0.386516,6215.69,1.33118,0.338574,0.0
125.67,0.4031029462184875,0.358345,0.0,0.0,0.615578,-4.09457,1.38718,0.358345,6196.05,1.36778,0.415166,0.0
137.547,0.39114294621848755,0.349039,0.0,0.0,-1.00752,-0.783548,1.37522,0.349039,6172.02,1.47661,0.361382,0.0
146.203,0.3944229462184875,0.341928,0.0,0.0,0.379066,-0.821451,1.3785,0.341928,6150.08,1.47602,0.341898,0.0
158.307,0.3946929462184875,0.339372,0.0,0.0,0.0228228,-0.211197,1.37877,0.339372,6135.13,1.30636,0.308358,0.0
166.778,0.38962294621848736,0.334093,0.0,0.0,-0.598666,-0.623177,1.3737,0.334093,6124.78,1.37652,0.347864,0.0
178.801,0.38962294621848736,0.32789,0.0,0.0,-0.000442884,-0.515906,1.3737,0.32789,6115.07,1.36111,0.261054,0.0
185.66,0.3873229462184874,0.318442,0.0,0.0,-0.334911,-1.37744,1.3714,0.318442,6106.53,1.35934,0.331113,0.0
197.96,0.3917629462184874,0.316371,0.0,0.0,0.361396,-0.168422,1.37584,0.316371,6101.38,1.39309,0.237761,0.0
210.201,0.39236294621848755,0.316714,0.0,0.0,0.0488551,0.028039,1.37644,0.316714,6098.98,1.4126,0.294857,0.0
218.054,0.4013729462184875,0.326509,0.0,0.0,1.14656,1.24728,1.38545,0.326509,6096.5,1.35811,0.346443,0.0
230.053,0.4009129462184874,0.334054,0.0,0.0,-0.0378409,0.628812,1.38499,0.334054,6091.29,1.49967,0.354501,0.0
237.285,0.4078129462184875,0.334741,0.0,0.0,0.953214,0.0950464,1.39189,0.334741,6082.46,1.41274,0.352811,0.0
249.286,0.40809294621848735,0.334191,0.0,0.0,0.0233654,-0.0458708,1.39217,0.334191,6071.36,1.36483,0.363912,0.0
257.236,0.4074929462184874,0.31865,0.0,0.0,-0.0756159,-1.95489,1.39157,0.31865,6060.04,1.45963,0.23795,0.0
270.364,0.4057929462184874,0.256179,0.0,0.0,-0.128777,-4.75857,1.38987,0.256179,6049.91,1.31017,0.196876,0.0
278.566,0.38704294621848734,0.209124,0.0,0.0,-2.28674,-5.73706,1.37112,0.209124,6041.93,1.39473,0.218168,0.0
290.539,0.36755294621848755,0.175145,0.0,0.0,-1.62759,-2.83796,1.35163,0.175145,6036.12,1.432,0.111284,0.0
297.276,0.35252294621848745,0.122737,0.0,0.0,-2.23166,-7.77904,1.3366,0.122737,6031.13,0.872126,0.0638106,0.0
311.54,0.30122294621848755,0.110837,0.0,0.0,-3.59623,-0.834276,1.2853,0.110837,6025.65,1.30782,0.0573776,0.0
317.524,0.22310294621848736,0.0757441,0.0,0.0,-13.0544,-5.86451,1.20718,0.0757441,6018.83,1.16013,-0.042037,0.0
329.324,0.20832294621848735,0.0679267,0.0,0.0,-1.25296,-0.662489,1.1924,0.0679267,6009.41,1.1762,0.131323,0.0
337.29,0.19184294621848752,0.0653481,0.0,0.0,-2.06794,-0.323704,1.17592,0.0653481,5996.98,1.1623,0.0463744,0.0
349.33,0.17871294621848743,0.0633261,0.0,0.0,-1.09082,-0.167934,1.16279,0.0633261,5983.47,1.19874,0.0695888,0.0
357.283,0.17246294621848735,0.0591022,0.0,0.0,-0.785498,-0.531115,1.15654,0.0591022,5971.28,1.14768,0.0560683,0.0
369.299,0.15655294621848748,0.0515217,0.0,0.0,-1.3244,-0.630867,1.14063,0.0515217,5960.45,1.06307,0.0850525,0.0
377.288,0.1549629462184875,0.0509279,0.0,0.0,-0.198904,-0.0743238,1.13904,0.0509279,5948.36,1.06875,0.0339316,0.0
389.282,0.13457294621848737,0.0443203,0.0,0.0,-1.70028,-0.550908,1.11865,0.0443203,5933.04,1.19235,-0.0188229,0.0
397.21,0.13614294621848744,0.0317636,0.0,0.0,0.198075,-1.58384,1.12022,0.0317636,5916.59,1.2105,0.0556688,0.0
409.256,0.15166294621848742,0.0138384,0.0,0.0,1.28855,-1.48806,1.13574,0.0138384,5901.91,1.11026,0.00343052,0.0
417.273,0.15268294621848744,0.0130921,0.0,0.0,0.127749,-0.0930888,1.13676,0.0130921,5887.32,1.14444,-0.0416199,0.0
429.597,0.16051294621848744,0.0137816,0.0,0.0,0.63513,0.0559441,1.14459,0.0137816,5867.25,1.15098,-0.00567855,0.0
437.293,0.15994294621848748,0.0197207,0.0,0.0,-0.0745136,0.771708,1.14402,0.0197207,5837.4,1.11682,0.0697965,0.0
449.285,0.16010294621848742,0.0227648,0.0,0.0,0.0136175,0.253849,1.14418,0.0227648,5800.77,1.24684,0.109924,0.0
461.232,0.17424294621848746,0.0297119,0.0,0.0,1.18347,0.581488,1.15832,0.0297119,5766.36,1.22317,0.00194983,0.0
469.249,0.19181294621848755,0.0309464,0.0,0.0,2.19137,0.153987,1.17589,0.0309464,5736.91,1.07641,-0.145749,0.0
481.319,0.19902294621848748,0.0313438,0.0,0.0,0.597398,0.0329253,1.1831,0.0313438,5707.22,1.25335,0.0299647,0.0
489.292,0.2086529462184875,0.0320019,0.0,0.0,1.20753,0.082548,1.19273,0.0320019,5676.04,1.19402,-0.0328747,0.0
501.286,0.2208529462184875,0.0363082,0.0,0.0,1.01761,0.359032,1.20493,0.0363082,5646.7,1.20511,0.0675823,0.0
509.314,0.2233929462184875,0.0531666,0.0,0.0,0.31645,2.09996,1.20747,0.0531666,5620.43,1.20739,0.0610671,0.0
521.301,0.2234829462184874,0.0539005,0.0,0.0,0.0074163,0.0612186,1.20756,0.0539005,5596.34,1.21562,0.0664466,0.0
529.348,0.2234129462184874,0.0535287,0.0,0.0,-0.00922045,-0.0461945,1.20749,0.0535287,5573.36,1.23778,0.109856,0.0
541.249,0.22073294621848738,0.0422888,0.0,0.0,-0.225071,-0.944452,1.20481,0.0422888,5549.51,1.19447,-0.0146339,0.0
549.23,0.19706294621848752,-0.0227878,0.0,0.0,-2.96586,-8.15394,1.18114,-0.0227878,5520.93,0.986227,-0.141126,0.0
561.282,0.1723029462184874,-0.0589481,0.0,0.0,-2.05399,-3.00036,1.15638,-0.0589481,5484.6,1.13951,-0.262785,0.0
569.317,0.17130294621848752,-0.0606728,0.0,0.0,-0.125082,-0.214647,1.15538,-0.0606728,5441.11,1.13271,-0.0358388,0.0
581.31,0.17158294621848735,-0.0667486,0.0,0.0,0.0231897,-0.506616,1.15566,-0.0667486,5394.89,1.16907,-0.0248245,0.0
589.309,0.15833294621848737,-0.0718317,0.0,0.0,-1.6555,-0.635466,1.14241,-0.0718317,5352.3,1.17613,-0.0574414,0.0
601.23,0.17878294621848745,-0.0719011,0.0,0.0,1.71528,-0.00582095,1.16286,-0.0719011,5317.26,1.17151,-0.0585548,0.0
609.245,0.18298294621848743,-0.0963453,0.0,0.0,0.523456,-3.04981,1.16706,-0.0963453,5287.2,0.987299,-0.143212,0.0
621.316,0.17683294621848755,-0.129005,0.0,0.0,-0.509148,-2.70563,1.16091,-0.129005,5255.61,1.18032,-0.137388,0.0
629.336,0.1743029462184874,-0.130669,0.0,0.0,-0.31579,-0.207437,1.15838,-0.130669,5220.92,1.26477,-0.0336773,0.0
641.281,0.16024294621848745,-0.131336,0.0,0.0,-1.17699,-0.0559097,1.14432,-0.131336,5187.27,1.10688,-0.142121,0.0
649.245,0.15921294621848736,-0.128628,0.0,0.0,-0.12963,0.340108,1.14329,-0.128628,5156.86,1.1589,-0.116066,0.0
