Resolution,1920,1080,Distance,57,Width,47.8,Subject,MAV-05269484T,Test,TOPTVU-06272018-103918,Calibration,CC9-06272018-103835,Oscann, 4.0.12,libTracker, 1.0.9,crtime, 12112018-165133
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,2.25646,-0.328606,0,0,0,0,2.25646,-0.328606,2113.58,2.26113,-0.351132,0
11.199,2.25646,-0.328606,0,0,0,0,2.25646,-0.328606,2113.58,2.33342,-0.27733,0
20.02,2.18632,-0.160304,0,0,-7.95231,19.0796,2.18632,-0.160304,2113.58,2.02978,-0.0563866,0
32.277,1.97949,0.531254,0,0,-16.8743,56.4215,1.97949,0.531254,2113.58,1.77448,1.12088,0
39.627,1.7868,1.06017,0,0,-26.2165,71.961,1.7868,1.06017,2116.25,1.69534,1.34904,0
52.03,1.70397,1.10158,0,0,-6.67776,3.33913,1.70397,1.10158,2115.9,1.56366,1.2484,0
64.033,1.65698,1.10409,0,0,-3.91526,0.208646,1.65698,1.10409,2114.72,1.60762,1.0306,0
71.831,1.61677,1.08879,0,0,-5.15632,-1.96186,1.61677,1.08879,2112.56,1.68019,1.07621,0
83.8,1.5901,1.08618,0,0,-2.22838,-0.217845,1.5901,1.08618,2110.19,1.59261,1.09203,0
91.795,1.58338,1.07584,0,0,-0.840588,-1.29293,1.58338,1.07584,2108.51,1.51945,1.03936,0
103.328,1.5599,1.07324,0,0,-2.03551,-0.225774,1.5599,1.07324,2107.63,1.54721,1.11433,0
112.272,1.54501,1.05415,0,0,-1.66504,-2.13425,1.54501,1.05415,2107.23,1.53552,1.09367,0
123.362,1.54696,1.03247,0,0,0.175585,-1.95509,1.54696,1.03247,2107.07,1.50557,1.02338,0
132.281,1.54893,0.987861,0,0,0.22139,-5.00158,1.54893,0.987861,2107.07,1.49215,0.947877,0
143.328,1.55298,0.925628,0,0,0.366779,-5.63344,1.55298,0.925628,2107.25,1.58855,0.899617,0
151.333,1.55112,0.889168,0,0,-0.232741,-4.55465,1.55112,0.889168,2107.76,1.56606,0.851864,0
164.282,1.55131,0.887696,0,0,0.0145866,-0.11366,1.55131,0.887696,2108.97,1.54679,0.800758,0
172.338,1.55778,0.88715,0,0,0.802809,-0.067832,1.55778,0.88715,2111.43,1.54536,0.904706,0
183.224,1.56055,0.867218,0,0,0.254433,-1.83093,1.56055,0.867218,2115.51,1.64869,0.928957,0
192.284,1.55535,0.894589,0,0,-0.573096,3.021,1.55535,0.894589,2120.96,1.53552,0.931149,0
203.481,1.54978,0.912048,0,0,-0.497949,1.55928,1.54978,0.912048,2127.32,1.62663,0.813956,0
211.47,1.54766,0.91189,0,0,-0.264519,-0.0198314,1.54766,0.91189,2134.44,1.55501,0.911883,0
224.617,1.53747,0.893286,0,0,-0.775104,-1.41504,1.53747,0.893286,2142.32,1.46988,0.910703,0
231.836,1.51987,0.876004,0,0,-2.43888,-2.39401,1.51987,0.876004,2152.48,1.52276,0.857823,0
243.218,1.51686,0.891362,0,0,-0.264618,1.34932,1.51686,0.891362,2166.05,1.51368,0.884544,0
252.261,1.5122,0.894027,0,0,-0.515294,0.294748,1.5122,0.894027,2179.2,1.50811,0.863535,0
263.366,1.51472,0.905148,0,0,0.22708,1.00142,1.51472,0.905148,2188.21,1.52098,0.98389,0
271.33,1.51098,0.938356,0,0,-0.469114,4.16983,1.51098,0.938356,2195.54,1.48621,1.01782,0
284.033,1.51489,0.973203,0,0,0.307861,2.74319,1.51489,0.973203,2205.51,1.49038,0.941616,0
292.017,1.52263,1.00972,0,0,0.969531,4.57395,1.52263,1.00972,2219.08,1.60697,0.992133,0
303.47,1.55457,1.02095,0,0,2.78879,0.980195,1.55457,1.02095,2234.39,1.55904,1.05162,0
316.039,1.60383,1.03023,0,0,3.91923,0.738861,1.60383,1.03023,2249.2,1.66248,1.06988,0
324.338,1.6042,1.04793,0,0,0.0439011,2.13283,1.6042,1.04793,2261.68,1.66895,1.09111,0
335.11,1.61528,1.05748,0,0,1.0289,0.886147,1.61528,1.05748,2270.63,1.62908,1.03781,0
