Resolution,1920,1080,Distance,1,Width,1,Subject,V002GDETSIDI,Test,TSMH-12152016-133055,Calibration,CC9-12152016-133026,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-171716
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
10.0,0.8767924252445272,-0.397558,0.0,0.0,0.0,0.0,1.81064,-0.397558,1946.13,1.66561,-0.404213,0.0
20.0,0.8767924252445272,-0.397558,0.0,0.0,0.0,0.0,1.81064,-0.397558,1946.13,1.79943,-0.347548,0.0
30.0,0.8685224252445272,-0.368918,0.0,0.0,-0.827659,2.86407,1.80237,-0.368918,1946.13,1.8161,-0.358484,0.0
40.0,0.862302425244527,-0.347479,0.0,0.0,-0.621923,2.14387,1.79615,-0.347479,1946.13,1.80018,-0.33656,0.0
50.0,0.8702224252445272,-0.334411,0.0,0.0,0.792222,1.30683,1.80407,-0.334411,1949.69,1.75319,-0.25887,0.0
60.0,0.8796124252445272,-0.321184,0.0,0.0,0.939426,1.3227,1.81346,-0.321184,1951.03,1.73645,-0.313171,0.0
70.0,0.8987524252445271,-0.319871,0.0,0.0,1.9142,0.13127,1.8326,-0.319871,1952.28,1.93748,-0.305695,0.0
80.0,0.9186524252445272,-0.320786,0.0,0.0,1.98954,-0.0914391,1.8525,-0.320786,1952.98,1.99191,-0.323095,0.0
90.0,0.9304024252445271,-0.321935,0.0,0.0,1.17457,-0.114937,1.86425,-0.321935,1952.99,1.85492,-0.325501,0.0
100.0,0.9366724252445271,-0.335574,0.0,0.0,0.627205,-1.36395,1.87052,-0.335574,1952.33,1.9127,-0.366048,0.0
110.0,0.9323824252445272,-0.346064,0.0,0.0,-0.428315,-1.04895,1.86623,-0.346064,1951.28,1.93712,-0.50137,0.0
120.0,0.9075324252445272,-0.345273,0.0,0.0,-2.48564,0.0790982,1.84138,-0.345273,1950.44,1.88648,-0.333501,0.0
130.0,0.8644524252445271,-0.342283,0.0,0.0,-4.30786,0.29896,1.7983,-0.342283,1950.09,1.66122,-0.420056,0.0
140.0,0.8132624252445271,-0.319034,0.0,0.0,-5.11948,2.32494,1.74711,-0.319034,1950.11,1.60798,-0.251173,0.0
150.0,0.7684024252445272,-0.282171,0.0,0.0,-4.48534,3.68633,1.70225,-0.282171,1950.45,1.6783,-0.26525,0.0
160.0,0.7441724252445272,-0.279477,0.0,0.0,-2.42302,0.269325,1.67802,-0.279477,1951.15,1.55093,-0.287354,0.0
170.0,0.7280224252445271,-0.280721,0.0,0.0,-1.61507,-0.124357,1.66187,-0.280721,1952.34,1.68797,-0.259759,0.0
180.0,0.7300724252445272,-0.329497,0.0,0.0,0.205273,-4.87757,1.66392,-0.329497,1954.26,1.78803,-0.37224,0.0
190.0,0.7296224252445271,-0.377703,0.0,0.0,-0.0451935,-4.8206,1.66347,-0.377703,1956.8,1.74742,-0.508369,0.0
200.0,0.710862425244527,-0.385404,0.0,0.0,-1.87577,-0.770133,1.64471,-0.385404,1959.37,1.58681,-0.389232,0.0
210.0,0.7100624252445271,-0.445021,0.0,0.0,-0.0808204,-5.96169,1.64391,-0.445021,1961.33,1.62177,-0.575384,0.0
220.0,0.6991524252445271,-0.444471,0.0,0.0,-1.09102,0.055033,1.633,-0.444471,1962.45,1.72492,-0.377809,0.0
230.0,0.6709524252445271,-0.38298,0.0,0.0,-2.81921,6.14909,1.6048,-0.38298,1962.99,1.56498,-0.511065,0.0
240.0,0.6610224252445271,-0.366365,0.0,0.0,-0.993107,1.66146,1.59487,-0.366365,1963.18,1.50232,-0.3556,0.0
250.0,0.6719124252445272,-0.365819,0.0,0.0,1.08852,0.0546424,1.60576,-0.365819,1963.11,1.58362,-0.345926,0.0
260.0,0.6958724252445272,-0.35563,0.0,0.0,2.39642,1.01889,1.62972,-0.35563,1962.82,1.68326,-0.329804,0.0
270.0,0.7266024252445271,-0.358071,0.0,0.0,3.07272,-0.244146,1.66045,-0.358071,1962.3,1.51287,-0.435046,0.0
280.0,0.7591824252445272,-0.393412,0.0,0.0,3.2584,-3.53412,1.69303,-0.393412,1961.81,1.64945,-0.293668,0.0
290.0,0.7873024252445271,-0.438373,0.0,0.0,2.81137,-4.49609,1.72115,-0.438373,1961.63,1.79738,-0.439746,0.0
300.0,0.798852425244527,-0.444595,0.0,0.0,1.15576,-0.622233,1.7327,-0.444595,1961.75,1.7388,-0.445069,0.0
310.0,0.8034824252445272,-0.444995,0.0,0.0,0.462765,-0.0399522,1.73733,-0.444995,1962.14,1.7388,-0.445069,1.0
320.0,0.8047424252445272,-0.445058,0.0,0.0,0.125705,-0.00631735,1.73859,-0.445058,1962.86,1.7388,-0.445069,1.0
330.0,0.8049324252445271,-0.445068,0.0,0.0,0.0192053,-0.000964932,1.73878,-0.445068,1964.06,1.7388,-0.445069,1.0
340.0,0.804952425244527,-0.445069,0.0,0.0,0.00143147,-7.1921e-05,1.7388,-0.445069,1965.77,1.7388,-0.445069,1.0
350.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1967.4,1.7388,-0.445069,1.0
360.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.32,1.7388,-0.445069,1.0
370.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.6,1.7388,-0.445069,1.0
380.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.65,1.7388,-0.445069,1.0
390.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.65,1.7388,-0.445069,1.0
400.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.65,1.7388,-0.445069,1.0
410.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.65,1.7388,-0.445069,1.0
420.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.65,1.7388,-0.445069,1.0
430.0,0.804952425244527,-0.445069,0.0,0.0,0.0,0.0,1.7388,-0.445069,1968.65,1.7388,-0.445069,1.0
