Resolution,1920,1080,Distance,58,Width,47.5,Subject,V014GDAURA,Test,TFIX-11052018-122003,Calibration,CC9-11052018-121939,Oscann, 4.0.8,libTracker, 1.0.7,crtime, 11072018-164020
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-0.155971,-0.118803,0,0,0,0,-0.155971,-0.118803,3207.97,-0.156099,-0.0862883,0
12.702,-0.155971,-0.118803,0,0,0,0,-0.155971,-0.118803,3207.97,-0.187055,-0.110124,0
21.086,-0.148202,-0.118794,0,0,0.926595,0.00108974,-0.148202,-0.118794,3207.97,-0.0733321,-0.105222,0
32.02,-0.125256,-0.118766,0,0,2.09864,0.00255429,-0.125256,-0.118766,3207.97,-0.125896,0.0222576,0
40.024,-0.104941,-0.128054,0,0,2.538,-1.16039,-0.104941,-0.128054,3209.15,-0.0277882,-0.151098,0
52.023,-0.0957999,-0.143968,0,0,0.76186,-1.32633,-0.0957999,-0.143968,3206.58,-0.154801,-0.161264,0
64.014,-0.0905441,-0.152807,0,0,0.438316,-0.737124,-0.0905441,-0.152807,3205.17,-0.0914659,-0.214276,0
72.017,-0.0774671,-0.15579,0,0,1.63401,-0.372699,-0.0774671,-0.15579,3204.57,-0.0903036,-0.174277,0
84.02,-0.0769035,-0.156419,0,0,0.0469584,-0.0524533,-0.0769035,-0.156419,3203.88,-0.0360566,-0.166584,0
92.008,-0.0757851,-0.156558,0,0,0.14,-0.0174158,-0.0757851,-0.156558,3202.28,-0.0317495,-0.0763626,0
104.023,-0.049731,-0.156611,0,0,2.16847,-0.00435645,-0.049731,-0.156611,3199.42,-0.0290091,-0.10611,0
112.018,-0.0352147,-0.156548,0,0,1.81567,0.00779454,-0.0352147,-0.156548,3195.82,-0.162223,-0.152465,0
124.007,-0.0334616,-0.156105,0,0,0.146229,0.0369527,-0.0334616,-0.156105,3192.35,-0.0350345,-0.106595,0
132.01,-0.0356372,-0.154947,0,0,-0.271853,0.144761,-0.0356372,-0.154947,3189.35,-0.0300143,-0.162766,0
144.014,-0.0588243,-0.153014,0,0,-1.93161,0.161013,-0.0588243,-0.153014,3187.09,-0.0162822,-0.212505,0
151.962,-0.0609412,-0.150687,0,0,-0.266343,0.292739,-0.0609412,-0.150687,3185.82,-0.0836834,-0.0109955,0
163.984,-0.0866011,-0.14844,0,0,-2.13442,0.186961,-0.0866011,-0.14844,3185.29,-0.135391,-0.229569,0
172.016,-0.0961179,-0.146463,0,0,-1.18486,0.246072,-0.0961179,-0.146463,3185.12,-0.0961177,-0.132864,0
184.012,-0.0964818,-0.145289,0,0,-0.0303341,0.0978568,-0.0964818,-0.145289,3185.15,-0.0585625,0.00236567,0
192.01,-0.0964808,-0.145077,0,0,0.00013056,0.0265846,-0.0964808,-0.145077,3185.44,-0.11233,-0.14693,0
204.013,-0.0967654,-0.145566,0,0,-0.0237138,-0.0407404,-0.0967654,-0.145566,3186.18,-0.109749,-0.257635,0
212.017,-0.10335,-0.146382,0,0,-0.822614,-0.101909,-0.10335,-0.146382,3187.61,-0.0578912,-0.00738906,0
224.018,-0.106874,-0.147113,0,0,-0.293672,-0.0609114,-0.106874,-0.147113,3190.26,-0.112042,-0.137646,0
232.008,-0.0994556,-0.147908,0,0,0.928459,-0.0995921,-0.0994556,-0.147908,3194.66,-0.172886,-0.1182,0
244.003,-0.113053,-0.149206,0,0,-1.13361,-0.108196,-0.113053,-0.149206,3200.52,-0.120091,-0.157175,0
251.992,-0.113486,-0.150635,0,0,-0.0541857,-0.178909,-0.113486,-0.150635,3206.92,-0.0850104,-0.175699,0
264.02,-0.108824,-0.151518,0,0,0.387601,-0.0733848,-0.108824,-0.151518,3212.74,-0.139349,-0.107689,0
272.002,-0.0994481,-0.151799,0,0,1.17464,-0.035145,-0.0994481,-0.151799,3217.57,-0.110496,-0.165495,0
284.018,-0.0990441,-0.151762,0,0,0.0336209,0.00307839,-0.0990441,-0.151762,3221.96,-0.0957556,-0.253808,0
292.226,-0.0990413,-0.151219,0,0,0.000337924,0.0660742,-0.0990413,-0.151219,3226.51,-0.0624379,-0.14234,0
304.275,-0.0991567,-0.149499,0,0,-0.00957458,0.142734,-0.0991567,-0.149499,3232.02,-0.109191,-0.193347,0
316.537,-0.102418,-0.146562,0,0,-0.265945,0.239592,-0.102418,-0.146562,3238.81,-0.0766497,-0.141884,0
324.73,-0.112823,-0.143424,0,0,-1.27002,0.382945,-0.112823,-0.143424,3246.4,-0.126268,-0.140282,0
336.703,-0.112785,-0.139869,0,0,0.00313478,0.296894,-0.112785,-0.139869,3254.51,-0.174151,-0.176759,0
344.72,-0.102406,-0.133236,0,0,1.2947,0.827444,-0.102406,-0.133236,3262.56,-0.160986,-0.146036,0
356.679,-0.111373,-0.122471,0,0,-0.749801,0.900151,-0.111373,-0.122471,3269.31,-0.0658641,-0.105212,0
364.694,-0.124019,-0.111786,0,0,-1.57788,1.3331,-0.124019,-0.111786,3274.24,-0.028248,-0.0984922,0
376.751,-0.132728,-0.105642,0,0,-0.722254,0.509629,-0.132728,-0.105642,3278.28,-0.10459,-0.0474321,0
384.75,-0.140599,-0.103378,0,0,-0.983985,0.283023,-0.140599,-0.103378,3282.79,-0.172634,-0.0703623,0
396.729,-0.186945,-0.102648,0,0,-3.86894,0.0608806,-0.186945,-0.102648,3288.42,-0.234287,-0.0252158,0
404.686,-0.203999,-0.103014,0,0,-2.14326,-0.0459639,-0.203999,-0.103014,3294.61,-0.273497,-0.0614214,0
416.687,-0.204674,-0.105557,0,0,-0.0562514,-0.211856,-0.204674,-0.105557,3299.65,-0.275006,-0.117825,0
424.699,-0.205306,-0.110717,0,0,-0.0789838,-0.644064,-0.205306,-0.110717,3302.4,-0.206082,-0.202741,0
436.684,-0.219121,-0.116899,0,0,-1.15267,-0.515863,-0.219121,-0.116899,3303.7,-0.131128,-0.101728,0
444.691,-0.219755,-0.122206,0,0,-0.0791222,-0.662756,-0.219755,-0.122206,3305.09,-0.157685,-0.160077,0
456.678,-0.219291,-0.126491,0,0,0.0386897,-0.357426,-0.219291,-0.126491,3307.17,-0.233327,-0.0259286,0
464.712,-0.208929,-0.129855,0,0,1.28975,-0.41881,-0.208929,-0.129855,3309.68,-0.242599,-0.0480671,0
476.681,-0.224174,-0.131995,0,0,-1.27367,-0.178813,-0.224174,-0.131995,3312.25,-0.256148,-0.149703,0
484.719,-0.222925,-0.133256,0,0,0.155299,-0.156827,-0.222925,-0.133256,3314.61,-0.113177,-0.124079,0
496.7,-0.176705,-0.133679,0,0,3.85783,-0.0353237,-0.176705,-0.133679,3316.59,-0.216142,-0.191562,0
504.71,-0.130089,-0.132792,0,0,5.81974,0.110727,-0.130089,-0.132792,3318.12,-0.137545,-0.131488,0
516.01,-0.115537,-0.130888,0,0,1.28773,0.168499,-0.115537,-0.130888,3319.4,-0.101852,-0.123589,0
524.021,-0.0827249,-0.128624,0,0,4.09591,0.282702,-0.0827249,-0.128624,3320.75,-0.0176724,-0.151797,0
536.04,-0.0805221,-0.126732,0,0,0.183276,0.157367,-0.0805221,-0.126732,3321.94,-0.0397875,-0.141593,0
543.996,-0.0804799,-0.125142,0,0,0.00530849,0.19982,-0.0804799,-0.125142,3322.58,-0.0461106,-0.105421,0
556.008,-0.0834347,-0.123109,0,0,-0.245986,0.169321,-0.0834347,-0.123109,3322.74,-0.200812,-0.0251808,0
568.152,-0.151875,-0.120204,0,0,-5.6357,0.239191,-0.151875,-0.120204,3322.58,-0.189953,-0.15797,0
576.272,-0.176957,-0.115465,0,0,-3.0889,0.583607,-0.176957,-0.115465,3321.98,-0.217904,-0.0685076,0
588.281,-0.177892,-0.10835,0,0,-0.0779302,0.592436,-0.177892,-0.10835,3320.42,-0.197975,-0.125606,0
596.281,-0.177791,-0.101085,0,0,0.0126541,0.908116,-0.177791,-0.101085,3317.48,-0.134039,-0.059369,0
