Resolution,1920,1080,Distance,58,Width,47.5,Subject,V011GDAURA,Test,TIF1-05072018-134141,Calibration,CC9-05072018-134116,Oscann, 4.0.12,libTracker, 1.0.13,crtime, 07112019-112550
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks,valid
0,0.675731,-0.104665,0,0,0,0,0.675731,-0.104665,1710.91,0.689756,-0.140604,0,1
6.723,0.675731,-0.104665,0,0,0,0,0.675731,-0.104665,1710.91,0.665071,-0.0116821,0,1
17.987,0.668433,-0.000692637,0,0,-0.647904,9.23053,0.668433,-0.000692637,1710.91,0.678606,0.0745605,0,1
25.877,0.666997,0.0846888,0,0,-0.182025,10.8215,0.666997,0.0846888,1710.91,0.642147,0.142741,0,1
37.83,0.657636,0.0890508,0,0,-0.783122,0.364931,0.657636,0.0890508,1703.93,0.635607,0.103631,0,1
45.794,0.656933,0.088251,0,0,-0.0883268,-0.100422,0.656933,0.088251,1695.58,0.714758,-0.105583,0,1
57.749,0.649534,0.0668331,0,0,-0.618872,-1.79154,0.649534,0.0668331,1688.21,0.622526,0.151238,0,1
65.752,0.632337,0.00956869,0,0,-2.14884,-7.15537,0.632337,0.00956869,1681.89,0.648506,-0.0335253,0,1
77.741,0.617387,-0.0323358,0,0,-1.24697,-3.49525,0.617387,-0.0323358,1675.73,0.567,-0.0767974,0,1
85.73,0.611587,-0.0338546,0,0,-0.72606,-0.190103,0.611587,-0.0338546,1669.23,0.617225,-0.00284622,0,1
97.878,0.607096,-0.0380094,0,0,-0.369699,-0.342016,0.607096,-0.0380094,1662.38,0.605043,-0.0709188,0,1
105.81,0.588889,-0.0206878,0,0,-2.29529,2.18376,0.588889,-0.0206878,1654.09,0.570906,-0.00612722,0,1
117.76,0.567692,-0.0156837,0,0,-1.77385,0.418755,0.567692,-0.0156837,1643.46,0.543666,-0.008001,0,1
125.785,0.56772,-0.00531453,0,0,0.00350829,1.2921,0.56772,-0.00531453,1632.39,0.665923,-0.0463176,0,1
137.79,0.56667,0.0421146,0,0,-0.0874605,3.95078,0.56667,0.0421146,1623.1,0.554979,0.0901617,0,1
145.775,0.561896,0.0992521,0,0,-0.597881,7.15561,0.561896,0.0992521,1615.45,0.60196,0.130714,0,1
157.74,0.527837,0.12506,0,0,-2.84653,2.15694,0.527837,0.12506,1608.93,0.490179,0.198547,0,1
165.722,0.505952,0.127851,0,0,-2.74189,0.349663,0.505952,0.127851,1603.36,0.463943,-0.00297736,0,1
177.737,0.503976,0.126943,0,0,-0.16442,-0.0755395,0.503976,0.126943,1597.5,0.481418,0.153322,0,1
185.736,0.47936,0.103985,0,0,-3.07739,-2.87017,0.47936,0.103985,1590.58,0.52009,0.0586539,0,1
197.823,0.476162,0.090881,0,0,-0.264616,-1.08413,0.476162,0.090881,1584.22,0.521449,0.0639386,0,1
205.805,0.471447,0.0907481,0,0,-0.59064,-0.0166501,0.471447,0.0907481,1579.4,0.361703,0.11838,0,1
217.743,0.428496,0.0951182,0,0,-3.59783,0.366062,0.428496,0.0951182,1573.06,0.421622,0.137369,0,1
229.735,0.373244,0.11972,0,0,-4.60747,2.05152,0.373244,0.11972,1561.16,0.339246,0.0883999,0,1
237.734,0.367705,0.238807,0,0,-0.692406,14.8877,0.367705,0.238807,1543.96,0.283081,0.353045,0,1
249.737,0.383015,0.374899,0,0,1.27551,11.3382,0.383015,0.374899,1526.03,0.36717,0.440588,0,1
257.734,0.384191,0.380616,0,0,0.14702,0.714807,0.384191,0.380616,1511.43,0.4502,0.411216,0,1
269.74,0.395542,0.379936,0,0,0.945513,-0.0565851,0.395542,0.379936,1500.53,0.417669,0.461743,0,1
277.764,0.396752,0.385944,0,0,0.150746,0.748706,0.396752,0.385944,1491.16,0.392872,0.230398,0,1
289.798,0.394729,0.371245,0,0,-0.168086,-1.22147,0.394729,0.371245,1480.09,0.465404,0.25274,0,1
297.81,0.387238,0.371223,0,0,-0.935065,-0.00265477,0.387238,0.371223,1463.12,0.360741,0.361098,0,1
309.755,0.368125,0.374475,0,0,-1.60005,0.272217,0.368125,0.374475,1437.61,0.370188,0.3851,0,1
317.741,0.37168,0.411796,0,0,0.445135,4.67325,0.37168,0.411796,1405.23,0.362642,0.522825,0,1
329.751,0.375401,0.438191,0,0,0.309877,2.19779,0.375401,0.438191,1370.7,0.471622,0.468569,0,1
337.827,0.391071,0.439612,0,0,1.94023,0.175898,0.391071,0.439612,1338.99,0.36539,0.4026,0,1
349.746,0.432525,0.475377,0,0,3.47797,3.00071,0.432525,0.475377,1310.86,0.424239,0.325883,0,1
357.845,0.491317,0.518487,0,0,7.25915,5.32283,0.491317,0.518487,1280.09,0.498104,0.582013,0,1
369.741,0.955664,0.856992,0,0,39.0339,28.4554,0.955664,0.856992,1240.81,1.3365,1.04584,0,1
377.773,2.27563,2.18584,0,0,164.338,165.444,2.27563,2.18584,1196.98,3.21276,3.30326,0,1
389.76,3.41482,3.67939,0,0,95.0355,124.598,3.41482,3.67939,1158.72,4.12475,4.80158,0,1
397.804,3.87175,5.13361,0,0,56.8043,180.784,3.87175,5.13361,1131.86,4.32598,6.19494,0,1
409.745,4.04602,6.35591,0,0,14.5942,102.361,4.04602,6.35591,1114.83,4.1928,6.90852,0,1
417.718,4.08012,6.7571,0,0,4.27678,50.3186,4.08012,6.7571,1101.78,4.01226,7.05078,0,1
429.778,4.09417,6.97521,0,0,1.16469,18.0858,4.09417,6.97521,1087.19,4.09392,7.00445,0,1
437.733,4.03444,7.0354,0,0,-7.50826,7.56667,4.03444,7.0354,1069.51,3.98131,7.18402,0,1
449.737,3.99875,7.12207,0,0,-2.97313,7.21995,3.99875,7.12207,1050.2,4.05797,7.05757,0,1
457.713,3.97813,7.20343,0,0,-2.58493,10.2007,3.97813,7.20343,1031.7,3.96767,7.27929,0,1
469.773,3.96874,7.24733,0,0,-0.779035,3.6396,3.96874,7.24733,1015.66,3.96238,7.26848,0,1
481.821,3.97097,7.29057,0,0,0.185143,3.58884,3.97097,7.29057,1002.08,3.89186,7.35118,0,1
489.769,3.96199,7.34174,0,0,-1.12985,6.43861,3.96199,7.34174,990.663,3.94488,7.37482,0,1
501.751,3.95866,7.35528,0,0,-0.277834,1.12989,3.95866,7.35528,979.874,4.00657,7.43881,0,1
509.738,3.9436,7.35679,0,0,-1.88594,0.189337,3.9436,7.35679,966.903,3.87168,7.416,0,1
521.73,3.94652,7.35583,0,0,0.243621,-0.0797078,3.94652,7.35583,950.957,3.96083,7.3375,0,1
529.72,3.93295,7.33905,0,0,-1.6982,-2.10011,3.93295,7.33905,934.478,3.92777,7.33845,0,1
541.719,3.93158,7.32823,0,0,-0.114599,-0.901903,3.93158,7.32823,920.284,3.93366,7.29556,0,1
549.722,3.93118,7.32781,0,0,-0.0490794,-0.0524461,3.93118,7.32781,908.969,3.91662,7.30637,0,1
561.719,3.92321,7.33454,0,0,-0.664225,0.561149,3.92321,7.33454,899.009,3.9498,7.31614,0,1
569.716,3.9173,7.49636,0,0,-0.739465,20.2341,3.9173,7.49636,888.039,3.93731,7.64363,0,1
581.784,3.67969,8.00157,0,0,-19.6892,41.8637,3.67969,8.00157,875.213,3.42346,8.36818,0,1
589.739,3.43171,8.37879,0,0,-31.1723,47.4199,3.43171,8.37879,862.847,3.35304,8.53806,0,1
601.738,3.38471,8.43021,0,0,-3.91744,4.28492,3.38471,8.43021,853.945,3.34842,8.46202,0,1
609.733,3.3464,8.44716,0,0,-4.79191,2.12017,3.3464,8.44716,848.541,3.42229,8.41735,0,1
621.717,3.29944,8.45874,0,0,-3.91814,0.966787,3.29944,8.45874,844.422,3.1627,8.48417,0,1
629.726,3.22498,8.46489,0,0,-9.29774,0.76748,3.22498,8.46489,840.131,3.10261,8.44376,0,1
641.752,3.20921,8.48744,0,0,-1.31096,1.87501,3.20921,8.48744,835.428,3.19616,8.54587,0,1
649.782,3.2113,8.52276,0,0,0.26026,4.39853,3.2113,8.52276,830.296,3.04781,8.53129,0,1
661.718,3.21413,8.53948,0,0,0.23698,1.40093,3.21413,8.53948,824.86,3.26073,8.50546,0,1
669.702,3.25286,8.57308,0,0,4.85045,4.20808,3.25286,8.57308,819.987,3.28563,8.60235,0,1
681.81,3.28032,8.60144,0,0,2.2685,2.34244,3.28032,8.60144,816.825,3.28563,8.60235,2,1
689.746,3.28545,8.60236,0,0,0.645899,0.116237,3.28545,8.60236,815.477,3.28563,8.60235,2,1
701.726,3.28563,8.60235,0,0,0.0146758,-0.000955122,3.28563,8.60235,814.928,3.28563,8.60235,2,1
709.705,3.28563,8.60235,0,0,1.86794e-06,-1.22703e-07,3.28563,8.60235,813.636,3.28563,8.60235,1,1
721.713,3.28563,8.60235,0,0,0,0,3.28563,8.60235,809.551,3.28563,8.60235,1,1
733.705,3.28563,8.60235,0,0,0,0,3.28563,8.60235,801.397,3.28563,8.60235,1,1
741.708,3.28563,8.60235,0,0,0,0,3.28563,8.60235,791.055,3.28563,8.60235,1,1
753.695,3.28563,8.60235,0,0,0,0,3.28563,8.60235,782.147,3.28563,8.60235,1,1
761.698,3.28563,8.60235,0,0,0,0,3.28563,8.60235,776.114,3.28563,8.60235,1,1
773.712,3.05088,8.59362,0,0,-19.5394,-0.726938,3.05088,8.59362,772.133,3.28563,8.60235,1,1
781.798,-2.52255,8.41009,0,0,-689.269,-22.6967,-2.52255,8.41009,769.401,-8.27925,8.2244,0,1
793.738,-8.03229,8.2633,0,0,-461.452,-12.2946,-8.03229,8.2633,767.577,-8.21352,8.26722,0,1
801.733,-8.30337,8.23851,0,0,-33.9055,-3.10058,-8.30337,8.23851,766.252,-8.36574,8.30333,0,1
813.723,-8.38519,8.21905,0,0,-6.8242,-1.62288,-8.38519,8.21905,765.056,-8.45335,8.13672,0,1
821.739,-8.47296,8.1796,0,0,-10.949,-4.9209,-8.47296,8.1796,763.949,-8.56549,8.08635,0,1
833.737,-8.53351,8.12831,0,0,-5.0472,-4.27542,-8.53351,8.12831,762.984,-8.57448,8.15487,0,1
841.745,-8.57139,8.10634,0,0,-4.72966,-2.74308,-8.57139,8.10634,761.894,-8.51352,8.10091,0,1
853.726,-8.58951,8.09764,0,0,-1.51249,-0.725873,-8.58951,8.09764,760.102,-8.67284,8.11443,0,1
861.723,-8.62039,8.0838,0,0,-3.86209,-1.73129,-8.62039,8.0838,757.503,-8.61169,8.06208,0,1
873.722,-8.66993,8.01377,0,0,-4.12846,-5.83595,-8.66993,8.01377,755.048,-8.70105,7.95691,0,1
881.826,-8.67916,7.96438,0,0,-1.13843,-6.09518,-8.67916,7.96438,753.529,-8.79753,7.97326,0,1
893.756,-8.68006,7.95921,0,0,-0.0757567,-0.432799,-8.68006,7.95921,752.499,-8.69785,7.94091,0,1
901.734,-8.6824,7.95934,0,0,-0.293023,0.015571,-8.6824,7.95934,751.303,-8.61324,7.9602,0,1
