Resolution,1920,1080,Distance,58,Width,47.5,Subject,V010GDAURA,Test,TFIX-04302018-140746,Calibration,CC9-04302018-140717,Oscann, 4.0.12,libTracker, 1.0.13,crtime, 07112019-112545
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks,valid
0.0,-0.182294,0.159814,0.0,0.0,0.0,0.0,-0.182294,0.159814,5476.95,-0.180362,0.139951,0.0,1.0
11.666,-0.182294,0.159814,0.0,0.0,0.0,0.0,-0.182294,0.159814,5476.95,-0.186598,0.203748,0.0,1.0
18.387,-0.192658,0.269058,0.0,0.0,-1.54202,16.2541,-0.192658,0.269058,5476.95,-0.20201,0.367528,0.0,1.0
30.191,-0.201634,0.363577,0.0,0.0,-0.760368,8.00741,-0.201634,0.363577,5476.95,-0.20201,0.367528,1.0,1.0
43.135,-0.20201,0.367528,0.0,0.0,-0.0290499,0.305229,-0.20201,0.367528,5402.31,-0.20201,0.367528,1.0,1.0
51.144,-0.20201,0.367528,0.0,0.0,-3.98219e-06,4.18369e-05,-0.20201,0.367528,5139.82,-0.20201,0.367528,1.0,1.0
63.175,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,4607.94,-0.20201,0.367528,1.0,1.0
70.413,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3943.41,-0.20201,0.367528,1.0,1.0
82.186,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3431.36,-0.20201,0.367528,1.0,1.0
91.53,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3189.8,-0.20201,0.367528,1.0,1.0
102.744,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3121.84,-0.20201,0.367528,1.0,1.0
110.815,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3121.15,-0.20201,0.367528,1.0,1.0
122.799,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3187.49,-0.20201,0.367528,1.0,1.0
130.798,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3417.43,-0.20201,0.367528,1.0,1.0
142.47,-0.20201,0.367528,0.0,0.0,0.0,0.0,-0.20201,0.367528,3890.89,-0.20201,0.367528,1.0,1.0
151.239,-0.200966,0.367226,0.0,0.0,0.11902,-0.0345312,-0.200966,0.367226,4498.79,-0.20201,0.367528,1.0,1.0
162.632,-0.175433,0.36028,0.0,0.0,2.24112,-0.609606,-0.175433,0.36028,5000.56,-0.136735,-0.281116,0.0,1.0
171.023,-0.133013,0.358736,0.0,0.0,5.05541,-0.184047,-0.133013,0.358736,5287.57,-0.105505,0.136291,0.0,1.0
