Resolution,1920,1080,Distance,59,Width,47.8,Subject,V006GDAURA,Test,TASVV-04032017-131833,Calibration,CA9-04032017-131715,Oscann, 4.0.12,libTracker, 1.0.13,crtime, 07112019-112538
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks,valid
10.0,-0.048292,-1.82877095220979,0.0,0.0,0.0,0.0,-0.048292,-0.361281,3699.17,-0.0482275,-0.364909,0.0,1.0
20.0,-0.048292,-1.82877095220979,0.0,0.0,0.0,0.0,-0.048292,-0.361281,3699.17,-0.126139,-0.288452,0.0,1.0
30.0,-0.0482382,-1.82836495220979,0.0,0.0,0.00537932,0.0405705,-0.0482382,-0.360875,3699.17,-0.0562847,-0.382187,0.0,1.0
40.0,-0.0471878,-1.82365495220979,0.0,0.0,0.105036,0.471069,-0.0471878,-0.356165,3699.17,-0.0340026,-0.34955,0.0,1.0
50.0,-0.0490466,-1.82380695220979,0.0,0.0,-0.185874,-0.0152519,-0.0490466,-0.356317,3704.08,-0.0208533,-0.390687,0.0,1.0
60.0,-0.0490034,-1.83213395220979,0.0,0.0,0.00432188,-0.832685,-0.0490034,-0.364644,3704.66,-0.0593764,-0.24232,0.0,1.0
70.0,-0.0489844,-1.83970095220979,0.0,0.0,0.00189196,-0.75671,-0.0489844,-0.372211,3706.12,-0.11713,-0.359975,0.0,1.0
80.0,-0.0488443,-1.8488479522097898,0.0,0.0,0.0140181,-0.914689,-0.0488443,-0.381358,3708.33,-0.0886883,-0.384672,0.0,1.0
90.0,-0.0482999,-1.85696195220979,0.0,0.0,0.0544381,-0.811458,-0.0482999,-0.389472,3710.74,0.016208,-0.459798,0.0,1.0
100.0,-0.0382683,-1.89237495220979,0.0,0.0,1.00316,-3.54128,-0.0382683,-0.424885,3713.02,-0.015595,-0.404255,0.0,1.0
110.0,-0.0374246,-1.91944895220979,0.0,0.0,0.0843724,-2.70738,-0.0374246,-0.451959,3714.66,-0.0237021,-0.446132,0.0,1.0
120.0,-0.03773,-1.9194499522097899,0.0,0.0,-0.0305477,-0.000118413,-0.03773,-0.45196,3715.4,0.00339224,-0.495235,0.0,1.0
130.0,-0.0464735,-1.89342095220979,0.0,0.0,-0.874345,2.6029,-0.0464735,-0.425931,3715.56,-0.0658233,-0.486623,0.0,1.0
140.0,-0.0788505,-1.88063295220979,0.0,0.0,-3.2377,1.27877,-0.0788505,-0.413143,3715.47,-0.103434,-0.380841,0.0,1.0
150.0,-0.0916866,-1.8600699522097899,0.0,0.0,-1.28361,2.05635,-0.0916866,-0.39258,3715.17,-0.0855732,-0.373665,0.0,1.0
160.0,-0.09589,-1.85205595220979,0.0,0.0,-0.420342,0.801387,-0.09589,-0.384566,3714.53,-0.101403,-0.328665,0.0,1.0
170.0,-0.098847,-1.84668495220979,0.0,0.0,-0.295694,0.537119,-0.098847,-0.379195,3713.59,-0.0969458,-0.403245,0.0,1.0
180.0,-0.0992135,-1.84391895220979,0.0,0.0,-0.0366476,0.276593,-0.0992135,-0.376429,3712.67,-0.0717563,-0.388064,0.0,1.0
190.0,-0.10421,-1.82077795220979,0.0,0.0,-0.499658,2.31407,-0.10421,-0.353288,3711.94,-0.122387,-0.276157,0.0,1.0
200.0,-0.105401,-1.76674195220979,0.0,0.0,-0.119129,5.40367,-0.105401,-0.299252,3711.38,-0.125894,-0.248164,0.0,1.0
210.0,-0.108675,-1.76031695220979,0.0,0.0,-0.32735,0.64246,-0.108675,-0.292827,3710.94,-0.166046,-0.244212,0.0,1.0
220.0,-0.108569,-1.76013595220979,0.0,0.0,0.0105566,0.0181154,-0.108569,-0.292646,3710.63,-0.0905085,-0.213573,0.0,1.0
230.0,-0.10254,-1.76178495220979,0.0,0.0,0.602879,-0.164963,-0.10254,-0.294295,3710.47,-0.105508,-0.402411,0.0,1.0
240.0,-0.0931423,-1.80057895220979,0.0,0.0,0.939822,-3.87935,-0.0931423,-0.333089,3710.42,-0.104695,-0.440367,0.0,1.0
250.0,-0.0853457,-1.82078695220979,0.0,0.0,0.779654,-2.02077,-0.0853457,-0.353297,3710.37,-0.0606035,-0.344687,0.0,1.0
260.0,-0.0684686,-1.83509895220979,0.0,0.0,1.68771,-1.43123,-0.0684686,-0.367609,3710.29,-0.00440022,-0.322493,0.0,1.0
270.0,-0.0675946,-1.8449149522097898,0.0,0.0,0.0874054,-0.981573,-0.0675946,-0.377425,3710.11,-0.0201545,-0.379471,0.0,1.0
280.0,-0.0667389,-1.87281695220979,0.0,0.0,0.085562,-2.79029,-0.0667389,-0.405327,3709.51,-0.0871386,-0.511726,0.0,1.0
290.0,-0.0578975,-1.8739979522097898,0.0,0.0,0.884142,-0.118009,-0.0578975,-0.406508,3707.91,-0.0831277,-0.459711,0.0,1.0
300.0,-0.0727551,-1.8734959522097898,0.0,0.0,-1.48576,0.050158,-0.0727551,-0.406006,3705.11,-0.0867987,-0.407308,0.0,1.0
310.0,-0.0855343,-1.85807995220979,0.0,0.0,-1.27792,1.54156,-0.0855343,-0.39059,3701.17,-0.0635452,-0.297279,0.0,1.0
320.0,-0.0971723,-1.79222095220979,0.0,0.0,-1.1638,6.58591,-0.0971723,-0.324731,3695.93,-0.123413,-0.252678,0.0,1.0
330.0,-0.118821,-1.78942595220979,0.0,0.0,-2.16485,0.279506,-0.118821,-0.321936,3689.84,-0.190281,-0.291686,0.0,1.0
340.0,-0.11975,-1.78956795220979,0.0,0.0,-0.0929311,-0.0142237,-0.11975,-0.322078,3683.4,-0.177662,-0.243821,0.0,1.0
350.0,-0.119398,-1.79427295220979,0.0,0.0,0.0352393,-0.4705,-0.119398,-0.326783,3676.67,-0.0914987,-0.35924,0.0,1.0
360.0,-0.111298,-1.8294359522097898,0.0,0.0,0.809989,-3.51623,-0.111298,-0.361946,3670.76,-0.0892026,-0.421766,0.0,1.0
370.0,-0.0835151,-1.8326609522097899,0.0,0.0,2.77827,-0.322473,-0.0835151,-0.365171,3666.89,-0.0289031,-0.380796,0.0,1.0
380.0,-0.0805073,-1.8327719522097898,0.0,0.0,0.300775,-0.0111561,-0.0805073,-0.365282,3664.81,-0.0580494,-0.353733,0.0,1.0
390.0,-0.0667712,-1.83371495220979,0.0,0.0,1.37361,-0.0942808,-0.0667712,-0.366225,3663.85,-0.0598025,-0.298343,0.0,1.0
400.0,-0.0623492,-1.83374295220979,0.0,0.0,0.442204,-0.00279405,-0.0623492,-0.366253,3663.56,-0.0880045,-0.372379,0.0,1.0
410.0,-0.0621667,-1.83464295220979,0.0,0.0,0.0182475,-0.0900631,-0.0621667,-0.367153,3663.45,-0.0432951,-0.357992,0.0,1.0
420.0,-0.0618229,-1.8551739522097899,0.0,0.0,0.034378,-2.05306,-0.0618229,-0.387684,3663.13,-0.0262292,-0.508286,0.0,1.0
430.0,-0.061036,-1.8575139522097899,0.0,0.0,0.0786896,-0.234021,-0.061036,-0.390024,3662.14,-0.0954922,-0.412082,0.0,1.0
440.0,-0.0541868,-1.88129695220979,0.0,0.0,0.68492,-2.37826,-0.0541868,-0.413807,3660.38,-0.00924348,-0.417605,0.0,1.0
450.0,-0.0608176,-1.8813499522097898,0.0,0.0,-0.663076,-0.0053494,-0.0608176,-0.41386,3658.08,-0.0828425,-0.366109,0.0,1.0
460.0,-0.0655224,-1.85735895220979,0.0,0.0,-0.47048,2.39908,-0.0655224,-0.389869,3655.59,-0.0312708,-0.452846,0.0,1.0
470.0,-0.0669926,-1.8355569522097899,0.0,0.0,-0.147024,2.18021,-0.0669926,-0.368067,3653.41,-0.0668062,-0.312808,0.0,1.0
480.0,-0.0887186,-1.83350495220979,0.0,0.0,-2.1726,0.20525,-0.0887186,-0.366015,3651.69,-0.104736,-0.367694,0.0,1.0
490.0,-0.0917851,-1.82057595220979,0.0,0.0,-0.306654,1.2929,-0.0917851,-0.353086,3650.3,-0.104708,-0.383433,0.0,1.0
500.0,-0.0927895,-1.79582495220979,0.0,0.0,-0.100439,2.47511,-0.0927895,-0.328335,3648.92,-0.152132,-0.265489,0.0,1.0
