Resolution,1920,1080,Distance,1,Width,1,Subject,V003GDAURA,Test,TSMV-12202016-133348,Calibration,CC9-12202016-133142,Oscann, 4.0.12,libTracker, 1.0.13,crtime, 07112019-112536
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks,valid
10,0.212118,0.375382,0,0,0,0,0.212118,0.375382,6246.55,0.212383,0.382158,0,1
20,0.212118,0.375382,0,0,0,0,0.212118,0.375382,6246.55,0.140713,0.449895,0,1
30,0.212127,0.375382,0,0,0.000920047,-1.6109e-05,0.212127,0.375382,6246.55,0.240968,0.404673,0,1
40,0.212193,0.375381,0,0,0.00658409,-0.00011528,0.212193,0.375381,6246.55,0.193189,0.359908,0,1
50,0.215919,0.373515,0,0,0.372659,-0.186608,0.215919,0.373515,6251,0.21732,0.426396,0,1
60,0.270172,0.355447,0,0,5.42528,-1.80677,0.270172,0.355447,6247.9,0.322557,0.287327,0,1
70,0.331879,0.328268,0,0,6.17067,-2.71789,0.331879,0.328268,6245.99,0.526045,0.416404,0,1
80,0.376692,0.302559,0,0,4.48127,-2.5709,0.376692,0.302559,6245.13,0.356964,0.291414,0,1
90,0.44111,0.284775,0,0,6.44188,-1.77843,0.44111,0.284775,6245.03,0.462447,0.235025,0,1
100,0.468509,0.273137,0,0,2.73985,-1.16379,0.468509,0.273137,6245.31,0.483502,0.231249,0,1
110,0.469216,0.262784,0,0,0.0707624,-1.03535,0.469216,0.262784,6245.4,0.563157,0.256728,0,1
120,0.468122,0.252033,0,0,-0.109435,-1.07503,0.468122,0.252033,6245.06,0.444487,0.277106,0,1
130,0.451999,0.242073,0,0,-1.61227,-0.996086,0.451999,0.242073,6244.62,0.424346,0.230148,0,1
140,0.446714,0.234424,0,0,-0.528556,-0.764901,0.446714,0.234424,6244.39,0.402492,0.223711,0,1
150,0.446369,0.230362,0,0,-0.0344777,-0.406184,0.446369,0.230362,6244.36,0.501722,0.291889,0,1
160,0.446317,0.229007,0,0,-0.00518547,-0.135516,0.446317,0.229007,6244.43,0.451331,0.168312,0,1
