Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,TSMH-03022018-115340,Calibration,CC9-03022018-115306,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124240
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0.0,0.10555518874941883,1.07196,0.0,0.0,0.0,0.0,1.43576,1.07196,2538.46,1.25778,1.27149,0.0
5.299,0.10555518874941883,1.07196,0.0,0.0,0.0,0.0,1.43576,1.07196,2538.46,1.47397,1.18931,0.0
16.991,0.10555518874941883,1.07196,0.0,0.0,0.0,0.0,1.43576,1.07196,2538.46,1.52705,1.04938,0.0
25.15,0.10555518874941883,1.07196,0.0,0.0,0.0,0.0,1.43576,1.07196,2538.46,1.41163,1.04895,0.0
37.032,0.11060518874941883,1.02349,0.0,0.0,0.424603,-4.07972,1.44081,1.02349,2537.76,1.49391,0.958513,0.0
45.015,0.12115518874941889,0.974206,0.0,0.0,1.32194,-6.17352,1.45136,0.974206,2534.34,1.53265,0.871438,0.0
57.04,0.132865188749419,0.945768,0.0,0.0,0.973597,-2.36491,1.46307,0.945768,2532.25,1.39911,0.826948,0.0
65.111,0.14675518874941895,0.929076,0.0,0.0,1.72086,-2.06822,1.47696,0.929076,2531.07,1.41522,0.826105,0.0
77.14,0.16241518874941896,0.915251,0.0,0.0,1.30194,-1.14926,1.49262,0.915251,2530.19,1.46601,1.18548,0.0
85.147,0.1836251887494189,0.903035,0.0,0.0,2.6492,-1.52562,1.51383,0.903035,2529.38,1.65047,0.918786,0.0
97.027,0.2164651887494189,0.894273,0.0,0.0,2.76427,-0.737543,1.54667,0.894273,2528.79,1.70829,0.903282,0.0
105.064,0.2578851887494189,0.889039,0.0,0.0,5.15312,-0.651315,1.58809,0.889039,2528.82,1.6612,0.810895,0.0
117.008,0.293795188749419,0.887101,0.0,0.0,3.00686,-0.162225,1.624,0.887101,2530.11,1.48081,0.781688,0.0
125.111,0.314365188749419,0.888804,0.0,0.0,2.53819,0.21009,1.64457,0.888804,2533.85,1.5878,0.649915,0.0
137.032,0.32222518874941897,0.893596,0.0,0.0,0.659863,0.402056,1.65243,0.893596,2540.16,1.57356,1.18993,0.0
145.002,0.3241651887494188,0.901973,0.0,0.0,0.243236,1.05099,1.65437,0.901973,2546.76,1.77945,0.827218,0.0
157.044,0.323785188749419,0.918973,0.0,0.0,-0.0312277,1.41172,1.65399,0.918973,2551.51,1.75504,0.839941,0.0
165.055,0.321825188749419,0.945295,0.0,0.0,-0.245879,3.28572,1.65203,0.945295,2554.38,1.68875,0.912341,0.0
177.016,0.31717518874941897,0.97003,0.0,0.0,-0.388544,2.06796,1.64738,0.97003,2556.2,1.46624,1.11281,0.0
185.175,0.30961518874941896,0.983616,0.0,0.0,-0.926549,1.66515,1.63982,0.983616,2557.73,1.62617,1.00484,0.0
197.091,0.302535188749419,0.987626,0.0,0.0,-0.593622,0.336536,1.63274,0.987626,2560.01,1.56964,1.08045,0.0
209.02,0.298845188749419,0.987804,0.0,0.0,-0.310042,0.0149804,1.62905,0.987804,2564.31,1.69457,0.978678,0.0
217.029,0.2976951887494188,0.986246,0.0,0.0,-0.143181,-0.194578,1.6279,0.986246,2571.03,1.62168,0.989055,0.0
229.054,0.2973351887494189,0.980836,0.0,0.0,-0.0302591,-0.449869,1.62754,0.980836,2578.9,1.49354,1.27007,0.0
237.062,0.29722518874941883,0.968943,0.0,0.0,-0.0131277,-1.48519,1.62743,0.968943,2586.6,1.61867,0.860484,0.0
249.028,0.2977951887494188,0.951606,0.0,0.0,0.0476721,-1.44889,1.628,0.951606,2593.64,1.69379,0.930139,0.0
257.056,0.3002151887494189,0.931947,0.0,0.0,0.300762,-2.44869,1.63042,0.931947,2599.3,1.71087,0.885956,0.0
269.021,0.3080451887494189,0.910502,0.0,0.0,0.65521,-1.79238,1.63825,0.910502,2603.53,1.61831,0.890156,0.0
276.999,0.32847518874941883,0.883281,0.0,0.0,2.55957,-3.41193,1.65868,0.883281,2607.47,1.61591,0.826038,0.0
