Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01078,Test,TOPTHR-07172018-103524,Calibration,CC9-07172018-103441,Oscann, 4.0.11,libTracker, 1.0.9,crtime, 12082018-124253
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-0.35168,-0.235429,0,0,0,0,-0.35168,-0.235429,2644.18,-0.360484,-0.289862,0
5.537,-0.35168,-0.235429,0,0,0,0,-0.35168,-0.235429,2644.18,-0.329429,-0.116313,0
19.32,-0.327386,-0.235577,0,0,1.76255,-0.0107258,-0.327386,-0.235577,2644.18,-0.284409,-0.202407,0
25.363,-0.306235,-0.235705,0,0,3.50018,-0.0211919,-0.306235,-0.235705,2644.18,-0.274638,-0.180424,0
39.809,-0.301539,-0.214595,0,0,0.325072,1.46132,-0.301539,-0.214595,2643.01,-0.292316,-0.30644,0
45.272,-0.293846,-0.195843,0,0,1.40823,3.4325,-0.293846,-0.195843,2637.9,-0.380431,-0.240039,0
58.112,-0.279217,-0.184027,0,0,1.13927,0.920267,-0.279217,-0.184027,2632.42,-0.314685,-0.270431,0
68.902,-0.230845,-0.174377,0,0,4.48308,0.894391,-0.230845,-0.174377,2626.76,-0.130331,-0.113451,0
77.215,-0.179545,-0.163898,0,0,6.17112,1.2605,-0.179545,-0.163898,2621.2,-0.146895,-0.0960234,0
86.023,-0.166643,-0.154287,0,0,1.46474,1.09122,-0.166643,-0.154287,2616.19,-0.202725,-0.188797,0
98.446,-0.154038,-0.147189,0,0,1.01466,0.571357,-0.154038,-0.147189,2611.9,-0.205914,0.00358745,0
107.837,-0.161129,-0.143125,0,0,-0.75513,0.432722,-0.161129,-0.143125,2608.22,-0.156667,-0.0809869,0
118.615,-0.169131,-0.141901,0,0,-0.742391,0.113546,-0.169131,-0.141901,2605.22,-0.0194279,-0.13262,0
125.315,-0.170378,-0.14276,0,0,-0.186158,-0.128245,-0.170378,-0.14276,2602.91,-0.165108,-0.185497,0
139.549,-0.170506,-0.146466,0,0,-0.00895204,-0.260363,-0.170506,-0.146466,2601.19,-0.203363,-0.128272,0
147.04,-0.170776,-0.153758,0,0,-0.0360606,-0.973425,-0.170776,-0.153758,2599.95,-0.191333,-0.222952,0
159.362,-0.173185,-0.162898,0,0,-0.195492,-0.741708,-0.173185,-0.162898,2598.9,-0.18298,-0.18539,0
165.732,-0.172796,-0.17067,0,0,0.0610123,-1.22017,-0.172796,-0.17067,2597.3,-0.0198308,-0.1749,0
