Resolution,1920,1080,Distance,60,Width,48,Subject,alejandro,Test,TOPTHR-09252019-123440,Calibration,CC9-09252019-123400,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-0.920844,-0.148545,0,0,0,0,-0.920844,-0.148545,4380.06,-0.926634,-0.157585,0
11.858,-0.920844,-0.148545,0,0,0,0,-0.920844,-0.148545,4380.06,-0.891195,-0.120736,0
19.587,-0.906504,-0.139409,0,0,1.85545,1.18194,-0.906504,-0.139409,4380.06,-0.906746,-0.0679451,0
30.4,-0.889108,-0.137866,0,0,1.60875,0.142773,-0.889108,-0.137866,4380.06,-0.870169,-0.201775,0
38.627,-0.864504,-0.127134,0,0,2.99066,1.30446,-0.864504,-0.127134,4399.87,-0.82021,-0.0985346,0
50.757,-0.862779,-0.124156,0,0,0.142229,0.245464,-0.862779,-0.124156,4412.35,-0.844059,-0.154508,0
59.279,-0.845239,-0.117398,0,0,2.05822,0.793025,-0.845239,-0.117398,4423.24,-0.844956,-0.0800021,0
71.018,-0.834325,-0.116657,0,0,0.929647,0.0631585,-0.834325,-0.116657,4435.41,-0.887675,-0.133384,0
78.956,-0.833253,-0.116233,0,0,0.135071,0.0533903,-0.833253,-0.116233,4450.6,-0.802757,-0.116824,0
90.407,-0.819037,-0.106349,0,0,1.24145,0.863156,-0.819037,-0.106349,4467.15,-0.800535,-0.0757588,0
98.957,-0.818975,-0.0896618,0,0,0.00725047,1.95172,-0.818975,-0.0896618,4481.17,-0.746665,-0.0770668,0
111.147,-0.818998,-0.0749191,0,0,-0.00189026,1.20941,-0.818998,-0.0749191,4490.72,-0.848529,-0.0576912,0
119.151,-0.807697,-0.0738007,0,0,1.41194,0.13972,-0.807697,-0.0738007,4497.79,-0.823844,-0.195743,0
130.488,-0.801269,-0.074228,0,0,0.56699,-0.0376894,-0.801269,-0.074228,4505.1,-0.828168,-0.0547987,0
138.416,-0.799822,-0.0912605,0,0,0.182553,-2.1484,-0.799822,-0.0912605,4513.08,-0.783979,-0.181168,0
150.993,-0.785527,-0.11152,0,0,1.13664,-1.61082,-0.785527,-0.11152,4520.93,-0.763947,-0.112258,0
159.031,-0.784864,-0.113399,0,0,0.0824192,-0.23382,-0.784864,-0.113399,4528.14,-0.748771,-0.113293,0
170.988,-0.785227,-0.114439,0,0,-0.0303566,-0.0869843,-0.785227,-0.114439,4534.17,-0.802944,-0.111426,0
178.831,-0.79474,-0.114878,0,0,-1.21293,-0.0559481,-0.79474,-0.114878,4538.46,-0.851631,-0.186722,0
190.817,-0.805235,-0.115407,0,0,-0.87561,-0.0441018,-0.805235,-0.115407,4541.38,-0.76613,-0.0978447,0
199.909,-0.805113,-0.131733,0,0,0.0134121,-1.79571,-0.805113,-0.131733,4544.12,-0.806707,-0.188721,0
210.979,-0.803324,-0.16703,0,0,0.161655,-3.1885,-0.803324,-0.16703,4547.22,-0.805483,-0.11097,0
218.507,-0.789634,-0.173761,0,0,1.81849,-0.894089,-0.789634,-0.173761,4550.58,-0.76881,-0.262226,0
230.413,-0.77444,-0.172775,0,0,1.27615,0.0828127,-0.77444,-0.172775,4554.32,-0.778652,-0.221363,0
238.324,-0.768972,-0.159868,0,0,0.691211,1.63151,-0.768972,-0.159868,4558.36,-0.69625,-0.155928,0
250.791,-0.768385,-0.165668,0,0,0.0470894,-0.465201,-0.768385,-0.165668,4562.24,-0.766259,-0.118336,0
263.364,-0.764579,-0.16245,0,0,0.302727,0.255897,-0.764579,-0.16245,4566.21,-0.765425,-0.158427,0
