Resolution,1920,1080,Distance,60,Width,48,Subject,Jisseth,Test,TASVH-08292019-114754,Calibration,CC9-08292019-114728,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.404439,-0.0660596,0,0,0,0,0.404439,-0.0660596,11286.3,0.425431,-0.0650499,0
8.025,0.404439,-0.0660596,0,0,0,0,0.404439,-0.0660596,11286.3,0.326138,-0.12816,0
20.184,0.404063,-0.0584814,0,0,-0.0309046,0.623257,0.404063,-0.0584814,11286.3,0.358578,-0.0362725,0
29.061,0.404047,-0.0581495,0,0,-0.00185462,0.03739,0.404047,-0.0581495,11286.3,0.432333,-0.0220239,0
39.514,0.407492,-0.0572257,0,0,0.329541,0.0883844,0.407492,-0.0572257,11304.7,0.34989,-0.0326956,0
48.148,0.405242,-0.0408483,0,0,-0.260533,1.89685,0.405242,-0.0408483,11308.9,0.438505,-0.1519,0
60.156,0.407232,-0.0312627,0,0,0.165689,0.798271,0.407232,-0.0312627,11311.9,0.426257,-0.103197,0
69.063,0.412507,-0.0476299,0,0,0.592286,-1.83757,0.412507,-0.0476299,11313.7,0.34711,-0.0034717,0
80.079,0.416531,-0.0644162,0,0,0.365216,-1.52381,0.416531,-0.0644162,11315.3,0.410593,0.0139759,0
88.053,0.416232,-0.0422387,0,0,-0.0374143,2.78123,0.416232,-0.0422387,11317.3,0.377731,-0.138672,0
100.709,0.41535,-0.0276095,0,0,-0.0697122,1.15591,0.41535,-0.0276095,11320.2,0.388296,-0.0778243,0
109.751,0.415372,-0.027006,0,0,0.0024465,0.0667451,0.415372,-0.027006,11325.2,0.479511,-0.0135573,0
120.121,0.415942,-0.0263459,0,0,0.0549129,0.0636523,0.415942,-0.0263459,11332.1,0.5149,0.017802,0
128.129,0.416303,-0.0116112,0,0,0.045106,1.84,0.416303,-0.0116112,11339.6,0.444798,-0.0533896,0
140.115,0.416759,0.000827331,0,0,0.0380324,1.03775,0.416759,0.000827331,11345.8,0.384203,0.00462488,0
152.098,0.416028,0.00804011,0,0,-0.0609546,0.601918,0.416028,0.00804011,11350.1,0.436122,0.0139334,0
160.055,0.411886,0.0095349,0,0,-0.520606,0.187858,0.411886,0.0095349,11353.1,0.370071,0.00538625,0
171.534,0.403575,0.0109037,0,0,-0.723989,0.119247,0.403575,0.0109037,11355.2,0.414695,0.00104591,0
179.768,0.393604,0.0151225,0,0,-1.21094,0.51236,0.393604,0.0151225,11356.8,0.375742,0.0834855,0
191.546,0.385011,0.0256936,0,0,-0.729625,0.897532,0.385011,0.0256936,11358.4,0.47632,0.0236096,0
200.073,0.379405,0.0258215,0,0,-0.657453,0.0149905,0.379405,0.0258215,11359.9,0.428801,0.0857243,0
212.692,0.375106,0.0250412,0,0,-0.340621,-0.0618303,0.375106,0.0250412,11361.6,0.354771,-0.0345878,0
220.87,0.371567,0.0129805,0,0,-0.43275,-1.47478,0.371567,0.0129805,11364.6,0.244323,0.0422933,0
231.478,0.367732,0.00685123,0,0,-0.361543,-0.577796,0.367732,0.00685123,11369.1,0.384172,-0.0536266,0
240.02,0.363909,-0.00118272,0,0,-0.447525,-0.940523,0.363909,-0.00118272,11374,0.320062,-0.0211009,0
251.501,0.359319,-0.004576,0,0,-0.399795,-0.295556,0.359319,-0.004576,11378.3,0.310132,0.00217952,0
259.468,0.35459,-0.00471448,0,0,-0.593628,-0.0173816,0.35459,-0.00471448,11381.1,0.416505,-0.0032364,0
271.639,0.350561,0.00260249,0,0,-0.331024,0.60118,0.350561,0.00260249,11381.8,0.350142,-0.0109744,0
279.569,0.346576,0.0308979,0,0,-0.502491,3.56815,0.346576,0.0308979,11379.8,0.40905,0.0660762,0
292.084,0.343422,0.0574278,0,0,-0.252062,2.11985,0.343422,0.0574278,11374.6,0.485876,0.0662475,0
299.925,0.34149,0.0614667,0,0,-0.246299,0.515095,0.34149,0.0614667,11367.1,0.283699,-0.0225508,0
311.605,0.337037,0.0830353,0,0,-0.381244,1.84662,0.337037,0.0830353,11360.4,0.335924,0.103509,0
319.91,0.327983,0.115385,0,0,-1.09024,3.89526,0.327983,0.115385,11356.8,0.286067,0.228075,0
332.037,0.315794,0.138464,0,0,-1.00513,1.90308,0.315794,0.138464,11355.7,0.336577,0.101078,0
340.177,0.305562,0.149077,0,0,-1.25702,1.30385,0.305562,0.149077,11355.1,0.236647,0.148375,0
351.482,0.300938,0.148788,0,0,-0.408953,-0.0256228,0.300938,0.148788,11354.3,0.248092,0.142774,0
360.04,0.301562,0.138091,0,0,0.072831,-1.24994,0.301562,0.138091,11353.3,0.23874,0.149055,0
372.137,0.30608,0.125504,0,0,0.373513,-1.04045,0.30608,0.125504,11352.1,0.295137,0.0149773,0
380.179,0.314229,0.0744808,0,0,1.01335,-6.34465,0.314229,0.0744808,11350.6,0.365127,0.0671616,0
391.565,0.319835,0.0462522,0,0,0.492297,-2.47924,0.319835,0.0462522,11349,0.33533,-0.00723199,0
404.137,0.322272,0.0452453,0,0,0.19383,-0.0800903,0.322272,0.0452453,11347.4,0.377117,0.0453889,0
412.062,0.323463,0.0482626,0,0,0.150404,0.38074,0.323463,0.0482626,11345.7,0.382884,0.0523442,0
424.163,0.320596,0.117703,0,0,-0.237002,5.73836,0.320596,0.117703,11344.1,0.391972,0.21496,0
432.068,0.317631,0.180728,0,0,-0.375077,7.97289,0.317631,0.180728,11342.3,0.314522,0.222447,0
443.54,0.31754,0.183393,0,0,-0.00789901,0.232268,0.31754,0.183393,11339.5,0.319568,0.16455,0
452.16,0.31748,0.183858,0,0,-0.00693685,0.0539744,0.31748,0.183858,11335.3,0.306587,0.147809,0
464.05,0.31741,0.182931,0,0,-0.00587685,-0.0779915,0.31741,0.182931,11331.1,0.271699,0.191481,0
471.679,0.317422,0.180056,0,0,0.00157108,-0.376848,0.317422,0.180056,11328.5,0.196333,0.167825,0
483.591,0.317422,0.180056,0,0,1.28867e-08,-2.55839e-07,0.317422,0.180056,11326.8,0.345796,0.187342,0
492.101,0.317336,0.184213,0,0,-0.0101398,0.488459,0.317336,0.184213,11325.5,0.330772,0.174316,0
504.115,0.315868,0.214344,0,0,-0.12217,2.50806,0.315868,0.214344,11324.5,0.331825,0.279541,0
