Resolution,1920,1080,Distance,60,Width,48,Subject,Mario,Test,TSVH-08292019-121112,Calibration,CC9-08292019-121013,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.553255,0.22507,0,0,0,0,0.553255,0.22507,10139.2,0.575401,0.0651695,0
10.541,0.553255,0.22507,0,0,0,0,0.553255,0.22507,10139.2,0.604765,0.141064,0
19.803,0.553255,0.22507,0,0,0,0,0.553255,0.22507,10139.2,0.61469,0.127203,0
28.223,0.553255,0.22507,0,0,0,0,0.553255,0.22507,10139.2,0.616273,0.354762,0
37.63,0.56393,0.301287,0,0,1.13477,8.1022,0.56393,0.301287,10172,0.555132,0.372873,0
46.38,0.566744,0.34119,0,0,0.321577,4.56028,0.566744,0.34119,10193.4,0.597765,0.330324,0
58.29,0.573284,0.354497,0,0,0.549165,1.11731,0.573284,0.354497,10213.7,0.581383,0.380759,0
65.839,0.57907,0.357487,0,0,0.766416,0.396096,0.57907,0.357487,10230.5,0.457871,0.358607,0
77.741,0.582611,0.357408,0,0,0.297535,-0.00666867,0.582611,0.357408,10243.9,0.511392,0.363335,0
86.324,0.585111,0.355049,0,0,0.291209,-0.274743,0.585111,0.355049,10256.2,0.614548,0.343405,0
97.788,0.587124,0.350484,0,0,0.175611,-0.398268,0.587124,0.350484,10269.9,0.606514,0.268902,0
105.988,0.588156,0.345297,0,0,0.125845,-0.632536,0.588156,0.345297,10285.1,0.602752,0.385298,0
118.318,0.588969,0.340815,0,0,0.0659567,-0.363501,0.588969,0.340815,10300.5,0.554349,0.268164,0
126.374,0.590991,0.336759,0,0,0.251022,-0.503492,0.590991,0.336759,10315.1,0.579424,0.33799,0
137.642,0.593948,0.332468,0,0,0.262352,-0.380769,0.593948,0.332468,10329.1,0.647395,0.351001,0
146.305,0.59728,0.327329,0,0,0.384668,-0.593195,0.59728,0.327329,10343.4,0.618148,0.330565,0
158.32,0.601186,0.320838,0,0,0.325054,-0.540316,0.601186,0.320838,10356.9,0.57463,0.27711,0
169.759,0.605493,0.313792,0,0,0.376564,-0.615936,0.605493,0.313792,10368.6,0.486412,0.280968,0
177.575,0.609099,0.305886,0,0,0.461379,-1.01155,0.609099,0.305886,10379.2,0.702764,0.343042,0
189.789,0.610397,0.292639,0,0,0.106245,-1.08451,0.610397,0.292639,10391,0.51914,0.293778,0
198.337,0.608718,0.268376,0,0,-0.196405,-2.83844,0.608718,0.268376,10404.8,0.655989,0.276307,0
210.309,0.605368,0.233145,0,0,-0.279824,-2.9428,0.605368,0.233145,10419.7,0.698237,0.17059,0
218.294,0.601894,0.196632,0,0,-0.435067,-4.57276,0.601894,0.196632,10434.5,0.71104,0.181821,0
229.754,0.598198,0.16935,0,0,-0.322522,-2.38063,0.598198,0.16935,10449.1,0.59391,0.229098,0
238.387,0.594544,0.152667,0,0,-0.423234,-1.93243,0.594544,0.152667,10462.6,0.591105,0.135317,0
250.013,0.591187,0.140919,0,0,-0.288757,-1.01046,0.591187,0.140919,10474.5,0.550717,0.0965224,0
258.613,0.587419,0.129584,0,0,-0.438088,-1.31802,0.587419,0.129584,10485.7,0.726906,0.0211199,0
270.376,0.58372,0.119527,0,0,-0.31447,-0.854981,0.58372,0.119527,10496.2,0.619366,0.0538064,0
278.298,0.581145,0.112441,0,0,-0.325112,-0.894536,0.581145,0.112441,10504.5,0.542681,0.0370178,0
289.75,0.579009,0.107278,0,0,-0.186511,-0.450818,0.579009,0.107278,10510.6,0.476044,0.159822,0
298.548,0.576895,0.102039,0,0,-0.240239,-0.595458,0.576895,0.102039,10517.4,0.558259,0.11238,0
