Resolution,1920,1080,Distance,60,Width,48,Subject,Oscar,Test,CC9-09162019-123332,Calibration,CC9-09162019-123332,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-21.3727,11.8988,-21.3886,12.2251,0,0,0.0158836,-0.326273,8852.93,-21.3573,11.8976,0
13.186,-21.3727,11.8988,-21.3886,12.2251,0,0,0.0158836,-0.326273,8852.93,-21.444,11.9565,0
22.194,-21.374,11.8991,-21.3886,12.2251,-0.134781,0.0252955,0.0146695,-0.326045,8852.93,-21.3688,11.8402,0
30.57,-21.3855,11.9021,-21.3886,12.2251,-1.3783,0.363248,0.00312488,-0.323002,8852.93,-21.4102,11.9569,0
38.769,-21.3863,11.9138,-21.3886,12.2251,-0.0990903,1.43004,0.00231244,-0.311277,8872.86,-21.34,11.8459,0
50.657,-21.386,11.9017,-21.3886,12.2251,0.0268748,-1.02054,0.00263193,-0.32341,8883.85,-21.3547,11.8491,0
58.818,-21.3855,11.8889,-21.3886,12.2251,0.0615674,-1.57245,0.00313438,-0.336242,8899.9,-21.4351,12.0275,0
71.422,-21.3816,11.8765,-21.3886,12.2251,0.307736,-0.978656,0.00701308,-0.348577,8919.22,-21.394,11.8765,0
78.659,-21.3855,11.8756,-21.3886,12.2251,-0.531642,-0.130371,0.00316559,-0.349521,8936.03,-21.4135,11.8599,0
91.367,-21.3851,11.8727,-21.3886,12.2251,0.0260149,-0.226682,0.00349619,-0.352402,8947.84,-21.3675,11.8729,0
99.647,-21.3847,11.8656,-21.3886,12.2251,0.0546303,-0.860786,0.00394853,-0.359529,8958.2,-21.3255,11.8419,0
111.227,-21.3791,11.8657,-21.3886,12.2251,0.480686,0.0103605,0.00951487,-0.359409,8972.72,-21.4136,11.9513,0
119.799,-21.3786,11.8664,-21.3886,12.2251,0.0619041,0.0802008,0.0100455,-0.358721,8993.5,-21.3521,11.849,0
131.679,-21.3721,11.8816,-21.3886,12.2251,0.548812,1.2809,0.0165654,-0.343504,9015.56,-21.3791,11.9357,0
139.16,-21.3718,11.8821,-21.3886,12.2251,0.0388627,0.0679873,0.0168561,-0.342996,9034.05,-21.3849,11.8718,0
