Resolution,1920,1080,Distance,60,Width,48,Subject,Oscar,Test,TOPTHL-09162019-124345,Calibration,CC9-09162019-124323,Analizer, 1.0.0
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,0.0204694,0.292201,0,0,0,0,0.0204694,0.292201,6801.45,-0.0128134,0.3804,0
7.923,0.0204694,0.292201,0,0,0,0,0.0204694,0.292201,6801.45,0.20121,0.217544,0
18.776,0.0660255,0.204815,0,0,4.19756,-8.05175,0.0660255,0.204815,6801.45,0.0565989,0.122349,0
26.935,0.0688295,0.201195,0,0,0.343668,-0.443757,0.0688295,0.201195,6801.45,0.115275,0.175884,0
39.819,0.0878394,0.20228,0,0,1.47547,0.0842617,0.0878394,0.20228,6821.37,0.143666,0.241948,0
48.374,0.0758503,0.193734,0,0,-1.40141,-0.998969,0.0758503,0.193734,6835.48,0.0358766,0.21863,0
58.867,0.0889157,0.196427,0,0,1.24515,0.256645,0.0889157,0.196427,6856.53,0.125217,0.210177,0
66.266,0.0875885,0.201488,0,0,-0.179373,0.684007,0.0875885,0.201488,6883.78,0.0672035,0.161468,0
78.348,0.092844,0.206079,0,0,0.434986,0.380032,0.092844,0.206079,6909.64,0.118163,0.183896,0
87.34,0.0927713,0.206678,0,0,-0.00808211,0.0666021,0.0927713,0.206678,6929.28,-0.108869,0.27017,0
98.952,0.0857127,0.21699,0,0,-0.607877,0.887974,0.0857127,0.21699,6945.71,0.169742,0.235622,0
106.956,0.0837799,0.242177,0,0,-0.24147,3.14687,0.0837799,0.242177,6963.02,-0.00961821,0.259913,0
118.411,0.0745657,0.256148,0,0,-0.804382,1.21964,0.0745657,0.256148,6982.59,0.150321,0.252385,0
127.772,0.0696953,0.261573,0,0,-0.520291,0.579531,0.0696953,0.261573,7005.26,0.00514925,0.287172,0
138.927,0.0653155,0.268414,0,0,-0.392629,0.61324,0.0653155,0.268414,7032.62,0.0706728,0.23485,0
151.023,0.0638825,0.293137,0,0,-0.118475,2.04396,0.0638825,0.293137,7064.14,0.0444113,0.448432,0
158.878,0.0633124,0.310927,0,0,-0.07257,2.26469,0.0633124,0.310927,7094.43,-0.000642502,0.3126,0
170.912,0.0708596,0.312337,0,0,0.62715,0.117234,0.0708596,0.312337,7117.62,0.0769877,0.292975,0
178.889,0.0683083,0.310764,0,0,-0.319823,-0.197256,0.0683083,0.310764,7133.11,0.153237,0.38807,0
190.371,0.0818861,0.280394,0,0,1.18252,-2.64498,0.0818861,0.280394,7145.9,0.191765,0.155545,0
198.872,0.0826444,0.257662,0,0,0.0892061,-2.67405,0.0826444,0.257662,7163.07,0.037689,0.153178,0
210.606,0.0612159,0.254811,0,0,-1.82619,-0.242992,0.0612159,0.254811,7189.09,0.139393,0.354619,0
218.993,0.0546213,0.255142,0,0,-0.786282,0.0394854,0.0546213,0.255142,7221.09,-0.144709,0.239855,0
231.369,0.0543382,0.277981,0,0,-0.0228752,1.84545,0.0543382,0.277981,7249.22,0.00192713,0.291656,0
238.97,0.0778142,0.326009,0,0,3.08854,6.31858,0.0778142,0.326009,7266.91,0.0677998,0.41891,0
250.391,0.0835499,0.337528,0,0,0.502203,1.00863,0.0835499,0.337528,7276.35,0.127651,0.419488,0
258.893,0.0939417,0.338853,0,0,1.22228,0.155846,0.0939417,0.338853,7282.02,0.117969,0.322878,0
270.889,0.0945477,0.33683,0,0,0.050514,-0.168709,0.0945477,0.33683,7285.67,-0.0404812,0.307562,0
279.625,0.0981668,0.289087,0,0,0.414281,-5.46502,0.0981668,0.289087,7287.49,0.175083,0.201195,0
290.866,0.0992156,0.269453,0,0,0.0932975,-1.74665,0.0992156,0.269453,7287.96,0.0772817,0.222613,0
299.616,0.099061,0.265284,0,0,-0.0176638,-0.476511,0.099061,0.265284,7286.92,0.0945803,0.381636,0
310.887,0.0951228,0.24084,0,0,-0.349408,-2.16872,0.0951228,0.24084,7280.48,0.13194,0.289822,0
318.894,0.0970603,0.2387,0,0,0.241975,-0.267312,0.0970603,0.2387,7258.22,-0.00610908,0.267382,0
330.905,0.119798,0.210479,0,0,1.89309,-2.34956,0.119798,0.210479,7205.87,0.0506205,0.157906,0
338.841,0.144911,0.175193,0,0,3.16436,-4.44633,0.144911,0.175193,7113.91,0.265517,0.106618,0
351.051,0.125871,0.171905,0,0,-1.55937,-0.269267,0.125871,0.171905,6984.87,0.268171,0.161158,0
358.951,0.124603,0.172708,0,0,-0.160489,0.101601,0.124603,0.172708,6835.36,0.175404,0.294894,0
371.081,0.113506,0.193968,0,0,-0.914811,1.75273,0.113506,0.193968,6685.67,0.0253973,0.200997,0
378.904,0.0589527,0.223878,0,0,-6.97347,3.82328,0.0589527,0.223878,6541.5,-0.0687046,0.280301,0
390.397,0.0542451,0.266244,0,0,-0.409602,3.68626,0.0542451,0.266244,6393.81,0.0734827,0.244346,0
402.882,0.0475109,0.293021,0,0,-0.539384,2.14473,0.0475109,0.293021,6234.76,-0.00315362,0.343987,0
411.311,0.0466182,0.319923,0,0,-0.105909,3.19164,0.0466182,0.319923,6066.34,0.0932284,0.378831,0
422.378,0.0621573,0.323414,0,0,1.40409,0.3154,0.0621573,0.323414,5898.38,0.128467,0.234628,0
430.913,0.0453536,0.343048,0,0,-1.9688,2.30046,0.0453536,0.343048,5738.9,0.0183721,0.344415,0
443.428,0.0431746,0.32495,0,0,-0.174108,-1.44616,0.0431746,0.32495,5590.62,0.155178,0.274594,0
450.926,0.0268353,0.341496,0,0,-2.17916,2.20681,0.0268353,0.341496,5456.68,-0.0347508,0.335803,0
462.967,0.0212608,0.322129,0,0,-0.462958,-1.60845,0.0212608,0.322129,5339.8,0.035898,0.206404,0
470.959,-0.00509852,0.320166,0,0,-3.29822,-0.24567,-0.00509852,0.320166,5238.74,-0.0409203,0.449158,0
482.901,-0.0414269,0.346213,0,0,-3.04207,2.18114,-0.0414269,0.346213,5144.57,-0.0462053,0.267393,0
490.495,-0.0450427,0.364892,0,0,-0.476136,2.45966,-0.0450427,0.364892,5043.96,-0.137872,0.380585,0
503.78,-0.0723597,0.364497,0,0,-2.05623,-0.0296964,-0.0723597,0.364497,4935.82,-0.187776,0.34514,0
511.687,-0.0949083,0.355432,0,0,-2.85173,-1.14647,-0.0949083,0.355432,4833.42,-0.0264644,0.331771,0
522.902,-0.145328,0.350351,0,0,-4.49572,-0.453079,-0.145328,0.350351,4744.82,-0.251491,0.432473,0
530.912,-0.181917,0.340213,0,0,-4.56788,-1.26564,-0.181917,0.340213,4664.26,-0.150027,0.355355,0
542.988,-0.204783,0.325592,0,0,-1.89357,-1.21073,-0.204783,0.325592,4582.64,-0.260855,0.295426,0
550.283,-0.203968,0.309709,0,0,0.111785,-2.1773,-0.203968,0.309709,4498.06,-0.16594,0.321743,0
563.957,-0.178613,0.300406,0,0,1.85422,-0.680358,-0.178613,0.300406,4415.95,-0.292064,0.292061,0
570.307,-0.0981314,0.244537,0,0,12.6743,-8.79815,-0.0981314,0.244537,4341.78,-0.0482757,0.0772586,0
582.306,0.2449,0.0801707,0,0,28.5884,-13.6984,0.2449,0.0801707,4278.18,0.827414,-0.168718,0
